N	3gram	Bakhtin_Pr	Narrotol
1	в том что	10	18
2	в данном случае	3	17
3	не только в	2	13
4	по отношению к	17	11
5	в отличие от	3	11
6	о том что	5	9
7	в то же	10	8
8	той или иной	3	8
9	в этом отношении	7	8
10	то же время	10	8
11	не может быть	8	8
12	можно сказать что	3	6
13	на самом деле	4	5
14	подобно тому как	5	5
15	для того чтобы	3	5
16	от первого лица	2	4
17	во всяком случае	3	4
18	двух или нескольких	2	3
19	и не может	3	3
20	с точки зрения	21	3
21	в самом деле	5	3
22	до сих пор	3	3
23	в зависимости от	5	3
24	по природе своей	2	3
25	все то что	3	2
26	в русской литературе	2	2
27	но все же	3	2
28	не входит в	3	2
29	он и не	3	2
30	как бы в	3	2
31	можно было бы	4	2
32	так же как	4	2
33	сами по себе	4	2
34	и в то	3	2
35	но и не	2	2
36	они и не	2	2
37	в той или	2	2
