N	2gram	Bakhtin_Pr	Tragedij
1	и в	59	18
2	в романе	12	10
3	в этом	40	9
4	не только	26	8
5	и не	66	7
6	достоевский в	10	7
7	он сам	9	7
8	и на	15	7
9	как бы	40	7
10	и с	10	7
11	может быть	38	7
12	же время	10	6
13	что он	16	6
14	но в	7	6
15	и его	21	6
16	в образе	4	6
17	у него	9	6
18	это очень	4	5
19	несмотря на	7	5
20	у достоевского	35	5
21	все же	9	5
22	это не	13	5
23	то же	15	5
24	как и	21	5
25	в дальнейшем	2	5
26	так и	13	5
27	не может	31	5
28	в то	15	5
29	что в	14	4
30	еще не	11	4
31	в целом	8	4
32	но и	22	4
33	прежде всего	17	4
34	об этом	4	4
35	том что	15	4
36	в этой	5	4
37	и что	2	4
38	так же	10	4
39	и все	4	4
40	все это	12	4
41	в нем	38	4
42	что я	2	4
43	то что	21	4
44	достоевский не	8	4
45	но это	7	4
46	что достоевский	3	4
47	я не	7	4
48	и даже	4	4
49	в себе	9	4
50	один из	4	3
51	и как	10	3
52	в мире	10	3
53	уже в	9	3
54	тем самым	3	3
55	что образ	2	3
56	к нему	13	3
57	в своем	12	3
58	при этом	5	3
59	в его	44	3
60	сам достоевский	4	3
61	все эти	12	3
62	достоевского в	21	3
63	и он	3	3
64	в основном	2	3
65	с ее	5	3
66	и сам	5	3
67	как будто	4	3
68	должно быть	4	3
69	как в	10	3
70	как это	2	3
71	жизнь и	3	3
72	для него	23	3
73	то есть	64	3
74	романа и	5	3
75	в конце	9	3
76	с ним	13	3
77	никогда не	19	2
78	в рассказе	3	2
79	в самом	19	2
80	ивана карамазова	9	2
81	но все	8	2
82	данном случае	3	2
83	по поводу	2	2
84	до конца	11	2
85	одна из	4	2
86	точно так	2	2
87	друг друга	10	2
88	тем что	5	2
89	перед нами	8	2
90	вопрос о	4	2
91	в одном	14	2
92	его в	6	2
93	не имеет	2	2
94	раз и	4	2
95	ничего не	8	2
96	то и	2	2
97	в данном	3	2
98	не могут	6	2
99	как же	5	2
100	в ее	4	2
101	но эта	4	2
102	автора но	2	2
103	что все	5	2
104	а как	8	2
105	о том	5	2
106	роман достоевского	11	2
107	что и	10	2
108	ни в	5	2
109	не в	10	2
110	для достоевского	9	2
111	и здесь	5	2
112	а что	2	2
113	потому что	20	2
114	и наказании	2	2
115	одном из	3	2
116	в частности	2	2
117	как у	4	2
118	в таком	2	2
119	еще раз	3	2
120	так что	3	2
121	он не	11	2
122	и ее	5	2
123	ничем не	2	2
124	в первом	3	2
125	бы и	6	2
126	в самую	2	2
127	уже не	14	2
128	что она	6	2
129	и это	5	2
130	но они	4	2
131	не так	3	2
132	отличие от	3	2
133	в преступлении	2	2
134	в том	17	2
135	человек идеи	2	2
136	и до	5	2
137	романах достоевского	12	2
138	романа достоевского	14	2
139	преступлении и	2	2
140	который в	2	2
141	достоевским в	3	2
142	в отличие	3	2
143	он и	9	2
144	с его	14	2
145	времени в	2	2
146	отношение к	4	2
