N	3gram	Medvedev_F	TeoriaLi
1	в том что	3	10
2	по отношению к	4	10
3	не сводится к	2	9
4	в то же	13	8
5	то же время	13	8
6	в отличие от	2	7
7	с другой стороны	4	6
8	более или менее	7	6
9	того или иного	6	6
10	в данном случае	2	5
11	для того чтобы	3	5
12	не может быть	11	5
13	с точки зрения	17	3
14	с одной стороны	5	3
15	в этом смысле	3	3
16	тем не менее	2	3
17	в связи с	9	3
18	в свою очередь	6	3
19	бы то ни	4	2
20	не только не	2	2
21	в противном случае	2	2
22	до известной степени	3	2
23	в самом деле	5	2
24	в значительной степени	3	2
25	к тому что	3	2
26	и тем самым	2	2
27	и в то	4	2
28	может быть и	4	2
29	сама по себе	2	2
30	не могут быть	4	2
31	но в то	3	2
