N	3gram	Propp_Isto	Dialekti
1	и т д	30	75
2	в том что	8	25
3	не может быть	4	18
4	не что иное	6	18
5	что иное как	6	18
6	тем не менее	6	16
7	о том что	3	12
8	с другой стороны	10	12
9	на то что	4	11
10	есть не что	2	11
11	т е в	2	10
12	подобно тому как	3	9
13	содержит в себе	2	9
14	это и есть	2	9
15	не только не	2	8
16	в то время	2	8
17	то время как	2	8
18	можно сказать что	2	7
19	точно так же	8	7
20	в связи с	5	7
21	во всяком случае	2	6
22	с одной стороны	2	6
23	до сих пор	7	5
24	одной и той	2	5
25	и той же	2	5
26	по сравнению с	2	5
27	мы уже знаем	3	4
28	так же как	7	4
29	в данном случае	6	4
30	ничего не говорят	2	4
31	к тому же	4	4
32	можно было бы	2	4
33	же как и	3	3
34	с этой стороны	2	3
35	как и в	2	3
36	не только в	3	3
37	но все же	5	3
38	друг с другом	2	2
39	том что в	2	2
40	мы видим что	6	2
41	что и в	3	2
42	не говорят о	2	2
43	что в данном	2	2
44	и то что	4	2
