N	2gram	Vinokur_St	slovoVRo
1	и в	61	92
2	в романе	4	89
3	и т	36	82
4	т п	11	72
5	то есть	2	64
6	в нем	9	59
7	может быть	16	59
8	и его	11	59
9	и не	23	51
10	не только	36	44
11	не может	10	41
12	но и	28	39
13	до конца	4	37
14	в этом	37	36
15	а не	19	34
16	во всех	8	32
17	так и	15	30
18	точки зрения	16	30
19	могут быть	5	29
20	языка и	4	29
21	в его	19	27
22	все это	13	25
23	как бы	8	24
24	то же	7	23
25	и на	7	22
26	не в	15	21
27	в сущности	2	21
28	как в	15	21
29	вовсе не	24	21
30	в то	10	20
31	в процессе	3	20
32	прежде всего	11	19
33	как и	11	18
34	же время	5	18
35	все же	12	17
36	оно не	3	17
37	все эти	7	17
38	в истории	5	17
39	в основе	4	17
40	и даже	8	17
41	таким образом	16	17
42	к своему	3	16
43	при этом	4	16
44	в них	2	16
45	но в	16	16
46	там где	6	15
47	и с	6	15
48	в той	9	15
49	с точки	10	15
50	только в	11	14
51	это не	8	13
52	с его	3	13
53	отношении к	3	13
54	и для	4	13
55	с другой	11	13
56	в слове	5	13
57	никогда не	7	12
58	в отношении	11	12
59	и потому	3	12
60	отношение к	3	12
61	а в	18	12
62	во всяком	8	12
63	еще не	4	12
64	и к	5	12
65	на его	2	11
66	одной стороны	2	11
67	в этих	5	11
68	с одной	3	11
69	для него	10	11
70	в своем	8	10
71	и их	3	10
72	в том	56	10
73	и все	3	10
74	она не	3	10
75	в себе	3	10
76	всех этих	2	10
77	т д	25	10
78	лишь в	3	10
79	может не	2	10
80	его в	4	9
81	и от	2	9
82	одним из	2	9
83	или менее	2	9
84	к нему	2	9
85	более или	2	9
86	в их	3	9
87	в своей	12	9
88	этом случае	3	9
89	сказать что	9	9
90	так как	7	9
91	но не	5	9
92	на почве	2	9
93	конечно не	2	9
94	он не	11	9
95	быть и	2	9
96	не могут	2	8
97	в одной	3	8
98	п в	4	8
99	для понимания	2	8
100	в зависимости	2	8
101	в ней	9	8
102	не на	3	8
103	с этим	6	8
104	в значительной	2	8
105	зависимости от	2	8
106	в самом	14	8
107	для нас	7	8
108	всяком случае	8	8
109	том что	49	7
110	но именно	3	7
111	его не	3	7
112	того же	4	7
113	в целом	5	7
114	связи с	3	7
115	например в	8	7
116	у него	3	7
117	значительной степени	3	7
118	за пределы	2	7
119	но все	9	7
120	также и	10	7
121	связанные с	3	7
122	еще более	5	7
123	жизни и	6	7
124	не было	7	7
125	в таком	4	7
126	кроме того	3	7
127	же и	4	7
128	даже в	5	6
129	ничего не	6	6
130	которые в	2	6
131	наконец в	2	6
132	как к	3	6
133	точку зрения	3	6
134	бы и	4	6
135	а также	4	6
136	xix века	2	6
137	что в	41	6
138	ни в	5	6
139	дело с	2	6
140	в чисто	2	6
141	в качестве	7	6
142	можно сказать	2	6
143	другой стороны	9	6
144	говорить о	3	6
145	и здесь	2	6
146	хотя бы	8	6
147	конечно и	5	6
148	связан с	3	6
149	именно в	8	6
150	по себе	3	6
151	в одном	7	6
152	эпохи и	3	6
153	между тем	7	6
154	языка не	2	5
155	в каждом	3	5
156	не как	2	5
157	а как	5	5
158	не знает	2	5
159	поэтического языка	2	5
160	не менее	8	5
161	отношению к	3	5
162	мы не	3	5
163	и по	6	5
164	должен быть	3	5
165	в других	2	5
166	хотя и	4	5
167	особенно в	2	5
168	для этого	2	5
169	в данном	16	5
170	по отношению	3	5
171	с их	2	5
172	в результате	5	5
173	борьба с	2	5
174	этом отношении	13	5
175	не является	5	5
176	для того	15	5
177	должна быть	3	5
178	и более	4	5
179	они не	2	5
180	о том	30	5
181	к его	2	5
182	той же	5	5
183	уже в	3	5
184	и сам	4	5
185	и языка	6	5
186	но он	5	5
187	вместе с	5	5
188	литературы и	3	4
189	в свой	2	4
190	так же	7	4
191	а на	4	4
192	в другом	5	4
193	что и	8	4
194	ни были	2	4
195	в виду	6	4
196	что он	23	4
197	он должен	2	4
198	том же	3	4
199	не всегда	2	4
200	в виде	3	4
201	в частности	6	4
202	истории литературы	2	4
203	этой категории	2	4
204	того что	14	4
205	до сих	13	4
206	его же	2	4
207	даже и	2	4
208	в чем	4	4
209	что оно	4	4
210	не столько	6	4
211	не были	2	4
212	того чтобы	15	4
213	поэзии и	3	4
214	и во	3	4
215	же как	5	4
216	те или	2	4
217	это слово	6	4
218	одной из	4	4
219	но эти	2	4
220	но это	9	4
221	бы ни	3	4
222	дело не	4	4
223	в которой	13	4
224	и как	2	4
225	если бы	11	4
226	вообще не	5	4
227	из романа	2	4
228	с этой	5	4
229	со всеми	2	4
230	и о	4	4
231	сих пор	12	4
232	к тому	9	4
233	от его	2	4
234	выражение в	2	4
235	из них	11	4
236	и уже	3	4
237	в некоторых	3	4
238	отношения к	2	4
239	и речи	3	4
240	по существу	3	4
241	как раз	10	4
242	чем он	3	4
243	данном случае	7	3
244	в иных	2	3
245	нисколько не	3	3
246	нуждается в	2	3
247	в духе	2	3
248	в новом	4	3
249	такого рода	2	3
250	в свое	3	3
251	как это	6	3
252	в такой	2	3
253	тому что	8	3
254	не приходится	5	3
255	только с	4	3
256	и без	4	3
257	и те	4	3
258	на все	2	3
259	не была	2	3
260	отметить что	4	3
261	и до	2	3
262	было бы	21	3
263	а иногда	2	3
264	в первом	2	3
265	этого слова	2	3
266	ведь и	3	3
267	почти все	2	3
268	свое выражение	2	3
269	них и	2	3
270	и то	6	3
271	и вообще	5	3
272	или иного	4	3
273	к этому	4	3
274	того или	4	3
275	в сознании	2	3
276	из этих	7	3
277	ближайшим образом	2	3
278	однако и	2	3
279	как более	2	3
280	от этого	2	3
281	не все	3	3
282	дело в	9	3
283	это было	2	3
284	отличается от	2	3
285	борьбы с	3	3
286	на него	3	3
287	во второй	10	3
288	тем что	6	3
289	и другие	3	3
290	такой же	6	3
291	не могло	4	3
292	ни с	3	3
293	материала и	2	3
294	в этой	13	3
295	потому что	13	3
296	целый ряд	3	3
297	и это	4	3
298	в эту	3	3
299	в форме	2	3
300	и тем	3	3
301	без всякого	2	3
302	чем в	3	3
303	на самом	8	2
304	ему не	3	2
305	о которых	3	2
306	могло быть	3	2
307	этого рода	2	2
308	есть только	2	2
309	без всяких	2	2
310	вот что	3	2
311	по своей	2	2
312	и у	2	2
313	например во	2	2
314	и эти	2	2
315	это и	5	2
316	факт что	6	2
317	как он	3	2
318	ни одной	2	2
319	роман на	2	2
320	и вся	2	2
321	так что	8	2
322	и за	3	2
323	своего времени	4	2
324	есть в	2	2
325	самого начала	3	2
326	в прямом	2	2
327	а с	6	2
328	то что	27	2
329	по своему	2	2
330	в руках	2	2
331	что все	3	2
332	значение для	2	2
333	только не	2	2
334	с самого	4	2
335	произведения в	2	2
336	борьбу с	2	2
337	в сторону	2	2
338	в образе	3	2
339	далее в	4	2
340	материал для	6	2
341	у пушкина	17	2
342	не могла	2	2
343	в известном	3	2
344	в основу	5	2
345	действительно не	3	2
346	на них	2	2
347	из которого	2	2
348	что не	3	2
349	место в	2	2
350	для них	2	2
351	в ее	6	2
352	и самый	2	2
353	нужно сказать	6	2
354	что они	9	2
355	случае не	3	2
356	бы только	2	2
357	в двух	4	2
358	и иные	2	2
359	того как	8	2
360	да и	4	2
361	очень часто	3	2
362	тот факт	5	2
363	это очень	5	2
364	с которыми	3	2
365	время как	2	2
366	то в	3	2
367	как например	2	2
368	и что	8	2
369	именно такое	2	2
370	в равной	2	2
371	можно было	14	2
372	что она	5	2
373	при таком	2	2
374	и стиля	2	2
375	от которого	2	2
376	исторического романа	2	2
377	он был	5	2
378	в области	16	2
379	то или	3	2
380	об этом	9	2
381	принципиальное и	2	2
382	как о	2	2
383	тем не	4	2
384	у нас	12	2
385	иметь в	2	2
386	совершенно не	7	2
387	а именно	3	2
388	без всякой	3	2
389	самого же	2	2
390	чем не	2	2
391	в течение	7	2
392	в чужую	3	2
393	но они	3	2
394	в какой	4	2
395	заключается в	5	2
396	взаимоотношения между	2	2
397	как известно	2	2
398	при его	3	2
399	на то	5	2
400	что для	4	2
401	столь же	5	2
402	в котором	11	2
403	из его	3	2
404	а между	2	2
405	в своих	2	2
406	или иначе	3	2
407	в начале	5	2
408	которые являются	2	2
409	где нет	2	2
410	несмотря на	4	2
411	не для	3	2
412	или иное	3	2
413	то время	2	2
414	не просто	2	2
415	что как	3	2
416	и только	3	2
417	мнение о	2	2
418	не к	2	2
419	не значит	3	2
420	сам в	3	2
421	подчеркнуть что	5	2
