N	3gram	Bakhtin_Pr	Myshleni
1	в том что	6	133
2	с точки зрения	13	89
3	по сравнению с	6	45
4	по отношению к	5	42
5	с самого начала	4	36
6	друг с другом	6	35
7	можно было бы	2	28
8	с другой стороны	3	26
9	в собственном смысле	3	26
10	о том что	3	25
11	на то что	2	25
12	не может быть	8	23
13	смысле этого слова	2	22
14	в зависимости от	3	22
15	можно сказать что	6	21
16	в этом смысле	5	18
17	до сих пор	8	17
18	друг от друга	2	14
19	мы видели что	2	14
20	мы уже говорили	3	14
21	тем не менее	2	12
22	как мы уже	5	11
23	в том числе	15	10
24	по своей природе	3	10
25	том числе и	13	10
26	сама по себе	2	9
27	более или менее	3	9
28	как и в	4	9
29	к одному и	2	8
30	той или иной	2	8
31	и тому же	2	7
32	одному и тому	2	7
33	мы находим в	3	6
34	и не может	6	6
35	в свое время	4	5
36	в то же	8	5
37	того и другого	2	5
38	но и в	2	4
39	не то что	3	4
40	так и в	2	4
41	таким образом и	2	4
42	и в конце	2	3
43	нет и не	3	3
44	в соответствии с	2	3
45	внешней и внутренней	2	3
46	тех или иных	2	3
47	имеем в виду	3	3
48	мы имеем в	3	3
49	является одним из	2	3
50	мы можем говорить	2	3
51	а следовательно и	2	3
52	хотя бы и	2	3
53	и во всех	3	3
54	то же время	8	3
55	в известной мере	3	3
56	дело в том	3	3
57	собственном смысле и	2	2
58	но только в	2	2
59	к слову как	2	2
60	и в их	2	2
61	как бы в	2	2
62	хотя и в	2	2
63	со всеми другими	2	2
64	в большинстве случаев	9	2
65	на самом же	2	2
66	самом же деле	2	2
67	никогда не может	2	2
68	стадии своего развития	2	2
69	в котором он	2	2
