N	3gram	Vinokur_Vv	Marksizm
1	с точки зрения	4	46
2	не может быть	10	25
3	в самом деле	6	19
4	в то же	6	15
5	по отношению к	4	15
6	то же время	6	15
7	в связи с	2	14
8	в том что	15	14
9	для того чтобы	22	11
10	до сих пор	7	11
11	в отличие от	4	10
12	одного и того	2	9
13	но в то	3	9
14	и того же	2	9
15	то же самое	3	8
16	может быть и	2	8
17	смысле этого слова	2	7
18	с другой стороны	5	7
19	в свою очередь	2	7
20	во всяком случае	5	6
21	языка и его	2	6
22	с одной стороны	4	6
23	как мы уже	2	6
24	той или иной	3	5
25	как мы видели	3	5
26	на этой почве	2	5
27	в этом отношении	4	5
28	в этом случае	6	5
29	мы уже знаем	2	4
30	в первом случае	2	4
31	можно сказать что	3	4
32	о том что	13	4
33	в зависимости от	3	4
34	но все же	4	4
35	и то же	2	3
36	в применении к	6	3
37	в данном отношении	2	3
38	тем не менее	9	3
39	в конце концов	2	3
40	одной и той	2	3
41	можно было бы	4	3
42	не могут быть	2	3
43	одно и то	2	3
44	и той же	2	3
45	одной стороны и	3	3
46	на этот вопрос	5	3
47	не только в	4	3
48	хотя бы и	2	3
49	и в этом	4	3
50	по крайней мере	4	2
51	само по себе	4	2
52	в чем же	3	2
53	в широком смысле	7	2
54	вопрос о том	5	2
55	в данном случае	4	2
56	в том или	2	2
57	а между тем	2	2
58	и в особенности	4	2
59	и в самом	3	2
60	сама по себе	3	2
61	того чтобы понять	3	2
62	с тем что	3	2
63	в собственном смысле	3	2
64	том или ином	2	2
65	и в том	4	2
66	так или иначе	4	2
67	в этом смысле	10	2
