N	2gram	Bakhtin_fo	StatiiOP
1	и в	84	103
2	в том	16	89
3	том что	7	77
4	в этом	41	76
5	что в	9	74
6	не только	16	60
7	и т	21	51
8	о том	4	47
9	но и	14	46
10	то что	13	44
11	что он	2	42
12	в его	19	42
13	и не	19	41
14	может быть	18	38
15	было бы	2	32
16	т д	3	32
17	в этой	3	31
18	вовсе не	20	31
19	все это	10	29
20	тем что	4	29
21	таким образом	14	28
22	а в	6	27
23	а не	7	27
24	но в	16	26
25	так и	17	25
26	в трагедии	3	24
27	этом отношении	5	24
28	и его	26	24
29	все же	12	23
30	не в	10	23
31	так что	4	23
32	точки зрения	14	23
33	потому что	11	23
34	того что	5	22
35	прежде всего	28	22
36	для того	12	22
37	у нас	2	22
38	в которой	3	22
39	как в	10	22
40	того чтобы	11	21
41	и пр	2	21
42	это не	8	20
43	до сих	4	20
44	т п	18	19
45	в то	13	19
46	сих пор	4	19
47	в своей	2	19
48	только в	12	19
49	об этом	3	18
50	не может	8	18
51	с другой	4	18
52	в котором	8	18
53	он не	6	18
54	самом деле	2	17
55	в данном	4	17
56	как на	2	17
57	в самом	9	17
58	как бы	11	17
59	с этим	11	16
60	сказать что	4	16
61	в ней	4	16
62	если бы	6	16
63	в этих	6	16
64	в отношении	5	15
65	с тем	5	15
66	как и	15	15
67	для него	5	15
68	например в	7	15
69	из этих	5	15
70	также и	6	15
71	и на	13	15
72	у него	8	15
73	как раз	13	15
74	была бы	2	14
75	к тому	6	14
76	то же	18	14
77	в течение	2	14
78	но все	6	14
79	с точки	9	14
80	в своем	8	13
81	в конце	11	13
82	в качестве	6	13
83	в нем	28	13
84	во всяком	5	13
85	дело в	3	13
86	именно в	5	13
87	из них	8	13
88	в той	5	13
89	жизни и	12	13
90	вместе с	9	13
91	что они	3	12
92	так как	12	12
93	хотя бы	2	12
94	ни в	9	12
95	никогда не	8	11
96	вопрос о	2	11
97	и с	10	11
98	в другом	2	11
99	в них	11	11
100	все эти	12	11
101	и по	5	11
102	это было	2	11
103	не было	8	11
104	ясно что	2	11
105	в каком	2	10
106	так же	7	10
107	в виду	5	10
108	а как	3	10
109	в частности	11	10
110	ничего не	9	10
111	не столько	2	10
112	в целом	2	10
113	что и	5	10
114	в истории	6	10
115	в начале	3	10
116	во всех	13	10
117	кроме того	7	10
118	но не	9	10
119	же время	13	10
120	но он	4	10
121	в каждом	2	9
122	в чем	3	9
123	место в	4	9
124	по этому	2	9
125	там где	4	9
126	он был	2	9
127	во время	7	9
128	можно сказать	2	9
129	в одном	10	9
130	не является	4	9
131	с этой	3	9
132	времени и	10	9
133	его жизни	11	9
134	и для	12	9
135	и к	4	9
136	для нас	2	9
137	что мы	2	9
138	внимание на	2	9
139	и это	5	9
140	до конца	5	8
141	могут быть	7	8
142	отношение к	5	8
143	в их	9	8
144	и др	13	8
145	той же	2	8
146	связи с	14	8
147	к этому	5	8
148	а также	5	8
149	мы имеем	2	8
150	в результате	6	8
151	и даже	5	8
152	совершенно не	3	8
153	и более	3	8
154	не имеет	5	8
155	еще более	7	8
156	в которых	4	8
157	данном случае	2	7
158	том как	2	7
159	о чем	4	7
160	вплоть до	3	7
161	уже в	5	7
162	в это	5	7
163	что здесь	2	7
164	одной из	3	7
165	что все	4	7
166	того же	9	7
167	точка зрения	4	7
168	во втором	2	7
169	как это	2	7
170	тем более	4	7
171	в ее	6	7
172	с самого	3	7
173	и то	5	7
174	то в	2	7
175	мы находим	2	7
176	лишь в	8	7
177	еще не	8	7
178	отношению к	5	7
179	еще и	3	7
180	связан с	2	7
181	по себе	3	7
182	можно назвать	2	7
183	то время	4	7
184	на почве	2	7
185	идет о	2	6
186	в себе	7	6
187	в одной	2	6
188	по отношению	3	6
189	в отдельных	2	6
190	должен быть	2	6
191	по существу	17	6
192	и все	10	6
193	что на	3	6
194	и во	13	6
195	же как	2	6
196	и вообще	3	6
197	с его	10	6
198	одно из	3	6
199	мы не	4	6
200	и здесь	2	6
201	в особенности	15	6
202	же и	2	6
203	и сам	2	6
204	время как	5	6
205	в жизни	6	6
206	разумеется что	2	6
207	в некоторых	4	6
208	тем же	3	6
209	не о	2	5
210	его в	8	5
211	на себя	2	5
212	даже не	2	5
213	не был	2	5
214	для себя	8	5
215	том же	4	5
216	как он	4	5
217	точку зрения	3	5
218	и потому	4	5
219	в основу	3	5
220	далее в	3	5
221	одной стороны	3	5
222	что не	3	5
223	один из	5	5
224	конечно и	5	5
225	в уста	2	5
226	при этом	8	5
227	в сущности	5	5
228	не на	4	5
229	никто не	2	5
230	хотя и	5	5
231	самого начала	3	5
232	другом месте	2	5
233	всех этих	9	5
234	не как	2	5
235	к ней	2	5
236	большое значение	3	5
237	целый ряд	2	5
238	но они	3	5
239	не могло	5	5
240	с одной	5	5
241	на протяжении	3	5
242	нет и	4	5
243	ни с	3	5
244	вообще не	4	5
245	ее в	2	5
246	раз в	4	5
247	в мировой	2	5
248	уже не	5	5
249	оно не	3	5
250	во многом	2	5
251	если не	3	5
