N	2gram	Propp_Isto	Poddanst
1	не только	17	17
2	и в	44	14
3	и не	19	12
4	в этом	20	10
5	но в	7	9
6	то же	9	9
7	в том	13	9
8	в качестве	13	9
9	хотя бы	2	8
10	в пределах	5	8
11	в то	5	7
12	только в	8	7
13	но и	16	6
14	было бы	2	6
15	в ней	8	6
16	с другой	11	5
17	не в	11	5
18	и о	2	5
19	в которых	4	5
20	и пр	6	5
21	может быть	31	5
22	по себе	2	4
23	что в	18	4
24	если бы	5	4
25	на пути	2	4
26	и потому	2	4
27	в своем	3	4
28	том что	12	4
29	а также	5	4
30	мы должны	7	4
31	в котором	2	4
32	в русской	8	4
33	и к	3	4
34	как бы	4	4
35	то что	16	4
36	не может	10	4
37	а в	9	4
38	же в	3	4
39	что мы	4	3
40	и как	5	3
41	с тем	9	3
42	но не	8	3
43	тем самым	2	3
44	это не	8	3
45	т е	27	3
46	северной америке	3	3
47	мы не	6	3
48	для того	3	3
49	точки зрения	3	3
50	потому что	18	3
51	одной стороны	7	3
52	в нем	10	3
53	могут быть	9	3
54	прежде всего	7	3
55	и т	39	3
56	с одной	7	3
57	с ними	4	3
58	наряду с	7	3
59	ей в	3	3
60	для нас	6	2
61	переход от	2	2
62	в них	3	2
63	если в	4	2
64	одна из	6	2
65	есть не	2	2
66	и мы	3	2
67	и это	5	2
68	и тем	7	2
69	и других	5	2
70	в его	16	2
71	с этим	7	2
72	и вот	4	2
73	не менее	6	2
74	время в	2	2
75	со стороны	6	2
76	в европе	3	2
77	в виде	13	2
78	все это	4	2
79	в частности	9	2
80	том числе	3	2
81	как на	3	2
82	а не	5	2
83	не было	2	2
84	и есть	3	2
85	например в	11	2
86	и с	8	2
87	не будем	6	2
88	во всех	3	2
89	в ее	4	2
90	в северной	4	2
91	между прочим	2	2
92	есть в	2	2
93	того что	3	2
94	думать что	2	2
95	в силу	7	2
96	главным образом	2	2
97	из них	4	2
98	в которую	2	2
