N	3gram	Bakhtin_sl	Literetu
1	в то же	15	21
2	то же время	15	21
3	в том что	4	21
4	по отношению к	2	12
5	с одной стороны	7	12
6	в данном случае	3	11
7	в отличие от	12	11
8	не может быть	11	11
9	о том что	2	10
10	в этом отношении	2	10
11	с точки зрения	11	8
12	с другой стороны	5	7
13	не только в	3	6
14	тем не менее	2	5
15	в связи с	2	5
16	а не как	2	3
17	и т п	49	3
18	во всяком случае	7	3
19	той или иной	13	3
20	и наконец в	2	3
21	одной стороны и	2	3
22	в свою очередь	3	3
23	одно и то	2	2
24	и то же	2	2
25	в отношении к	9	2
26	себя в них	3	2
27	не только не	2	2
28	в этом случае	4	2
29	к тому что	2	2
30	но и в	2	2
31	можно было бы	2	2
32	лишь тогда когда	2	2
33	то есть от	2	2
34	в значительной степени	6	2
