N	3gram	Losev_Prob	EvropaiC
1	в том что	17	16
2	до сих пор	4	15
3	более или менее	2	8
4	с точки зрения	9	8
5	на самом деле	5	7
6	для того чтобы	4	7
7	на то что	2	7
8	друг от друга	3	6
9	мы говорили выше	2	6
10	так или иначе	2	5
11	по сравнению с	3	5
12	то ясно что	2	4
13	тем не менее	23	4
14	с другой стороны	11	4
15	в конце концов	4	4
16	в этом случае	8	4
17	может быть и	3	4
18	о том что	8	4
19	не может быть	5	4
20	то ни было	4	3
21	бы то ни	5	3
22	так же как	3	3
23	в настоящее время	4	3
24	в данном случае	12	3
25	нечего и говорить	2	3
26	в связи с	9	3
27	отличаются друг от	2	3
28	заключается в том	5	3
29	и то что	8	3
30	ничего общего с	2	2
31	то что у	3	2
32	с одной стороны	2	2
33	во всяком случае	8	2
34	в то время	6	2
35	в том виде	4	2
36	что же касается	5	2
37	мы все же	3	2
38	как и в	2	2
39	том что он	2	2
40	в то же	10	2
41	именно потому что	3	2
42	и может быть	2	2
43	только то что	4	2
