N	2gram	Losev_Prob	Sotsiolo
1	все это	8	7
2	в том	25	5
3	в этом	31	5
4	для нас	14	3
5	не только	28	3
6	и только	4	3
7	в его	19	3
8	не в	16	3
9	и в	48	3
10	это и	4	2
11	отношению к	2	2
12	по отношению	2	2
13	еще не	4	2
14	только в	21	2
15	что в	12	2
16	тем более	2	2
17	в частности	5	2
18	том что	29	2
19	было бы	12	2
20	таким образом	20	2
21	в смысле	8	2
22	то же	6	2
23	как будто	9	2
24	и что	9	2
25	конце концов	7	2
26	то что	26	2
27	как бы	10	2
28	но и	21	2
29	в конце	10	2
30	или даже	4	2
31	далеко не	6	2
32	может быть	11	2
33	по существу	2	2
34	в результате	11	2
