N	3gram	Vygotskiy_	RusskieA
1	в том что	30	49
2	состоит в том	4	29
3	вместе с тем	5	11
4	о том что	10	10
5	том что в	3	9
6	в том чтобы	6	9
7	в данном случае	5	8
8	для того чтобы	19	8
9	подобно тому как	2	8
10	мы не можем	3	7
11	не может быть	8	6
12	так же как	6	6
13	в связи с	3	5
14	к тому что	3	5
15	мы видели что	4	5
16	во всяком случае	5	4
17	в то время	5	4
18	можно было бы	6	4
19	только тогда когда	4	4
20	как мы уже	4	4
21	в отличие от	3	4
22	но вместе с	5	3
23	может рассматриваться как	3	3
24	же как и	4	3
25	и потому что	2	3
26	по отношению к	11	3
27	с точки зрения	34	3
28	друг к другу	2	3
29	до сих пор	4	3
30	к выводу что	5	3
31	мы уже видели	2	3
32	на то что	9	3
33	в своей книге	2	3
34	в свою очередь	3	3
35	на самом деле	3	2
36	потому что он	3	2
37	можно сказать что	5	2
38	в этом отношении	6	2
39	как и в	2	2
40	с таким же	2	2
41	вопрос о том	2	2
42	друг с другом	6	2
43	с одной стороны	14	2
44	мы увидим что	2	2
45	с другой стороны	10	2
46	в настоящей работе	2	2
47	мы должны будем	2	2
