N	2gram	Vinokur_Ku	Hudozhes
1	в качестве	12	31
2	и в	44	23
3	не только	29	20
4	состоит в	4	20
5	в том	47	20
6	может быть	25	19
7	при этом	6	19
8	в частности	6	18
9	и не	23	16
10	тогда как	2	15
11	но и	13	14
12	в рамках	5	13
13	а в	7	13
14	в себе	4	13
15	я в	2	13
16	но не	11	13
17	а не	17	13
18	то же	12	12
19	в этом	31	12
20	и его	8	12
21	так и	10	12
22	как бы	11	11
23	точки зрения	25	11
24	в его	16	11
25	сводится к	3	11
26	но в	11	10
27	по отношению	9	10
28	отношению к	9	10
29	не в	18	9
30	или иной	3	9
31	том что	30	9
32	не может	13	9
33	с другой	14	9
34	своего рода	4	9
35	в искусстве	2	9
36	в то	4	8
37	в области	15	8
38	в самом	20	7
39	отношение к	2	7
40	лишь в	6	7
41	в своей	4	7
42	только в	15	7
43	же время	4	7
44	как это	6	7
45	что в	25	7
46	отличие от	3	7
47	в отличие	3	7
48	не столько	2	7
49	всего лишь	3	6
50	более или	3	6
51	мы имеем	11	6
52	уже не	13	6
53	другой стороны	12	6
54	приводит к	3	6
55	а также	3	6
56	в нем	7	6
57	можно сказать	6	6
58	в ее	2	6
59	с его	4	6
60	или менее	3	6
61	тем самым	5	5
62	ни в	3	5
63	или иначе	4	5
64	конечном счете	2	5
65	могут быть	5	5
66	в конечном	3	5
67	между ними	2	5
68	как к	2	5
69	иначе говоря	2	5
70	для того	23	5
71	того чтобы	25	5
72	в виду	7	5
73	а на	3	5
74	со стороны	8	5
75	в их	3	5
76	не является	2	5
77	слова как	5	5
78	что он	7	5
79	не на	4	5
80	то что	14	5
81	не менее	12	5
82	прежде всего	14	5
83	того что	11	5
84	для него	2	5
85	в слове	3	4
86	и то	7	4
87	сказать что	5	4
88	в отношении	2	4
89	или иного	5	4
90	далеко не	2	4
91	это не	13	4
92	а только	10	4
93	так в	2	4
94	того или	6	4
95	к тому	8	4
96	речи и	8	4
97	на почве	2	4
98	между тем	11	4
99	в данном	8	4
100	во втором	2	4
101	в форме	3	4
102	в другом	2	4
103	не знает	4	4
104	однако в	2	4
105	в силу	16	4
106	и как	3	4
107	еще не	10	4
108	к которому	3	4
109	и тем	7	4
110	и что	11	4
111	языка в	14	4
112	роли в	3	4
113	говорить о	5	4
114	в этих	5	4
115	он не	4	4
116	не следует	6	4
117	по пути	2	4
118	и о	3	4
119	отношения к	2	4
120	например в	5	4
121	в себя	2	4
122	в своем	4	4
123	хотя и	7	4
124	так или	3	4
125	даже в	4	3
126	от себя	3	3
127	и для	3	3
128	не случайно	7	3
129	в контексте	2	3
130	и позволяет	2	3
131	как и	3	3
132	того же	6	3
133	потому что	40	3
134	виду не	2	3
135	о чем	2	3
136	одной стороны	2	3
137	по преимуществу	3	3
138	слова в	7	3
139	что можно	4	3
140	в целом	5	3
141	в свою	4	3
142	одного и	2	3
143	тем не	10	3
144	а именно	4	3
145	из этих	5	3
146	связи с	8	3
147	и на	8	3
148	с языком	2	3
149	на деле	2	3
150	если бы	21	3
151	в той	6	3
152	как раз	10	3
153	с точки	16	3
154	и того	2	3
155	он должен	2	3
156	или даже	2	3
157	с этой	4	3
158	в связи	4	3
159	таким образом	17	3
160	в таком	3	3
161	есть в	6	3
162	в которой	7	3
163	была бы	5	3
164	как правило	2	3
165	в узком	3	3
166	этом смысле	8	3
167	в пределах	8	3
168	в одном	4	3
169	с одной	3	3
170	но он	2	3
171	в структуре	3	3
172	в системе	3	3
173	никогда не	2	2
174	о том	10	2
175	в каком	6	2
176	как в	6	2
177	одно из	3	2
178	и это	3	2
179	еще один	3	2
180	ее в	2	2
181	могла бы	2	2
182	тому что	3	2
183	и потому	6	2
184	идет о	3	2
185	в самой	6	2
186	еще и	7	2
187	слова не	2	2
188	столь же	2	2
189	в чем	2	2
190	что такое	8	2
191	или в	5	2
192	именно в	7	2
193	но как	2	2
194	все эти	17	2
195	таких случаях	3	2
196	тем более	2	2
197	не всегда	4	2
198	не все	4	2
199	оно не	5	2
200	что она	5	2
201	с их	3	2
202	должен быть	8	2
203	дело не	4	2
204	этой точки	4	2
205	только и	3	2
206	не как	2	2
207	так же	8	2
208	отличается от	2	2
209	об этом	4	2
210	этого термина	4	2
211	может служить	4	2
212	свою очередь	4	2
213	из которых	3	2
214	и по	4	2
215	данный момент	3	2
216	я не	5	2
217	в известном	2	2
218	отнюдь не	5	2
219	один из	8	2
220	втором случае	2	2
221	в них	10	2
222	по себе	10	2
223	речь идет	4	2
224	несмотря на	6	2
225	противном случае	2	2
226	роль в	6	2
227	к жизни	2	2
228	на этом	4	2
229	в данный	2	2
230	в основании	2	2
231	это и	6	2
232	слова и	8	2
233	языка на	2	2
234	все это	10	2
235	с ними	6	2
236	в сторону	2	2
237	к какому-либо	2	2
238	что и	5	2
239	в противном	2	2
240	большей части	2	2
241	такова например	2	2
242	речи а	3	2
243	то ни	2	2
244	в году	3	2
245	xix века	5	2
246	в одно	2	2
247	одним из	2	2
248	не просто	7	2
249	и может	3	2
250	духовной культуры	2	2
251	к своему	2	2
252	только о	3	2
253	в случае	2	2
254	самом деле	17	2
255	знания о	2	2
256	и более	3	2
257	этого слова	8	2
258	в нашем	8	2
259	в этой	8	2
260	но только	5	2
261	по большей	2	2
262	а с	3	2
263	с ним	5	2
264	превращается в	4	2
265	для обозначения	2	2
266	ними и	2	2
267	в какой	7	2
268	вовсе не	18	2
269	заключается в	3	2
270	если мы	5	2
271	том и	3	2
272	на основе	2	2
273	у него	3	2
274	не с	4	2
275	здесь не	5	2
