N	3gram	Losev_Prob	Psycholo
1	в том что	17	78
2	для того чтобы	4	70
3	на то что	2	55
4	заключается в том	5	36
5	о том что	8	34
6	то же самое	17	31
7	с точки зрения	9	29
8	с одной стороны	2	28
9	до сих пор	4	23
10	не может быть	5	23
11	и т д	20	22
12	с другой стороны	11	20
13	на самом деле	5	17
14	не только не	5	16
15	в зависимости от	3	15
16	во всяком случае	8	14
17	так же как	3	14
18	в то время	6	14
19	само по себе	5	14
20	можно было бы	6	13
21	то время как	6	13
22	и в этом	6	13
23	сам по себе	10	12
24	в конце концов	4	12
25	этой точки зрения	2	12
26	подобно тому как	2	11
27	по сравнению с	3	11
28	только в том	2	10
29	и если мы	3	10
30	сами по себе	8	10
31	том что он	2	10
32	и то что	8	10
33	что он не	2	9
34	потому что он	6	9
35	никак не может	3	9
36	мы могли бы	3	9
37	в данном случае	12	9
38	в отличие от	2	9
39	точно так же	5	9
40	и то же	5	8
41	и как бы	2	8
42	что и в	3	7
43	можно сказать что	2	7
44	только то что	4	7
45	как и в	2	7
46	одно и то	4	7
47	в этом смысле	5	7
48	более или менее	2	6
49	тем не менее	23	6
50	сама по себе	11	6
51	не что иное	6	6
52	именно потому что	3	6
53	что иное как	6	6
54	того или иного	5	6
55	мы не можем	2	6
56	то что мы	3	6
57	и может быть	2	6
58	не только в	2	6
59	ни в каком	8	5
60	в таком случае	7	5
61	потому что они	2	5
62	не было бы	3	5
63	же как и	4	5
64	не имеет никакого	3	5
65	мы все же	3	5
66	о том как	4	5
67	в том виде	4	5
68	в том смысле	4	5
69	и в частности	4	5
70	и когда мы	3	4
71	ясно что в	2	4
72	не значит что	2	4
73	то есть в	5	4
74	в настоящее время	4	4
75	как будто бы	7	4
76	по себе и	2	4
77	это то что	2	4
78	мы говорили выше	2	4
79	это и есть	3	4
80	вовсе не в	2	4
81	это было бы	2	4
82	то или иное	3	4
83	то что у	3	4
84	это вовсе не	5	4
85	только потому что	3	4
86	те или иные	6	4
87	бы то ни	5	3
88	и здесь мы	2	3
89	заключается только в	2	3
90	может быть и	3	3
91	ничего общего с	2	3
92	в том или	2	3
93	столько же сколько	2	3
94	том виде как	4	3
95	а вовсе не	3	3
96	в этом случае	8	3
97	нет никакой возможности	4	3
98	по себе а	3	3
99	в то же	10	3
100	нечто такое что	2	3
101	иметь в виду	2	3
102	говорить о том	2	3
103	обратить внимание на	2	3
104	друг от друга	3	3
105	том смысле что	4	3
106	том или ином	3	3
107	но если бы	3	3
108	дело в том	4	3
109	что не только	2	2
110	той или иной	16	2
111	как мы видели	2	2
112	то есть не	5	2
113	так и в	2	2
114	и не было	2	2
115	дело не в	4	2
116	д и т	5	2
117	не могли бы	2	2
118	и что даже	2	2
119	то ни было	4	2
120	по себе как	2	2
121	но никак не	4	2
122	есть не что	6	2
123	но и в	2	2
124	в связи с	9	2
125	хотя и не	2	2
126	для этого необходимо	2	2
127	в чем же	2	2
128	тех или иных	7	2
129	имеем в виду	4	2
130	только при помощи	4	2
131	по крайней мере	9	2
132	в каком случае	5	2
133	мы находим в	2	2
134	на первый план	3	2
135	только о том	2	2
136	это значит что	8	2
137	несмотря на свою	2	2
138	и тем что	2	2
139	и представить себе	2	2
140	и только в	3	2
141	в значительной мере	2	2
142	и тем не	6	2
143	и тем самым	3	2
144	т д и	5	2
145	потому что мы	2	2
146	так же и	3	2
147	так или иначе	2	2
148	когда мы говорим	5	2
149	это и не	3	2
150	мы имеем дело	2	2
151	а может быть	2	2
152	а то что	3	2
153	равно как и	2	2
154	только в очень	2	2
