N	2gram	Kanaev_Sov	Formalny
1	и в	7	95
2	и не	6	78
3	может быть	12	66
4	в этом	7	61
5	не может	17	57
6	и пр	2	53
7	таким образом	11	52
8	точки зрения	12	47
9	в нем	3	42
10	в его	2	42
11	прежде всего	5	41
12	с точки	5	40
13	как и	6	39
14	не в	3	35
15	в самом	2	35
16	а не	3	34
17	то же	3	32
18	самом деле	2	32
19	не только	4	30
20	в том	4	26
21	отнюдь не	3	26
22	при этом	3	24
23	было бы	3	23
24	с помощью	4	23
25	как бы	4	21
26	что в	2	21
27	не менее	2	20
28	как мы	2	20
29	не могут	2	19
30	все это	3	19
31	все же	3	18
32	и все	3	18
33	все эти	5	18
34	во всяком	2	16
35	совершенно не	2	16
36	всяком случае	2	16
37	но в	3	15
38	так как	4	15
39	в целом	4	14
40	еще не	3	14
41	в этой	3	14
42	если мы	4	14
43	и потому	3	14
44	жизни и	4	14
45	вместе с	4	14
46	в настоящее	2	13
47	настоящее время	2	13
48	а в	4	13
49	что же	5	13
50	могут быть	2	13
51	в результате	6	13
52	уже не	2	12
53	так сказать	2	11
54	то ни	2	11
55	зависимости от	4	11
56	в зависимости	4	10
57	мы не	9	10
58	в дальнейшем	4	10
59	мы видели	4	10
60	в первом	3	10
61	если же	2	10
62	тем же	2	10
63	быть и	2	9
64	ничего не	6	9
65	в каждом	8	9
66	и даже	2	9
67	у нас	3	9
68	еще более	2	9
69	в свою	2	9
70	говорить о	2	9
71	мы знаем	2	9
72	это не	4	8
73	между собой	3	8
74	с одной	2	8
75	в области	3	8
76	что это	2	8
77	с этим	2	8
78	первый период	2	8
79	и к	3	8
80	роль в	2	8
81	ясно что	3	8
82	в себе	3	7
83	свою очередь	2	7
84	и наконец	5	7
85	но все	2	7
86	из них	4	7
87	в которой	2	6
88	в конце	3	6
89	на этом	2	6
90	из этих	2	6
91	при таком	3	6
92	отличается от	3	6
93	такой же	2	6
94	в живом	2	6
95	нет и	4	6
96	их в	4	6
97	уже в	3	6
98	той же	2	6
99	мы должны	4	5
100	не можем	7	5
101	или же	2	5
102	отличие от	2	5
103	с необходимостью	3	5
104	в отличие	2	5
105	и по	2	5
106	то и	2	5
107	мы можем	6	5
108	значение в	2	5
109	в условиях	5	5
110	для нас	3	5
111	период развития	2	5
112	приводит к	2	5
113	и что	2	5
114	в нашем	2	5
115	вопрос о	4	5
116	а на	2	4
117	он должен	2	4
118	как он	3	4
119	на котором	2	4
120	он в	3	4
121	самого начала	3	4
122	и во	2	4
123	с самого	3	4
124	одна из	3	4
125	тем не	2	4
126	тот или	2	4
127	в таком	2	4
128	что такое	2	4
129	знаем что	2	4
130	в некоторых	2	4
131	или иной	2	3
132	представлять себе	2	3
133	в науке	2	3
134	в развитии	4	3
135	со всеми	2	3
136	может иметь	2	3
137	говорить об	2	3
138	с другом	2	3
139	ни одна	2	3
140	из одного	2	3
141	на его	2	3
142	мы видим	2	3
143	тот же	2	3
144	каждого элемента	4	3
145	друг с	2	3
146	следующим образом	3	3
147	каждого из	2	3
148	все те	2	3
149	он может	3	3
150	в одном	3	3
151	можно назвать	2	3
152	в системе	3	3
153	же самое	2	3
154	что при	2	3
155	и именно	2	3
156	на их	2	3
157	не дает	2	3
158	поэтому мы	3	2
159	форма в	2	2
160	ведь это	3	2
161	в виде	2	2
162	же мы	2	2
163	а все	3	2
164	говорим о	2	2
165	о принципиальной	2	2
166	его развития	3	2
167	субъективное состояние	2	2
168	же это	4	2
169	что она	3	2
170	жизни мы	2	2
171	который как	2	2
172	времени и	2	2
173	как известно	2	2
174	только так	2	2
175	на этот	2	2
176	видели что	3	2
177	только одна	6	2
178	только один	2	2
179	этих двух	2	2
180	само собою	3	2
181	и есть	2	2
