N	3gram	Propp_Russ	FransuaR
1	как мы уже	2	28
2	в том что	27	27
3	в большинстве случаев	2	22
4	с точки зрения	3	20
5	для того чтобы	6	17
6	о том что	6	17
7	в связи с	4	16
8	в отличие от	4	11
9	на самом же	2	10
10	в данном случае	7	10
11	самом же деле	2	10
12	после того как	3	8
13	в настоящее время	3	7
14	можно было бы	2	7
15	и в других	7	7
16	подобно тому как	3	7
17	в то время	3	7
18	но все же	2	6
19	в свою очередь	2	6
20	в это время	3	5
21	потому что он	2	5
22	может быть и	3	4
23	и связанные с	2	4
24	как мы увидим	5	4
25	так же как	5	4
26	том что в	7	4
27	в других местах	9	4
28	но это не	3	3
29	все же не	2	3
30	еще далеко не	2	3
31	в эти дни	4	3
32	вместе с тем	10	3
33	с таким же	2	3
34	и в том	2	3
35	что иное как	3	3
36	во время которого	2	3
37	не что иное	3	3
38	по улицам и	3	3
39	и в этом	2	3
40	так как они	2	3
41	на новый год	3	2
42	только тогда когда	3	2
43	для этой цели	2	2
44	на другой день	2	2
45	в этом случае	9	2
46	на части и	2	2
47	мы не можем	5	2
48	мы уже знаем	2	2
49	же как и	3	2
50	по этому поводу	3	2
51	друг к другу	2	2
52	но и на	2	2
53	мы не будем	4	2
54	и некоторые другие	2	2
55	том что это	2	2
56	в том чтобы	2	2
