N	2gram	Potebnia_M	KFilosof
1	может быть	46	45
2	в его	6	42
3	в нем	16	32
4	не может	18	29
5	и не	28	28
6	и в	48	28
7	по отношению	12	26
8	в котором	7	24
9	для меня	5	22
10	отношению к	10	22
11	не есть	24	22
12	в себе	26	21
13	и его	4	18
14	только в	29	18
15	в своем	6	17
16	в ее	3	17
17	а не	22	17
18	в этом	19	15
19	не в	24	13
20	для него	14	13
21	точки зрения	4	13
22	но не	8	12
23	и это	6	12
24	к нему	7	12
25	ни в	2	12
26	в своей	2	11
27	из себя	3	11
28	это не	2	10
29	в целом	5	10
30	все это	4	10
31	с точки	3	10
32	и есть	4	10
33	в их	2	9
34	но и	30	9
35	как бы	10	9
36	и все	5	9
37	если бы	20	8
38	не было	12	8
39	лишь в	2	8
40	со стороны	4	8
41	быть только	5	8
42	в мире	3	8
43	в единстве	2	8
44	жизни и	3	8
45	было бы	16	8
46	для себя	3	7
47	и здесь	3	7
48	то что	37	7
49	уже не	11	7
50	конечно не	2	7
51	и только	5	7
52	что и	16	7
53	во всем	2	7
54	вовсе не	13	7
55	должно быть	9	6
56	отношение к	2	6
57	но эта	3	6
58	в том	47	6
59	но все	2	6
60	не имеет	10	6
61	в смысле	4	6
62	место в	4	6
63	и их	4	6
64	но это	9	6
65	и я	3	6
66	он не	4	6
67	никогда не	2	5
68	от его	2	5
69	его в	6	5
70	все же	3	5
71	не только	32	5
72	но как	2	5
73	бы быть	3	5
74	его как	3	5
75	хотя бы	3	5
76	и содержание	2	5
77	то же	35	5
78	ни одно	2	5
79	еще не	9	5
80	не знает	4	5
81	а в	14	5
82	но в	8	5
83	как и	22	5
84	именно в	5	5
85	что я	5	5
86	время и	2	5
87	в одном	4	5
88	там где	6	5
89	себя и	4	5
90	я и	3	5
91	с ним	10	5
92	в каком	8	4
93	что это	6	4
94	тем самым	11	4
95	том что	28	4
96	что в	30	4
97	могла бы	2	4
98	не как	3	4
99	ни было	2	4
100	времени и	2	4
101	прежде всего	6	4
102	в чем	6	4
103	к ним	3	4
104	с другим	2	4
105	могло бы	2	4
106	в своих	2	4
107	входит в	3	4
108	для нас	40	4
109	с ними	6	4
110	при этом	6	4
111	только как	9	4
112	из него	4	4
113	должна быть	2	4
114	между тем	19	4
115	слово не	6	3
116	предмета в	2	3
117	в то	16	3
118	на самом	4	3
119	от него	2	3
120	сознания и	2	3
121	человека и	8	3
122	в каждом	6	3
123	это единство	2	3
124	котором мы	2	3
125	не я	3	3
126	от того	10	3
127	в некотором	2	3
128	это и	2	3
129	тем что	13	3
130	и тем	8	3
131	та же	3	3
132	бы не	6	3
133	для того	8	3
134	самом деле	5	3
135	тем как	4	3
136	людей и	2	3
137	к чему	2	3
138	и тот	5	3
139	по своему	2	3
140	его жизни	2	3
141	нет и	2	3
142	не менее	9	3
143	независимо от	10	3
144	о том	7	3
145	что этот	2	3
146	в ней	11	3
147	в свою	6	3
148	могут быть	6	3
149	этом смысле	2	3
150	тогда когда	20	3
151	и та	5	3
152	и на	5	3
153	что не	12	3
154	и другого	2	3
155	того что	24	3
156	мы не	17	3
157	и может	4	3
158	был бы	2	3
159	один и	2	3
160	рядом с	2	3
161	не имеем	3	3
162	тот же	2	3
163	бы и	4	3
164	не дает	2	3
165	и то	13	2
166	все остальные	3	2
167	и чувство	2	2
168	кажется что	3	2
169	только по	5	2
170	и мы	3	2
171	и потому	9	2
172	предмет и	2	2
173	в данном	3	2
174	его к	2	2
175	его с	3	2
176	его на	3	2
177	как оно	2	2
178	себе а	4	2
179	же с	7	2
180	говорить о	6	2
181	и эта	2	2
182	мысль не	3	2
183	не потому	2	2
184	к этому	3	2
185	деятельности и	2	2
186	вопрос о	2	2
187	это было	3	2
188	в это	2	2
189	из нее	2	2
190	а это	2	2
191	тем не	7	2
192	к содержанию	4	2
193	и как	8	2
194	оба эти	2	2
195	в виде	3	2
196	то или	2	2
197	а как	2	2
198	и других	3	2
199	бы оно	2	2
200	это только	2	2
201	в области	3	2
202	а с	4	2
203	одного и	2	2
204	что он	8	2
205	под ним	2	2
206	отказаться от	2	2
207	так и	17	2
208	но этот	2	2
209	отношении к	3	2
210	что есть	3	2
211	смысле в	3	2
212	но нет	2	2
213	что только	7	2
214	с тем	9	2
215	вытекает из	2	2
216	как в	17	2
217	как предмет	2	2
218	от этого	2	2
219	думать что	6	2
220	одна и	2	2
221	в сознании	36	2
222	тому что	6	2
223	она не	4	2
224	в ту	2	2
225	он может	2	2
226	но есть	3	2
227	не из	4	2
228	ему в	2	2
229	оно не	7	2
230	есть именно	2	2
231	мы говорим	2	2
232	если не	6	2
233	нечто вроде	2	2
234	в процессе	2	2
235	ее от	2	2
236	один из	7	2
237	это можно	4	2
238	по себе	26	2
239	мысль и	2	2
240	потому что	82	2
241	совсем не	2	2
242	не будет	4	2
243	все возможное	2	2
244	того чтобы	5	2
245	и того	2	2
246	человек не	4	2
247	что эта	3	2
248	слова в	7	2
249	именно на	2	2
250	не следует	6	2
251	же время	8	2
252	ничего общего	2	2
253	человек и	2	2
254	быть не	4	2
255	этого слова	14	2
256	в этой	3	2
257	бы то	2	2
258	ни был	3	2
259	будет ли	3	2
