N	2gram	Medvedev_F	formyVre
1	и в	54	148
2	в этом	39	73
3	в нем	25	51
4	прежде всего	34	46
5	и т	22	40
6	и не	34	37
7	в его	30	36
8	и его	27	36
9	вовсе не	18	35
10	но и	18	33
11	то же	16	32
12	т п	11	32
13	не только	14	32
14	в литературе	6	32
15	но в	9	31
16	жизни и	10	31
17	так и	24	29
18	может быть	30	27
19	не в	16	26
20	как мы	10	26
21	как и	18	25
22	как бы	10	25
23	точки зрения	21	24
24	в то	14	23
25	только в	6	23
26	то что	14	22
27	в том	17	22
28	жизни в	2	21
29	все эти	12	21
30	связи с	12	21
31	во всех	9	21
32	же время	13	21
33	в основном	3	19
34	в своем	12	19
35	и др	8	19
36	и для	5	19
37	и на	10	19
38	и все	9	18
39	по существу	8	18
40	еще не	6	18
41	таким образом	28	18
42	с этим	6	17
43	при этом	14	17
44	так как	4	17
45	в особенности	7	17
46	в пределах	13	17
47	все же	8	16
48	и во	2	16
49	в связи	11	16
50	в основе	7	16
51	не может	26	16
52	и их	13	16
53	никогда не	6	15
54	в них	4	15
55	лишь в	15	15
56	так сказать	6	15
57	в дальнейшем	3	15
58	в одном	2	15
59	с точки	17	15
60	с его	12	15
61	вместе с	8	15
62	так же	5	14
63	все это	11	14
64	всех этих	6	14
65	и как	6	14
66	в конце	2	14
67	и с	17	14
68	как раз	8	14
69	а не	11	14
70	роль в	2	13
71	в их	16	13
72	в частности	4	13
73	а в	11	13
74	здесь в	2	13
75	того чтобы	4	13
76	же в	4	13
77	для того	3	13
78	как в	12	13
79	в котором	2	13
80	в самом	17	13
81	с ним	3	13
82	ничего не	5	12
83	отнюдь не	13	12
84	в истории	10	12
85	значение и	4	12
86	не было	7	12
87	время в	4	12
88	и до	8	12
89	конечно не	5	12
90	и наконец	7	12
91	но не	5	12
92	потому что	2	12
93	он не	8	12
94	что в	10	12
95	его в	5	11
96	между ними	3	11
97	в ней	15	11
98	хотя и	3	11
99	ни в	3	11
100	из них	5	11
101	вещей и	3	10
102	влияние на	3	10
103	здесь не	5	10
104	в ее	10	10
105	кроме того	3	10
106	и другие	3	10
107	сих пор	7	10
108	входит в	8	10
109	уже не	9	10
110	в большинстве	6	10
111	на основе	6	10
112	до сих	7	10
113	могут быть	7	9
114	и других	4	9
115	всего в	5	9
116	в других	5	9
117	жизнь и	3	9
118	том что	3	9
119	должно быть	13	9
120	и даже	7	9
121	мира в	2	9
122	та же	3	9
123	и это	4	9
124	с другой	8	9
125	для него	9	9
126	но все	4	9
127	в самой	2	9
128	их в	2	9
129	оно не	6	9
130	отношения к	6	9
131	до конца	9	8
132	это не	4	8
133	и прежде	3	8
134	и потому	9	8
135	в произведении	2	8
136	к тому	6	8
137	отношение к	4	8
138	в целом	7	8
139	большинстве случаев	5	8
140	один из	4	8
141	что и	10	8
142	во всяком	6	8
143	характер и	2	8
144	в результате	8	8
145	в этот	2	8
146	и по	3	8
147	если бы	8	8
148	в этих	3	8
149	со всеми	3	8
150	отношению к	4	8
151	с одной	5	8
152	в жизни	3	8
153	в мире	4	8
154	значение в	4	8
155	и к	7	8
156	в некоторых	2	8
157	в виду	2	8
158	на фоне	7	8
159	жизни но	2	8
160	для всех	2	7
161	в процессе	17	7
162	в себе	4	7
163	не как	7	7
164	связанных с	2	7
165	за счет	4	7
166	для других	2	7
167	у них	3	7
168	отличие от	2	7
169	того что	7	7
170	широком смысле	3	7
171	в той	3	7
172	место в	8	7
173	было бы	10	7
174	к этому	3	7
175	из этих	4	7
176	в которой	5	7
177	с ее	7	7
178	т д	11	7
179	этом отношении	7	7
180	не могло	6	7
181	ее в	3	7
182	в отличие	2	7
183	еще более	6	7
184	в форме	2	7
185	но он	2	7
186	в широком	5	6
