N	2gram	Medvedev_F	EvropaiE
1	и в	54	37
2	в отношении	3	32
3	в пределах	13	25
4	точки зрения	21	23
5	что в	10	21
6	не только	14	18
7	с точки	17	17
8	в то	14	16
9	отношении к	2	15
10	хотя бы	10	15
11	то же	16	15
12	в своем	12	14
13	но в	9	14
14	но и	18	14
15	и не	34	14
16	же время	13	14
17	в качестве	2	14
18	в этом	39	12
19	в том	17	11
20	в их	16	11
21	в области	6	11
22	так и	24	10
23	все более	4	9
24	т е	50	9
25	так же	5	9
26	в смысле	2	9
27	не может	26	9
28	отнюдь не	13	9
29	в себе	4	9
30	прежде всего	34	9
31	только в	6	9
32	одной стороны	5	8
33	между тем	4	8
34	в ее	10	8
35	думать что	4	8
36	было бы	10	8
37	в своей	16	8
38	с одной	5	8
39	к тому	6	8
40	нам кажется	2	7
41	с другой	8	7
42	как и	18	7
43	так как	4	7
44	того что	7	7
45	том что	3	6
46	во всех	9	6
47	и даже	7	6
48	может быть	30	6
49	и на	10	6
50	стороны и	4	6
51	с этой	4	6
52	того чтобы	4	6
53	для того	3	6
54	на то	2	6
55	то что	14	6
56	как бы	10	6
57	вовсе не	18	6
58	но не	5	5
59	от этого	3	5
60	тем самым	5	5
61	и по	3	5
62	и потому	9	5
63	столь же	2	5
64	в россии	4	5
65	в той	3	5
66	как мы	10	5
67	со стороны	7	5
68	не в	16	5
69	в виде	2	5
70	в частности	4	5
71	же как	3	5
72	одной из	2	5
73	даже в	2	4
74	сказать что	3	4
75	вопрос о	3	4
76	и притом	2	4
77	не имеет	2	4
78	или иного	8	4
79	можно сказать	2	4
80	то в	3	4
81	независимо от	5	4
82	именно в	12	4
83	в процессе	17	4
84	в самом	17	4
85	но даже	2	4
86	техники и	3	4
87	мы не	6	4
88	в ней	15	4
89	по себе	10	4
90	несмотря на	2	4
91	мира в	2	4
92	к ней	3	4
93	ни было	2	4
94	не на	3	4
95	как это	8	4
96	то ни	5	4
97	того или	6	4
98	бы то	4	4
99	никогда не	6	3
100	с тем	11	3
101	и от	9	3
102	и для	5	3
103	ни на	5	3
104	и только	5	3
105	очевидно что	2	3
106	идет о	3	3
107	в данном	2	3
108	в общем	8	3
109	время в	4	3
110	не из	5	3
111	когда он	3	3
112	этом смысле	3	3
113	бы ни	5	3
114	в свою	8	3
115	и к	7	3
116	в результате	8	3
117	от них	2	3
118	не будет	2	3
119	из них	5	3
120	и прежде	3	3
121	во все	2	3
122	в них	4	3
123	всяком случае	6	3
124	место в	8	3
125	мы видели	5	3
126	что и	10	3
127	во второй	3	3
128	отметить что	2	3
129	там где	3	3
130	и тем	3	3
131	не дает	3	3
132	тем что	6	3
133	этом отношении	7	3
134	не является	3	3
135	жизни в	2	3
136	потому что	2	3
137	на своем	3	3
138	в таком	2	3
139	и со	3	3
140	себе в	2	3
141	в применении	4	3
142	как в	12	3
143	как на	5	3
144	в известной	2	3
145	применении к	4	3
146	большинстве случаев	5	3
147	ее в	3	3
148	во всяком	6	3
149	известной степени	4	3
150	данном случае	2	2
151	и если	2	2
152	представление о	2	2
153	в мире	4	2
154	если в	3	2
155	в его	30	2
156	не есть	4	2
157	и этот	2	2
158	в эту	3	2
159	и всецело	2	2
160	при помощи	2	2
161	что если	2	2
162	к нему	3	2
163	не могут	8	2
164	она не	8	2
165	а в	11	2
166	с этим	6	2
167	с другими	11	2
168	в котором	2	2
169	тому чтобы	2	2
170	какой бы	2	2
171	но как	2	2
172	в сторону	4	2
173	далеко не	2	2
174	в своих	3	2
175	от друга	2	2
176	дело идет	6	2
177	и отчасти	6	2
178	в большинстве	6	2
179	во многом	2	2
180	и с	17	2
181	бы в	6	2
182	этот вопрос	2	2
183	в другой	2	2
184	что на	3	2
185	во втором	7	2
186	могут быть	7	2
187	по преимуществу	6	2
188	в развитии	2	2
189	другой стороны	5	2
190	не дают	2	2
191	между ними	3	2
192	в значительной	3	2
193	следует отметить	2	2
194	на язык	5	2
195	в одном	2	2
196	как их	4	2
197	и как	6	2
198	не можем	3	2
199	что же	6	2
200	целый ряд	4	2
201	если бы	8	2
202	в содержании	7	2
203	для них	4	2
204	ее от	2	2
205	в этих	3	2
206	жизни и	10	2
207	еще более	6	2
208	в других	5	2
209	а не	11	2
210	и других	4	2
211	культуры с	2	2
212	и что	2	2
213	и во	2	2
214	и наконец	7	2
215	свою очередь	6	2
216	же в	4	2
217	точка зрения	3	2
218	но именно	2	2
219	подходит к	4	2
220	и чем	3	2
221	и все	9	2
222	влияние на	3	2
223	или в	2	2
224	друг от	2	2
225	в идеологическом	6	2
226	таким образом	28	2
227	а именно	3	2
228	в истории	10	2
229	он не	8	2
230	такой же	2	2
231	во всей	4	2
232	главным образом	5	2
233	и эта	2	2
234	не к	2	2
235	в этой	10	2
236	в некоторых	2	2
237	проблемы и	2	2
238	всего в	5	2
239	хотя и	3	2
240	в какой	3	2
241	должна быть	11	2
242	вместе с	8	2
243	на основе	6	2
244	и более	4	2
245	культуры и	3	2
