N	3gram	Medvedev_F	Komedia
1	в том что	3	29
2	до сих пор	7	16
3	то же время	13	16
4	в то же	13	16
5	в самом деле	5	13
6	для того чтобы	3	11
7	и т п	11	11
8	в свою очередь	6	10
9	по отношению к	4	9
10	с одной стороны	5	9
11	вместе с тем	5	9
12	с другой стороны	4	8
13	бы то ни	4	7
14	в конце концов	2	7
15	во всяком случае	6	7
16	с самого начала	2	7
17	в связи с	9	6
18	с точки зрения	17	6
19	в отличие от	2	6
20	и т д	11	5
21	в этом отношении	7	5
22	тем не менее	2	5
23	что и в	2	4
24	т е в	2	4
25	к тому что	3	4
26	но все же	2	4
27	в той же	2	3
28	более или менее	7	3
29	друг от друга	2	3
30	но и в	4	3
31	в высшей степени	4	3
32	в какой мере	2	3
33	и не менее	3	2
34	в большинстве случаев	5	2
35	как мы видели	5	2
36	в зависимости от	4	2
37	так и в	6	2
38	как мы знаем	2	2
39	на то чтобы	2	2
40	из всего этого	2	2
41	в этом смысле	3	2
42	одной стороны и	4	2
43	и в то	4	2
44	как это было	2	2
