N	2gram	Tiupa_Lite	Dialekti
1	не есть	2	181
2	и не	19	120
3	и т	2	82
4	а не	28	78
5	и в	26	77
6	точки зрения	8	72
7	может быть	24	71
8	не только	29	66
9	то что	14	59
10	и есть	3	55
11	ничего не	3	54
12	не может	10	53
13	и даже	9	47
14	так как	2	46
15	с точки	4	46
16	потому что	5	45
17	не просто	2	44
18	как бы	8	43
19	и что	2	42
20	не имеет	2	41
21	вовсе не	3	41
22	в том	22	40
23	что такое	2	39
24	в этом	19	39
25	то же	13	39
26	в себе	8	38
27	том что	19	37
28	что он	8	37
29	прежде всего	14	37
30	это не	4	36
31	так что	4	36
32	что в	7	34
33	в нем	4	34
34	того что	7	33
35	но и	25	32
36	и как	2	30
37	отнюдь не	4	30
38	так и	7	29
39	было бы	4	29
40	как и	13	28
41	никогда не	5	27
42	крайней мере	2	26
43	по крайней	2	26
44	в виду	4	26
45	не в	11	26
46	есть не	2	25
47	и то	3	25
48	но это	2	24
49	и вот	2	23
50	в то	12	23
51	таким образом	4	23
52	я не	8	22
53	что не	3	21
54	должна быть	3	21
55	в чем	2	21
56	только в	8	20
57	как раз	6	20
58	что и	3	20
59	о том	3	20
60	уже не	9	20
61	и с	4	20
62	в своем	12	19
63	как это	9	19
64	не менее	11	19
65	в самом	4	19
66	и его	7	19
67	с другой	11	18
68	хотя бы	3	18
69	же время	12	18
70	жизни и	6	18
71	в основе	5	17
72	в сущности	5	17
73	в особенности	2	17
74	в своей	5	16
75	мы не	5	16
76	нет ничего	2	16
77	да и	3	16
78	то это	2	16
79	тем не	4	16
80	то в	3	15
81	также и	3	15
82	но только	3	15
83	все же	6	15
84	самом деле	2	15
85	и мы	2	15
86	же и	3	15
87	на то	2	15
88	личности в	4	15
89	несмотря на	3	15
90	с ним	2	14
91	даже и	2	14
92	же это	3	14
93	на свете	2	14
94	не было	5	14
95	и только	4	14
96	в силу	4	13
97	но в	5	13
98	в ней	4	13
99	он не	4	13
100	другой стороны	5	13
101	с ее	3	13
102	субъекта и	3	13
103	могут быть	4	12
104	еще не	4	12
105	все эти	2	12
106	никак не	2	12
107	и жизни	4	12
108	но как	3	12
109	а в	5	12
110	тем более	2	12
111	и нет	4	12
112	но не	8	12
113	та же	2	11
114	себе не	2	11
115	и тем	4	11
116	только на	3	11
117	тех или	2	11
118	в данном	7	11
119	мы имеем	2	11
120	только то	3	11
121	что я	4	11
122	из них	5	11
123	одно из	3	10
124	в душе	3	10
125	к тому	3	10
126	как мы	2	10
127	в его	9	10
128	за пределы	3	10
129	для того	2	10
130	с этой	6	10
131	себе и	2	10
132	что для	2	10
133	чтобы не	2	10
134	в их	3	10
135	в частности	18	10
136	во всяком	3	10
137	то и	5	10
138	в результате	2	10
139	как будто	2	10
140	в жизни	7	10
141	как он	2	9
142	общего с	3	9
143	а если	2	9
144	превращается в	2	9
145	не как	4	9
146	имеется в	2	9
147	подобно тому	4	9
148	в этих	2	9
149	тому как	4	9
150	той же	5	9
151	в одном	2	9
152	или иной	3	9
153	быть может	2	9
154	же как	3	9
155	при этом	23	9
156	и он	3	9
157	в противоположность	2	9
158	мир и	2	9
159	на этом	3	9
160	и на	5	9
161	в отношении	2	8
162	от него	2	8
163	то как	2	8
164	не на	2	8
165	в этой	7	8
166	у нас	5	8
167	с одной	9	8
168	даже в	6	8
169	уже о	2	8
170	один из	7	8
171	в поэзии	4	8
172	ничего общего	2	8
173	что есть	2	8
174	или иначе	9	8
175	в сфере	7	8
176	себя в	7	8
177	тем самым	8	7
178	в конце	6	7
179	из этих	2	7
180	а только	2	7
181	не говоря	3	7
182	связи с	7	7
183	в сравнении	2	7
184	тем что	6	7
185	в связи	4	7
186	все что	3	7
187	нуждается в	3	7
188	со стороны	6	7
189	от себя	2	7
190	не знает	3	7
191	говоря уже	3	7
192	и я	7	7
193	с его	5	7
194	как в	5	7
195	так или	8	7
196	в мире	9	7
197	из которых	3	7
198	он сам	2	7
199	как на	3	7
200	еще и	3	6
201	можно и	2	6
202	в другом	3	6
203	это как	3	6
204	с тем	2	6
205	для своего	2	6
206	при всем	4	6
207	себя и	3	6
208	одна из	8	6
209	для этого	5	6
210	а я	2	6
211	но лишь	4	6
212	по своей	3	6
213	как все	2	6
214	в себя	5	6
215	но с	3	6
216	вместе с	5	6
217	его в	4	6
218	и прежде	4	6
219	я вижу	2	6
220	по существу	4	6
221	одной стороны	8	6
222	этой точки	3	6
223	себя как	2	6
224	можно было	3	6
225	более не	2	6
226	от самого	2	6
227	с их	3	6
228	во всех	4	6
229	дело не	2	6
230	сравнении с	2	6
231	я и	10	6
232	для него	6	6
233	не с	2	6
234	того кто	2	6
235	уже в	7	6
236	всяком случае	2	6
237	из того	3	5
238	речь идет	3	5
239	для нее	2	5
240	если в	2	5
241	но даже	2	5
242	которая не	2	5
243	не является	3	5
244	и наконец	2	5
245	едва ли	5	5
246	например в	3	5
247	в своих	5	5
248	личности с	2	5
249	раз и	2	5
250	из этого	2	5
251	вплоть до	4	5
252	не раз	2	5
253	в области	5	5
