N	3gram	Vinokur_Ku	Freidism
1	с точки зрения	16	15
2	не может быть	5	14
3	по отношению к	8	11
4	в самом деле	14	10
5	в том что	23	9
6	во всяком случае	8	8
7	в то же	4	6
8	мы знаем что	2	6
9	то же время	4	6
10	в большинстве случаев	2	5
11	можно сказать что	2	5
12	тем не менее	9	4
13	в этом отношении	8	4
14	мы увидим что	2	4
15	в зависимости от	7	4
16	на самом деле	3	4
17	в первый период	2	4
18	в свою очередь	4	4
19	на этот вопрос	3	3
20	о том что	6	3
21	так и в	2	3
22	для того чтобы	21	3
23	в конечном счете	2	3
24	к тому чтобы	2	3
25	до сих пор	5	3
26	что все эти	2	3
27	что же касается	4	3
28	в таких случаях	3	2
29	ни в каком	2	2
30	а с другой	3	2
31	том что он	4	2
32	к тому что	2	2
33	а следовательно и	2	2
34	и тем не	4	2
35	пр и пр	2	2
36	то или иное	2	2
37	таким образом в	2	2
38	то обстоятельство что	15	2
39	хотя бы и	4	2
40	заключается в том	2	2
41	в отличие от	3	2
42	в конце концов	3	2
43	с одной стороны	2	2
44	в этом смысле	8	2
45	и пр и	2	2
46	в узком смысле	2	2
