N	3gram	Vygotskiy_	Formalny
1	с точки зрения	12	40
2	не может быть	14	29
3	на самом деле	6	21
4	то же время	2	20
5	в то же	2	20
6	и т д	10	19
7	и т п	23	18
8	во всяком случае	7	16
9	в связи с	2	16
10	в настоящее время	2	13
11	так и в	2	11
12	в самом деле	13	11
13	в этом отношении	7	11
14	бы то ни	2	10
15	в зависимости от	6	10
16	и не может	2	9
17	с другой стороны	7	9
18	для того чтобы	11	8
19	до сих пор	8	8
20	вместе с тем	3	8
21	с одной стороны	6	8
22	в применении к	2	7
23	более или менее	3	7
24	сами по себе	4	7
25	в свою очередь	3	7
26	сам по себе	4	6
27	в художественном произведении	8	6
28	смысле этого слова	2	6
29	не только не	4	6
30	с тем что	2	6
31	в том что	21	6
32	мы не можем	2	5
33	в этом смысле	3	5
34	в отличие от	4	5
35	к тому что	2	5
36	к тому чтобы	3	5
37	и те же	3	5
38	одни и те	3	5
39	в конце концов	6	4
40	тем не менее	6	4
41	не могут быть	2	4
42	подобно тому как	7	4
43	не в том	7	4
44	художественное произведение как	2	4
45	т п в	2	4
46	сама по себе	2	4
47	то же самое	8	3
48	то или иное	2	3
49	и тот же	2	3
50	начала и до	2	3
51	только то что	2	3
52	потому что он	2	3
53	при этом не	2	3
54	только на почве	3	3
55	всяком случае в	2	3
56	то же что	2	3
57	один и тот	2	3
58	мы увидим что	2	3
59	и в частности	2	3
60	в том чтобы	9	3
61	все то что	3	2
62	не может стать	2	2
63	от того что	2	2
64	в том случае	3	2
65	при таком понимании	3	2
66	оно не может	2	2
67	том что искусство	2	2
68	в отношении к	3	2
69	искусство как прием	4	2
70	так же как	8	2
71	от всех других	2	2
72	совершенно очевидно что	2	2
73	лежит в основе	2	2
74	этой точки зрения	7	2
75	как и в	5	2
76	художественного произведения и	2	2
77	с этой точки	5	2
78	выходит за пределы	2	2
79	не потому что	2	2
80	по себе а	3	2
81	формы и содержания	2	2
82	в таком случае	3	2
83	именно потому что	2	2
84	мы видели что	2	2
85	на то чтобы	3	2
86	в последнее время	2	2
87	в собственном смысле	3	2
88	что и в	5	2
89	и в том	2	2
90	в какой мере	3	2
91	так как они	2	2
92	тех или иных	2	2
93	в целом ряде	2	2
