N	2gram	Losev_Dial	NovoeSre
1	а не	24	17
2	и в	35	16
3	не может	16	16
4	и не	51	11
5	и есть	20	10
6	в эпоху	2	9
7	что в	19	9
8	жизни и	9	8
9	как не	4	8
10	в том	20	8
11	он не	5	8
12	не будет	2	7
13	может быть	30	7
14	как и	10	7
15	в этом	18	7
16	это есть	13	7
17	никогда не	18	6
18	ни в	20	6
19	не в	12	6
20	не знает	2	6
21	от бога	3	6
22	но это	12	6
23	не только	26	5
24	в жизни	3	5
25	должен быть	2	5
26	мы живем	2	5
27	все это	14	5
28	в нем	25	5
29	в ней	4	5
30	и к	8	5
31	должно быть	7	4
32	по своему	4	4
33	в них	4	4
34	и для	2	4
35	не имеет	15	4
36	прежде всего	14	4
37	не менее	5	4
38	не было	7	4
39	и потому	6	4
40	и мы	8	4
41	то что	25	4
42	о том	8	4
43	это не	18	4
44	потому что	23	4
45	и все	11	4
46	быть может	5	4
47	значит что	25	4
48	в мире	3	3
49	но и	17	3
50	с другой	10	3
51	не значит	6	3
52	в ее	3	3
53	она не	10	3
54	к тому	6	3
55	и пр	7	3
56	что такое	13	3
57	в своей	9	3
58	еще не	4	3
59	к ним	3	3
60	человека и	2	3
61	исторической эпохи	2	3
62	должна быть	5	3
63	как в	3	3
64	конечно не	9	3
65	не есть	67	3
66	за пределы	4	3
67	сказать что	19	3
68	во всех	3	3
69	вопрос о	3	3
70	это было	4	3
71	не существует	8	3
72	стремится к	2	3
73	в основе	4	3
74	с тем	2	3
75	в одну	8	2
76	время как	7	2
77	в себе	23	2
78	и должно	3	2
79	к богу	3	2
80	что она	18	2
81	как будто	7	2
82	все они	2	2
83	и с	10	2
84	для этого	2	2
85	себя в	2	2
86	но не	9	2
87	нет и	2	2
88	что все	2	2
89	думать что	3	2
90	и от	5	2
91	и это	6	2
92	хотя бы	6	2
93	когда мы	3	2
94	меня это	2	2
95	же как	3	2
96	а в	8	2
97	все время	4	2
98	но в	8	2
99	том что	18	2
100	не к	2	2
101	мысли в	2	2
102	с этим	5	2
103	не хотят	3	2
104	есть в	2	2
105	и что	17	2
106	ли это	4	2
107	все эти	4	2
108	я уже	2	2
109	в смысле	5	2
110	можно было	5	2
111	это и	6	2
112	времени в	2	2
113	мира и	2	2
114	у него	2	2
115	времени и	10	2
116	уже не	3	2
117	по существу	2	2
118	с их	2	2
119	для чего	2	2
120	как это	8	2
121	другой стороны	7	2
122	так же	6	2
123	так и	18	2
124	ни к	2	2
125	помнить что	2	2
126	нем нет	3	2
127	могут быть	6	2
128	но для	2	2
129	одной стороны	3	2
130	такой же	2	2
131	быть в	5	2
132	но она	4	2
133	в то	10	2
134	хотя и	4	2
135	мысли и	3	2
136	мы говорим	6	2
137	этом смысле	4	2
138	с одной	4	2
139	но я	4	2
140	и даже	23	2
141	вместе с	3	2
142	я не	9	2
