N	2gram	Nazirov_Vr	UchenyiS
1	и в	8	14
2	не только	9	10
3	и не	5	8
4	то что	7	7
5	не может	2	7
6	в этом	8	7
7	может быть	4	6
8	то же	5	5
9	все это	4	5
10	но и	7	4
11	в этой	2	4
12	в россии	5	4
13	это не	4	3
14	и то	2	3
15	в своей	2	3
16	все же	6	3
17	как и	6	3
18	в то	5	3
19	но в	6	3
20	же время	5	3
21	по нашему	3	3
22	для него	2	3
23	в себе	2	2
24	и у	3	2
25	о чем	2	2
26	же не	2	2
27	что он	4	2
28	таким образом	2	2
29	между тем	5	2
30	одним из	3	2
31	и с	6	2
32	на первый	2	2
33	тем что	3	2
34	том что	3	2
35	в его	3	2
36	в том	3	2
37	с его	3	2
38	как раз	2	2
39	его и	2	2
40	но это	2	2
41	в конце	3	2
