N	2gram	Bakhtin_Pr	Poddanst
1	не только	26	17
2	и в	64	14
3	и не	55	12
4	в этом	33	10
5	в отношении	5	10
6	но в	14	9
7	то же	18	9
8	в том	12	9
9	хотя бы	4	8
10	в пределах	24	8
11	в то	15	7
12	только в	13	7
13	же время	13	7
14	но и	26	6
15	было бы	8	6
16	в смысле	3	6
17	в ней	2	6
18	с другой	7	5
19	не в	15	5
20	и о	7	5
21	в которых	4	5
22	отношении к	5	5
23	и пр	5	5
24	может быть	43	5
25	по себе	16	4
26	что в	11	4
27	если бы	12	4
28	на пути	2	4
29	и потому	7	4
30	в своем	12	4
31	том что	8	4
32	мы должны	3	4
33	в котором	7	4
34	и к	5	4
35	как бы	33	4
36	и если	2	4
37	то что	21	4
38	не может	26	4
39	а в	10	4
40	же в	2	4
41	и как	9	3
42	но не	12	3
43	это не	12	3
44	т е	44	3
45	с точки	21	3
46	сами по	4	3
47	в россии	2	3
48	мы не	4	3
49	я и	2	3
50	в себе	11	3
51	точки зрения	31	3
52	потому что	8	3
53	в нем	28	3
54	между тем	7	3
55	могут быть	9	3
56	прежде всего	16	3
57	и т	14	3
58	хотя и	5	3
59	тот же	2	3
60	с ними	2	3
61	для нас	2	2
62	должно быть	8	2
63	не о	3	2
64	да и	2	2
65	что из	2	2
66	в них	5	2
67	является в	2	2
68	в жизни	5	2
69	в мире	7	2
70	одна из	5	2
71	отношения к	5	2
72	никак не	4	2
73	стороны и	4	2
74	и мы	2	2
75	и это	8	2
76	есть нечто	2	2
77	слова но	4	2
78	точек зрения	7	2
79	в его	30	2
80	с этим	3	2
81	не менее	3	2
82	бы ни	3	2
83	именно в	5	2
84	русский народ	2	2
85	именно как	2	2
86	еще более	2	2
87	все это	9	2
88	как на	4	2
89	друг другу	3	2
90	начала и	2	2
91	а не	29	2
92	во всей	3	2
93	не было	5	2
94	и есть	3	2
95	например в	5	2
96	и с	9	2
97	во всех	4	2
98	в ее	2	2
99	не нужно	2	2
100	как раз	9	2
101	есть в	2	2
102	того что	3	2
103	из них	3	2
