N	2gram	Vinokur_Vv	slovoVRo
1	и в	35	92
2	и т	45	82
3	т п	5	72
4	в нем	13	59
5	может быть	30	59
6	и его	6	59
7	и не	13	51
8	не только	26	44
9	не может	19	41
10	но и	7	39
11	до конца	3	37
12	в этом	35	36
13	а не	5	34
14	во всех	2	32
15	так и	2	30
16	точки зрения	12	30
17	могут быть	6	29
18	и др	2	29
19	языка и	15	29
20	в его	12	27
21	все это	6	25
22	языка в	5	25
23	как бы	7	24
24	то же	11	23
25	языков и	2	22
26	и на	3	22
27	не в	10	21
28	в сущности	3	21
29	как в	3	21
30	вовсе не	6	21
31	в то	6	20
32	прежде всего	10	19
33	как мы	11	19
34	или иной	3	18
35	как и	7	18
36	язык и	3	18
37	себя в	2	18
38	же время	6	18
39	все же	9	17
40	все эти	3	17
41	в истории	9	17
42	и даже	6	17
43	таким образом	21	17
44	к своему	2	16
45	отличие от	4	16
46	при этом	3	16
47	в них	5	16
48	но в	10	16
49	той или	3	15
50	языков в	3	15
51	и с	2	15
52	в той	10	15
53	с точки	4	15
54	в отличие	4	14
55	только в	16	14
56	это не	8	13
57	рядом с	2	13
58	в особенности	4	13
59	отношении к	2	13
60	и для	4	13
61	с другой	8	13
62	в слове	3	13
63	никогда не	3	12
64	в отношении	3	12
65	и потому	2	12
66	отношение к	3	12
67	а в	6	12
68	во всяком	5	12
69	еще не	4	12
70	и к	3	12
71	один из	6	11
72	языка как	2	11
73	одной стороны	4	11
74	слова как	2	11
75	в этих	3	11
76	язык в	3	11
77	с одной	4	11
78	в своем	3	10
79	в том	38	10
80	в себе	4	10
81	т д	39	10
82	в языке	2	10
83	уже не	6	10
84	его в	6	9
85	одним из	5	9
86	и других	3	9
87	к нему	3	9
88	в их	12	9
89	в своей	4	9
90	этом случае	6	9
91	сказать что	6	9
92	одна из	3	9
93	так как	15	9
94	языка а	2	9
95	но не	9	9
96	на почве	5	9
97	быть и	2	9
98	не могут	6	8
99	в зависимости	3	8
100	в ней	3	8
101	языка но	2	8
102	все время	2	8
103	с этим	3	8
104	в значительной	3	8
105	зависимости от	3	8
106	в самом	13	8
107	входит в	3	8
108	всяком случае	5	8
109	том что	30	7
110	язык как	5	7
111	того же	3	7
112	сливается с	3	7
113	в целом	5	7
114	связи с	3	7
115	например в	2	7
116	здесь не	3	7
117	но все	4	7
118	также и	20	7
119	жизни и	2	7
120	не было	2	7
121	во всем	2	7
122	мы уже	2	7
123	ничего не	2	6
124	на этом	3	6
125	единого и	2	6
126	бы и	3	6
127	а также	3	6
128	одновременно и	3	6
129	что в	13	6
130	дело с	9	6
131	в чисто	4	6
132	большей или	3	6
133	или меньшей	3	6
134	в качестве	8	6
135	можно сказать	4	6
136	другой стороны	5	6
137	лежит в	2	6
138	говорить о	5	6
139	и здесь	3	6
140	стороны и	3	6
141	хотя бы	6	6
142	к языку	2	6
143	именно в	8	6
144	в свою	2	6
145	по себе	11	6
146	в одном	4	6
147	между тем	10	6
148	языка не	2	5
149	в каждом	4	5
150	не как	3	5
151	а как	5	5
152	только на	3	5
153	не менее	9	5
154	отношению к	4	5
155	своего предмета	2	5
156	а затем	2	5
157	мы не	2	5
158	должен быть	4	5
159	хотя и	5	5
160	для этого	3	5
161	в данном	11	5
162	и при	2	5
163	по отношению	4	5
164	с их	5	5
165	в результате	4	5
166	этом отношении	4	5
167	для того	23	5
168	должна быть	2	5
169	на протяжении	2	5
170	не с	3	5
171	как такового	3	5
172	в дальнейшем	2	5
173	о том	16	5
174	той же	4	5
175	уже в	5	5
176	имеет дело	5	5
177	и сам	3	5
178	со словом	2	5
179	с помощью	2	5
180	вместе с	6	5
181	литературы и	2	4
182	следовательно и	2	4
183	в различных	5	4
184	так же	3	4
185	но как	2	4
186	и ее	4	4
187	преимущественно в	2	4
188	в другом	3	4
189	что и	5	4
190	языка или	2	4
191	в виду	5	4
192	что он	5	4
193	том же	2	4
194	однако в	3	4
195	свою очередь	2	4
196	в виде	4	4
197	в частности	3	4
198	истории литературы	3	4
199	от других	2	4
200	того что	12	4
201	мы видели	3	4
202	языке и	4	4
203	до сих	7	4
204	именно как	3	4
205	даже и	4	4
206	в чем	4	4
207	что оно	2	4
208	тогда когда	4	4
209	не столько	2	4
210	того чтобы	22	4
211	же как	3	4
212	одно и	2	4
213	как сказано	2	4
214	одной из	4	4
215	но это	2	4
216	дело не	5	4
217	и как	9	4
218	если бы	3	4
219	вообще не	3	4
220	языка с	2	4
221	с этой	5	4
222	смысле в	2	4
223	или как	3	4
224	в известной	3	4
225	сих пор	7	4
226	к тому	4	4
227	значение в	2	4
228	выражение в	2	4
229	из них	4	4
230	язык но	2	4
231	и уже	3	4
232	из него	2	4
233	как только	2	4
234	именно на	2	4
235	по существу	2	4
236	в большей	7	4
237	слове но	2	4
238	как раз	4	4
239	языка так	2	4
240	данном случае	5	3
241	в широком	7	3
242	нисколько не	3	3
243	нуждается в	3	3
244	еще раз	2	3
245	такого рода	3	3
246	в свое	3	3
247	как это	5	3
248	в разных	7	3
249	на котором	2	3
250	тому что	2	3
251	только с	4	3
252	на том	3	3
253	в более	4	3
254	широком смысле	8	3
255	и без	2	3
256	и те	2	3
257	смысле слова	7	3
258	от языка	2	3
259	и до	2	3
260	было бы	7	3
261	в первом	5	3
262	этого слова	2	3
263	свое выражение	3	3
264	них и	2	3
265	не исчерпывается	2	3
266	и то	7	3
267	и вообще	3	3
268	к этому	3	3
269	из этих	9	3
270	как оно	3	3
271	в собственном	3	3
272	от этого	5	3
273	дело в	5	3
274	этот процесс	4	3
275	должно быть	2	3
276	между языком	2	3
277	действительности в	2	3
278	собственном смысле	3	3
279	сама по	3	3
280	но уже	2	3
281	или иных	3	3
282	в германии	3	3
283	во второй	3	3
284	тем что	6	3
285	в связи	2	3
286	и другие	2	3
287	лишь как	2	3
288	ни с	2	3
289	тех или	3	3
290	не есть	5	3
291	в этой	3	3
292	потому что	18	3
293	и это	6	3
294	произведения и	2	3
295	в форме	2	3
296	языка на	2	3
297	связана с	4	3
298	и тем	5	3
299	чем в	3	3
300	в таких	2	2
301	о которых	2	2
302	и этого	3	2
303	чаще всего	2	2
304	что уже	3	2
305	этого рода	9	2
306	могут не	2	2
307	есть только	2	2
308	в подлинном	2	2
309	и есть	3	2
310	есть не	5	2
311	от характера	4	2
312	факт что	2	2
313	как он	6	2
314	у них	2	2
315	так что	5	2
316	как уже	5	2
317	с материалом	2	2
318	в прямом	4	2
319	а с	2	2
320	то что	19	2
321	по своему	5	2
