N	2gram	Losev_Dial	Mirosoze
1	и в	35	97
2	может быть	30	64
3	не только	26	63
4	это –	38	56
5	в этом	18	55
6	но и	17	54
7	он не	5	53
8	а не	24	53
9	в нем	25	49
10	не может	16	49
11	у него	2	47
12	и не	51	39
13	никогда не	18	38
14	потому что	23	37
15	в ней	4	37
16	не было	7	36
17	не в	12	34
18	и есть	20	33
19	для него	2	31
20	не есть	67	30
21	но он	3	30
22	прежде всего	14	29
23	как и	10	29
24	но в	8	27
25	и он	6	27
26	в мире	3	27
27	человека и	2	26
28	и это	6	25
29	в своей	9	25
30	и все	11	24
31	он –	22	23
32	в своем	7	23
33	что в	19	23
34	что он	16	22
35	в самом	6	21
36	в себе	23	20
37	отношение к	5	20
38	как бы	19	19
39	в его	4	18
40	и потому	6	17
41	того что	6	17
42	любви к	2	17
43	в том	20	16
44	том что	18	16
45	то что	25	16
46	было бы	14	16
47	на земле	3	16
48	и его	6	16
49	не был	3	15
50	быть может	5	15
51	в этой	3	15
52	не знает	2	15
53	в котором	5	15
54	в конце	5	14
55	она не	10	14
56	так как	24	14
57	та же	6	13
58	и вот	10	13
59	это не	18	12
60	и у	2	12
61	к нему	12	12
62	в них	4	12
63	все это	14	12
64	– не	17	12
65	но не	9	12
66	он сам	6	12
67	с тем	2	11
68	но это	12	11
69	хотя бы	6	11
70	в которой	3	11
71	только в	7	11
72	как в	3	11
73	и для	2	11
74	уже не	3	11
75	и к	8	11
76	жизни и	9	11
77	не могут	4	10
78	так же	6	10
79	есть не	8	10
80	это и	6	10
81	один из	3	10
82	должна быть	5	10
83	то же	21	10
84	всю жизнь	2	10
85	не имеет	15	10
86	есть и	11	9
87	бы и	4	9
88	а в	8	9
89	к тому	6	9
90	не будет	2	9
91	что и	7	9
92	я не	9	9
93	образ и	5	9
94	должно быть	7	9
95	все что	2	9
96	есть уже	2	9
97	человек и	2	9
98	с ним	9	9
99	вместе с	3	9
100	вопрос о	3	8
101	ничего не	19	8
102	от него	4	8
103	в этих	6	8
104	они не	3	8
105	жизнь в	2	8
106	мира и	2	8
107	что не	13	8
108	в отношении	5	8
109	т е	49	8
110	только и	5	8
111	себя в	2	8
112	– все	8	8
113	за пределы	4	8
114	тем что	2	8
115	для того	2	8
116	отношении к	3	8
117	что есть	2	8
118	нет и	2	8
119	о том	8	8
120	и с	10	8
121	еще в	2	8
122	уже в	5	8
123	нем есть	6	7
124	она есть	12	7
125	как он	5	7
126	но если	6	7
127	должен быть	2	7
128	что все	2	7
129	мог бы	3	7
130	точки зрения	25	7
131	что она	18	7
132	на этом	4	7
133	что человек	2	7
134	в жизни	3	7
135	также и	7	7
136	не существует	8	7
137	все в	2	7
138	не могу	9	7
139	отношения к	3	7
140	во всем	3	7
141	к богу	3	6
142	чтобы не	6	6
143	его в	3	6
144	личности и	2	6
145	не как	4	6
146	на все	2	6
147	– в	11	6
148	у них	3	6
149	в ее	3	6
150	и человек	2	6
151	его не	7	6
152	это есть	13	6
153	быть и	7	6
154	того как	3	6
155	и от	5	6
156	что это	21	6
157	и нет	2	6
158	можно было	5	6
159	к ней	4	6
160	к другу	2	6
161	если бы	12	6
162	с этой	3	6
163	же и	11	6
164	по своей	5	6
165	жизнь и	5	6
166	и более	7	6
