N	2gram	Ircho_Kome	NovoeSre
1	и в	40	16
2	не может	3	16
3	совсем не	2	12
4	нового времени	7	12
5	и не	19	11
6	что в	12	9
7	жизни и	4	8
8	в том	19	8
9	он не	5	8
10	может быть	16	7
11	как и	12	7
12	в этом	9	7
13	ни в	9	6
14	не в	8	6
15	общественной жизни	2	6
16	но это	2	6
17	с его	4	6
18	не только	12	5
19	все это	7	5
20	в нем	8	5
21	с ее	2	5
22	в ней	2	5
23	и к	2	5
24	по своему	5	4
25	в них	7	4
26	и для	4	4
27	прежде всего	8	4
28	не менее	6	4
29	античного мира	2	4
30	то что	8	4
31	о том	12	4
32	новое время	3	4
33	это не	2	4
34	потому что	8	4
35	и все	4	4
36	государства и	2	4
37	наше время	2	4
38	в мире	3	3
39	но и	14	3
40	с другой	7	3
41	в ее	2	3
42	к тому	15	3
43	к ее	2	3
44	в своей	3	3
45	еще не	7	3
46	в истории	10	3
47	в новое	2	3
48	как в	8	3
49	за пределы	2	3
50	в духе	3	3
51	во всех	4	3
52	вопрос о	5	3
53	это было	5	3
54	наряду с	7	3
55	не означает	2	3
56	с тем	5	3
57	время как	6	2
58	в себе	3	2
59	что она	3	2
60	как будто	3	2
61	и с	8	2
62	одна из	4	2
63	для этого	2	2
64	себя в	2	2
65	но не	3	2
66	нет и	2	2
67	и от	2	2
68	не могли	2	2
69	роль в	2	2
70	войны и	7	2
71	того чтобы	4	2
72	и это	3	2
73	хотя бы	2	2
74	же как	3	2
75	а в	9	2
76	все время	2	2
77	но в	6	2
78	том что	19	2
79	не к	2	2
80	и на	9	2
81	с этим	5	2
82	которых не	2	2
83	и что	2	2
84	ли это	2	2
85	мы не	4	2
86	на протяжении	14	2
87	можно было	5	2
88	в свои	4	2
89	вернуться к	2	2
90	ни одна	2	2
91	времени в	2	2
92	у него	6	2
93	времени и	2	2
94	политики и	2	2
95	с их	4	2
96	как это	7	2
97	другой стороны	6	2
98	так же	4	2
99	так и	17	2
100	такого рода	6	2
101	могут быть	3	2
102	одной стороны	5	2
103	такой же	2	2
104	в то	14	2
105	который в	2	2
106	не могла	2	2
107	хотя и	6	2
108	этом смысле	2	2
109	с одной	5	2
110	и формы	2	2
111	место в	7	2
112	и даже	5	2
113	вместе с	8	2
