N	2gram	Potebnia_M	Tvorches
1	и в	58	56
2	как бы	12	41
3	в его	7	37
4	в то	6	30
5	то же	13	25
6	не только	32	24
7	но в	12	24
8	же время	4	24
9	то есть	69	23
10	и его	7	23
11	и не	34	23
12	а в	11	23
13	как и	16	23
14	и т	10	22
15	в этом	18	22
16	в том	38	21
17	что в	34	21
18	том что	21	19
19	он не	4	19
20	может быть	47	19
21	потому что	89	19
22	у него	3	18
23	то что	24	18
24	что он	5	17
25	все это	3	17
26	т д	6	17
27	и на	8	17
28	таким образом	21	17
29	никогда не	7	16
30	прежде всего	8	16
31	как в	18	16
32	при этом	17	16
33	не может	30	16
34	но и	26	16
35	в этой	3	15
36	с его	3	15
37	но это	7	15
38	в мире	3	15
39	и с	3	15
40	это не	10	14
41	и даже	4	14
42	там же	9	13
43	о том	6	13
44	а не	38	13
45	тем самым	6	12
46	в целом	3	12
47	же с	8	12
48	в котором	5	12
49	все же	11	11
50	в своей	3	11
51	для него	13	11
52	не в	23	10
53	так и	17	10
54	уже в	5	10
55	но не	19	10
56	в самом	5	10
57	только в	36	10
58	как будто	2	10
59	в свою	8	9
60	в нем	26	9
61	один из	2	9
62	и от	5	9
63	по мнению	4	9
64	человека в	3	9
65	в своих	4	9
66	в душе	28	9
67	так же	7	8
68	в себе	22	8
69	человека и	2	8
70	в их	3	8
71	не менее	10	8
72	так как	29	8
73	тогда как	10	8
74	вовсе не	13	8
75	к этому	3	8
76	еще не	9	8
77	одним из	2	8
78	именно в	2	8
79	хотя и	6	8
80	вместе с	12	8
81	он видит	2	7
82	влияние на	4	7
83	самом деле	2	7
84	в чем	6	7
85	например в	4	7
86	что она	3	7
87	в которой	5	7
88	в этих	10	7
89	уже не	4	7
90	его в	3	6
91	так что	23	6
92	и все	6	6
93	место в	3	6
94	не столько	3	6
95	все эти	3	6
96	одна из	4	6
97	хотя бы	4	6
98	и как	11	6
99	если бы	23	6
100	еще более	2	6
101	с ним	7	6
102	а потому	14	6
103	бы не	11	5
104	начиная с	2	5
105	ничего не	2	5
106	не имеют	7	5
107	в одной	2	5
108	по отношению	15	5
109	но если	4	5
110	и у	3	5
111	и других	6	5
112	том же	3	5
113	как он	5	5
114	т п	6	5
115	в своем	3	5
116	не так	6	5
117	в них	7	5
118	и это	3	5
119	быть может	6	5
120	что не	15	5
121	что и	16	5
122	в ее	2	5
123	мы не	17	5
124	и по	8	5
125	что они	6	5
126	в истории	8	5
127	тот же	5	5
128	показывает что	3	5
129	что это	5	5
130	с этим	11	5
131	что человек	6	5
132	мысли и	9	5
133	на него	6	5
134	на деле	6	5
135	между тем	7	5
136	отношению к	13	5
137	что у	2	5
138	с другой	13	5
139	что я	2	5
140	если не	5	5
141	из них	2	5
142	не было	7	5
143	в таком	7	5
144	но с	3	5
145	при помощи	2	4
146	и потому	7	4
147	крайней мере	6	4
148	в человеке	14	4
149	эта мысль	3	4
150	только на	4	4
151	утверждает что	3	4
152	в такой	2	4
153	самого начала	5	4
154	того что	15	4
155	что все	4	4
156	к нему	2	4
157	но только	2	4
158	точки зрения	8	4
159	так в	4	4
160	что на	9	4
161	могут быть	17	4
162	сих пор	5	4
163	однако в	4	4
164	же не	2	4
165	с ними	2	4
166	мы видим	5	4
167	о его	2	4
168	с чувством	2	4
169	но эти	4	4
170	нет ничего	2	4
171	так сказать	5	4
172	дело в	3	4
173	в каждом	6	4
174	известно что	3	4
175	превращается в	2	4
176	тем что	15	4
177	и есть	4	4
178	но без	2	4
179	с этой	3	4
180	времени и	3	4
181	такой же	4	4
182	что его	2	4
183	по крайней	6	4
184	с самого	5	4
185	и более	3	4
186	не мог	3	4
187	далеко не	4	4
188	зависит от	6	4
189	этот вопрос	2	4
190	в которых	2	4
191	между людьми	2	4
192	с точки	4	4
193	той же	3	4
194	но он	3	4
195	до сих	5	4
196	заставляет нас	2	4
197	не есть	13	3
198	при виде	3	3
199	для человека	3	3
200	его к	3	3
201	на самом	2	3
202	от него	8	3
203	к другим	3	3
204	в другом	3	3
205	для себя	4	3
206	это определение	2	3
207	давно уже	2	3
208	друг друга	6	3
209	к которому	5	3
210	таком случае	4	3
211	в виду	2	3
212	на все	5	3
213	и тем	5	3
214	со стороны	11	3
215	но что	2	3
216	в один	2	3
217	мы знаем	2	3
218	мы находим	3	3
219	не по	4	3
220	так например	5	3
221	о котором	4	3
222	к тому	5	3
223	может служить	2	3
224	связь с	2	3
225	и человек	3	3
226	в ней	9	3
227	одного из	3	3
228	боль в	2	3
229	другой стороны	7	3
230	что оно	5	3
231	всяком случае	7	3
232	не то	3	3
233	по этому	2	3
234	точно так	18	3
235	переходит в	2	3
236	должны быть	11	3
237	что с	3	3
238	там где	8	3
239	никто не	3	3
240	в первом	5	3
241	заключается в	3	3
242	как мы	3	3
243	сказать что	5	3
244	если в	3	3
245	во многих	5	3
246	то в	6	3
247	сами по	8	3
248	его с	3	3
249	из этих	8	3
250	в начале	2	3
251	и тогда	2	3
252	не все	3	3
253	к ней	3	3
254	с ее	2	3
255	важную роль	2	3
256	мысль о	8	3
257	только что	4	3
258	лишь в	2	3
259	только для	7	3
260	для того	8	3
261	и их	6	3
262	у нас	3	3
263	себе не	3	3
264	не с	2	3
265	в жизни	5	3
266	на этот	2	3
267	но уже	2	3
268	с другим	3	3
269	в себя	2	3
270	что для	5	3
271	образом и	2	3
272	и если	6	3
273	но на	3	3
274	на этом	3	3
275	не существует	2	3
276	по себе	24	3
277	как она	3	3
278	несмотря на	5	3
279	жизни и	3	3
280	вряд ли	2	3
281	и что	13	3
282	во всяком	9	3
283	или в	4	3
284	и только	6	3
285	т с	38	3
286	жизни но	2	3
287	в одном	13	3
288	в нее	4	2
289	в образ	2	2
290	все более	3	2
291	к одному	3	2
292	и притом	6	2
293	в таких	2	2
294	во все	2	2
295	что ему	2	2
296	не могут	10	2
297	но мы	3	2
298	слова не	2	2
299	но как	4	2
300	не достигает	2	2
301	вслед за	2	2
302	не потому	2	2
303	и поэтому	2	2
304	свободы и	3	2
305	но даже	2	2
306	и необходимости	4	2
307	не дают	2	2
308	то все	6	2
309	по своей	2	2
310	нас на	2	2
311	не во	3	2
312	уже по	2	2
313	сравнительно с	5	2
314	есть не	7	2
315	должен быть	2	2
316	имеют для	4	2
317	а как	3	2
318	и всегда	3	2
319	после этого	2	2
320	свою очередь	8	2
321	одном из	3	2
322	в одно	5	2
323	не зная	3	2
324	не противоречит	3	2
325	в формах	3	2
326	образом в	5	2
327	с тем	9	2
328	человек есть	2	2
329	тому что	4	2
330	она не	3	2
331	ли в	2	2
332	на том	2	2
333	того же	13	2
334	была бы	3	2
335	стремление к	3	2
336	что можно	3	2
337	и без	4	2
338	в создании	6	2
339	ответ на	2	2
340	между прочим	5	2
341	от мысли	2	2
342	то это	8	2
343	в известном	2	2
344	а скорее	2	2
345	не видно	5	2
346	что же	3	2
347	нуждается в	2	2
348	для их	2	2
349	в движении	2	2
350	не будет	2	2
351	для них	2	2
352	когда же	2	2
353	духовной жизни	2	2
354	того чтобы	4	2
355	когда в	3	2
356	одним словом	5	2
357	познания и	2	2
358	было бы	21	2
359	же в	7	2
360	связи с	6	2
361	в сущности	2	2
362	в связи	2	2
363	во время	5	2
364	заключает в	6	2
365	рядом с	3	2
366	в действительности	6	2
367	и того	6	2
368	по поводу	7	2
369	самого себя	4	2
370	отношений между	5	2
371	и вообще	5	2
372	но она	3	2
373	всех этих	2	2
374	не могли	2	2
375	не от	4	2
376	что если	7	2
377	на ней	4	2
378	но при	3	2
379	с другими	3	2
380	в нашей	2	2
381	только то	3	2
382	души и	9	2
383	с каким	2	2
384	во всех	12	2
385	при таком	5	2
386	по всей	2	2
387	из нее	2	2
388	по мере	10	2
389	тем не	11	2
390	не сразу	2	2
391	переход от	2	2
392	в мысли	13	2
393	сходство с	2	2
394	что как	4	2
395	мы чувствуем	3	2
396	д и	2	2
397	а от	2	2
398	где он	2	2
399	и о	3	2
400	указывает на	2	2
401	в глазах	4	2
402	с одной	7	2
403	и должно	2	2
404	то он	2	2
405	не имеет	9	2
406	ни в	2	2
407	столь же	6	2
408	их в	2	2
409	а между	5	2
410	все что	5	2
411	представляется нам	4	2
412	ключ к	2	2
413	из себя	6	2
414	в эту	2	2
415	действительности не	2	2
416	не из	3	2
417	мог бы	5	2
418	внимание на	3	2
419	в стороне	5	2
420	только как	5	2
421	из этого	2	2
422	и уже	6	2
423	что во	4	2
424	бы ни	8	2
425	или даже	3	2
426	человек может	2	2
427	как на	5	2
428	если же	5	2
429	о которой	2	2
430	не дает	2	2
