N	3gram	Tiupa_Narr	Myshleni
1	в том что	8	133
2	с точки зрения	2	89
3	по отношению к	6	42
4	с одной стороны	7	39
5	так же как	2	39
6	в этом отношении	3	30
7	можно было бы	2	28
8	с другой стороны	4	26
9	о том что	6	25
10	не может быть	5	23
11	можно сказать что	4	21
12	и тем самым	3	19
13	в отличие от	5	18
14	состоит в том	3	18
15	этой точки зрения	2	17
16	в связи с	2	17
17	в известном смысле	2	15
18	в данном случае	4	15
19	в свою очередь	3	14
20	подобно тому как	2	14
21	точно так же	2	13
22	тем не менее	3	12
23	в том числе	6	10
24	том числе и	4	10
25	в конечном счете	2	9
26	более или менее	2	9
27	речь идет о	2	8
28	той или иной	4	8
29	в первом случае	2	7
30	не что иное	2	6
31	что иное как	2	6
32	не может не	2	5
33	но все же	4	5
34	в то же	3	5
35	сами по себе	2	5
36	не только в	2	5
37	представляет собой не	2	4
38	не то что	2	4
39	мы имеем дело	2	4
40	в значительной степени	2	4
41	бы то ни	3	3
42	то ни было	3	3
43	к тому же	4	3
44	того или иного	2	3
45	то же время	3	3
46	как и на	2	2
47	все же не	4	2
48	значении этого слова	2	2
49	не отличается от	2	2
50	ту или иную	2	2
51	по сути дела	2	2
52	в той или	2	2
