N	2gram	Bakhtin_fo	Vladivir
1	и в	84	116
2	то что	13	71
3	и не	19	67
4	не только	16	65
5	у него	8	65
6	в этом	41	53
7	в том	16	52
8	том что	7	51
9	что в	9	48
10	но и	14	47
11	в конце	11	41
12	в его	19	40
13	и с	10	39
14	то есть	42	37
15	сказать что	4	36
16	и даже	5	36
17	также и	6	36
18	так что	4	35
19	потому что	11	33
20	еще и	3	32
21	что он	2	32
22	не может	8	31
23	о том	4	30
24	только в	12	30
25	никогда не	8	29
26	как мы	19	29
27	для него	5	29
28	вовсе не	20	27
29	а в	6	27
30	не было	8	26
31	в то	13	25
32	но в	16	25
33	в себе	7	25
34	и то	5	25
35	и его	26	25
36	а также	5	24
37	точки зрения	14	23
38	может быть	18	23
39	он не	6	23
40	так как	12	22
41	он был	2	22
42	кроме того	7	22
43	об этом	3	22
44	ни в	9	22
45	в своей	2	21
46	вместе с	9	21
47	в своем	8	20
48	прежде всего	28	20
49	для нас	2	20
50	и потому	4	19
51	и вообще	3	19
52	так и	17	19
53	как раз	13	19
54	в дальнейшем	10	19
55	таким образом	14	19
56	в течение	2	19
57	не в	10	18
58	не был	2	18
59	как это	2	18
60	как и	15	18
61	хотя и	5	18
62	с его	10	18
63	что и	5	17
64	в этой	3	17
65	у нас	2	17
66	а не	7	17
67	уже не	5	16
68	все же	12	16
69	того что	5	16
70	совсем не	4	16
71	было бы	2	16
72	к тому	6	16
73	и все	10	16
74	для себя	8	16
75	в котором	8	16
76	до конца	5	15
77	разного рода	2	15
78	в связи	13	15
79	к этому	5	15
80	это было	2	15
81	иной раз	2	15
82	то же	18	15
83	и к	4	15
84	того же	9	14
85	уже в	5	14
86	все эти	12	14
87	его жизни	11	14
88	и как	12	14
89	и на	13	14
90	раз и	3	14
91	мы уже	17	14
92	так же	7	13
93	с тем	5	13
94	можно сказать	2	13
95	да и	4	13
96	и от	3	13
97	в результате	6	13
98	дело в	3	13
99	жизни и	12	13
100	то время	4	13
101	во всем	3	13
102	есть только	2	12
103	и у	8	12
104	только на	3	12
105	ничего не	9	12
106	в нем	28	12
107	и по	5	12
108	связи с	14	12
109	во всяком	5	12
110	то в	2	12
111	и это	5	12
112	если не	3	12
113	по себе	3	12
114	в отношении	5	11
115	мы должны	2	11
116	всякого рода	3	11
117	при этом	8	11
118	все это	10	11
119	в данном	4	11
120	хотя бы	2	11
121	в которой	3	11
122	и здесь	2	11
123	тому же	2	11
124	в основном	12	11
125	в ней	4	10
126	что все	4	10
127	в качестве	6	10
128	в истории	6	10
129	еще не	8	10
130	но не	9	10
131	в самом	9	10
132	отнюдь не	7	10
133	с точки	9	10
134	здесь не	5	10
135	с ним	5	10
136	это не	8	9
137	о чем	4	9
138	смысле слова	4	9
139	а только	2	9
140	своей жизни	6	9
141	в целом	2	9
142	в начале	3	9
143	по существу	17	9
144	с этим	11	9
145	и сам	2	9
146	ни с	3	9
147	с другой	4	9
148	именно в	5	9
149	что мы	2	9
150	же время	13	9
151	отношения к	7	9
152	это время	8	9
153	мы будем	5	9
154	но он	4	9
155	только и	5	8
156	отношение к	5	8
157	не столько	2	8
158	в чем	3	8
159	себя в	2	8
160	как бы	11	8
161	тот же	4	8
162	из этих	5	8
163	и он	3	8
164	должно быть	6	8
165	в этот	5	8
166	тем что	4	8
167	это значит	3	8
168	с этой	3	8
169	в этих	6	8
170	как в	10	8
171	и для	12	8
172	в это	5	8
173	которой он	3	8
174	значит что	2	8
175	конечно не	7	8
176	в смысле	5	8
177	в каком	2	7
178	не без	2	7
179	как он	4	7
180	не имеет	5	7
181	себе и	4	7
182	по этому	2	7
183	того чтобы	11	7
184	же в	6	7
185	здесь мы	4	7
