N	2gram	Nazirov_Vr	TeoriaLi
1	– это	6	33
2	в мире	2	26
3	не только	9	24
4	и в	8	24
5	может быть	4	22
6	в том	3	20
7	при этом	4	20
8	тогда как	2	18
9	и не	5	17
10	а в	2	15
11	но и	7	14
12	в себе	2	14
13	в этом	8	12
14	то же	5	12
15	но в	6	12
16	в его	3	12
17	том что	3	11
18	точки зрения	2	11
19	и его	3	11
20	что в	7	10
21	в то	5	9
22	не может	2	8
23	как бы	4	8
24	в своей	2	8
25	же время	5	8
26	в своем	3	7
27	а также	2	7
28	отношение к	2	7
29	место в	2	7
30	и т.п	2	7
31	в нем	6	7
32	не менее	2	6
33	еще не	2	6
34	то что	7	6
35	как и	6	6
36	в русской	3	6
37	уже не	2	6
38	с его	3	6
39	в виду	4	5
40	и о	3	5
41	для него	2	5
42	между тем	5	5
43	он не	3	5
44	никогда не	2	4
45	его в	3	4
46	это не	4	4
47	так в	2	4
48	и ее	2	4
49	и а	2	4
50	что он	4	4
51	далеко не	3	4
52	в свою	2	4
53	и что	8	4
54	отношения к	2	4
55	но он	3	4
56	и то	2	3
57	о чем	2	3
58	человека с	2	3
59	и как	3	3
60	одним из	3	3
61	в момент	2	3
62	в романе	6	3
63	а с	2	3
64	столь же	2	3
65	их в	2	3
66	отнюдь не	2	3
67	с точки	2	3
68	связи с	3	3
69	в связи	3	3
70	таким образом	2	3
71	в этой	2	3
72	как раз	2	3
73	так же	4	2
74	но как	2	2
75	тем более	2	2
76	об этом	5	2
77	и даже	6	2
78	в конце	3	2
79	у него	5	2
80	в чем	3	2
81	вместе с	2	2
82	русской литературе	3	2
83	и это	2	2
84	в повести	2	2
85	о том	4	2
86	о себе	3	2
87	в году	18	2
88	в известном	2	2
89	в них	2	2
90	речь идет	3	2
91	несмотря на	4	2
92	в той	2	2
93	все это	4	2
94	я не	3	2
95	на основе	2	2
