N	3gram	Voloshinov	Stilisti
1	в то же	6	9
2	то же время	6	7
3	для того чтобы	3	7
4	в зависимости от	4	7
5	с точки зрения	15	5
6	мы никогда не	2	5
7	с самого начала	5	4
8	то же самое	2	4
9	одной и той	3	4
10	и той же	3	4
11	то что мы	2	4
12	то или иное	2	4
13	в свою очередь	4	4
14	обратное влияние на	2	4
15	внутренней и внешней	3	3
16	в конце концов	2	3
17	как мы уже	5	3
18	на самом деле	4	3
19	что мы называем	2	3
20	как мы видели	8	3
21	во всех своих	3	3
22	все то что	3	2
23	мы увидим что	4	2
24	зависимости от того	2	2
25	в самом деле	10	2
26	в этом отношении	4	2
27	к тому что	2	2
28	можно сказать что	5	2
29	по отношению к	11	2
30	мы видели что	3	2
31	что же такое	2	2
32	но в то	3	2
33	о том что	3	2
34	не может быть	14	2
35	равно как и	2	2
