N	2gram	Tiupa_Narr	Tvorches
1	и в	19	56
2	как бы	4	41
3	в его	9	37
4	в то	3	30
5	то же	4	25
6	не только	32	24
7	но в	6	24
8	же время	4	24
9	то есть	19	23
10	и его	5	23
11	и не	20	23
12	а в	11	23
13	как и	7	23
14	в этом	17	22
15	в том	18	21
16	что в	3	21
17	том что	14	19
18	он не	3	19
19	может быть	25	19
20	у него	4	18
21	то что	11	18
22	что он	6	17
23	и на	3	17
24	никогда не	3	16
25	прежде всего	4	16
26	как в	7	16
27	при этом	9	16
28	не может	10	16
29	но и	23	16
30	в этой	5	15
31	с его	6	15
32	в мире	9	15
33	и с	4	15
34	это не	2	14
35	и даже	3	14
36	времени в	2	13
37	о том	6	13
38	а не	12	13
39	тем самым	6	12
40	все же	7	11
41	для него	2	11
42	отнюдь не	5	11
43	не в	14	10
44	так и	9	10
45	уже в	3	10
46	но не	6	10
47	когда он	3	10
48	он сам	2	10
49	только в	4	10
50	как будто	3	10
51	в свою	3	9
52	в нем	4	9
53	один из	3	9
54	человека в	2	9
55	жизни в	3	9
56	наряду с	2	9
57	даже в	2	8
58	так же	2	8
59	в себе	8	8
60	по сути	2	8
61	одной из	4	8
62	не менее	3	8
63	тогда как	12	8
64	еще не	7	8
65	одним из	2	8
66	именно в	6	8
67	хотя и	3	8
68	за собой	4	7
69	самом деле	2	7
70	читателя в	2	7
71	своего рода	12	7
72	например в	2	7
73	и он	3	7
74	в рассказе	4	7
75	не случайно	2	7
76	уже не	5	7
77	сути дела	2	7
78	его в	2	6
79	приводит к	2	6
80	героя в	8	6
81	и все	2	6
82	не столько	4	6
83	все эти	2	6
84	в принципе	4	6
85	и ее	2	6
86	одна из	3	6
87	хотя бы	4	6
88	конечном счете	2	6
89	и как	5	6
90	в конечном	3	6
91	бы не	2	5
92	ничего не	2	5
93	приходит к	2	5
94	по отношению	7	5
95	это все	2	5
96	в своем	2	5
97	а с	3	5
98	быть может	2	5
99	что не	4	5
100	в ее	3	5
101	более не	2	5
102	что они	3	5
103	во всей	2	5
104	что это	3	5
105	на него	3	5
106	та же	2	5
107	между тем	3	5
108	героя и	4	5
109	отношению к	6	5
110	в литературе	2	5
111	что у	2	5
112	с другой	8	5
113	как правило	4	5
114	если не	4	5
115	из них	3	5
116	не было	2	5
117	в таком	2	5
118	перед нами	4	4
119	в область	2	4
120	и потому	2	4
121	роль в	2	4
122	это и	3	4
123	в частности	14	4
124	как это	6	4
125	отличие от	5	4
126	того что	2	4
127	к нему	5	4
128	точки зрения	10	4
129	что на	2	4
130	могут быть	3	4
131	однако в	2	4
132	же не	4	4
133	же как	3	4
134	для автора	2	4
135	было в	2	4
136	главного героя	2	4
137	который в	2	4
138	в основе	5	4
139	как известно	2	4
140	говорит о	2	4
141	и когда	2	4
142	восходит к	3	4
143	особенно в	3	4
144	себя в	5	4
145	у нее	2	4
146	и одновременно	2	4
147	тем что	3	4
148	и есть	2	4
149	но без	2	4
150	времени и	7	4
151	в отличие	5	4
152	не мог	4	4
153	далеко не	5	4
154	зависит от	2	4
155	представляет собой	13	4
156	личности в	2	4
157	с точки	2	4
158	говорить о	2	4
159	не есть	3	3
160	во времени	8	3
161	вплоть до	2	3
162	даже не	3	3
163	к себе	5	3
164	отношение к	2	3
165	как к	2	3
166	к которому	2	3
167	таком случае	2	3
168	и тем	4	3
169	со стороны	9	3
170	в области	2	3
171	к тому	7	3
172	к самому	2	3
173	в ней	3	3
174	одного из	4	3
175	на себя	3	3
176	другой стороны	4	3
177	не то	2	3
178	прошлого и	2	3
179	точно так	2	3
180	и др	2	3
181	и до	2	3
182	в первом	3	3
183	можно сказать	5	3
184	как мы	3	3
185	да и	4	3
186	сказать что	4	3
187	если в	3	3
188	то в	6	3
189	сами по	2	3
190	авторской позиции	2	3
191	время в	2	3
192	из этих	3	3
193	не все	5	3
194	его как	2	3
195	с ее	3	3
196	отличается от	4	3
197	во второй	2	3
198	не является	8	3
199	себе не	2	3
200	на протяжении	6	3
201	не с	3	3
202	нет и	2	3
203	в себя	6	3
204	а по	2	3
205	не существует	3	3
206	по себе	5	3
207	несмотря на	2	3
208	может не	3	3
209	жизни и	3	3
210	сводится к	3	3
211	или в	2	3
212	и только	2	3
213	тому же	5	3
214	жизни но	2	3
215	как было	3	2
216	данном случае	4	2
217	которого он	2	2
218	но как	2	2
219	о чем	2	2
220	со смертью	2	2
221	вслед за	4	2
222	включает в	2	2
223	в силу	4	2
224	по своей	3	2
225	свою очередь	3	2
226	точку зрения	4	2
227	а во	3	2
228	он идет	2	2
229	о нем	4	2
230	она не	2	2
231	на том	3	2
232	точка зрения	6	2
233	которая в	2	2
234	между собой	2	2
235	в известном	2	2
236	нуждается в	5	2
237	не будет	3	2
238	по бахтину	3	2
239	героя с	2	2
240	числе и	4	2
241	по выражению	2	2
242	было бы	4	2
243	представляют собой	2	2
244	же в	4	2
245	связи с	4	2
246	в пространстве	4	2
247	в сущности	3	2
248	в связи	2	2
249	в качестве	21	2
250	в двух	2	2
251	и того	2	2
252	не от	2	2
253	известном смысле	2	2
254	в данном	5	2
255	по всей	2	2
256	тем не	3	2
257	переход от	4	2
258	не сводится	2	2
259	мира в	5	2
260	в результате	2	2
261	наконец в	2	2
262	с одной	7	2
263	от одной	2	2
264	не имеет	2	2
265	от всех	2	2
266	ни в	3	2
267	столь же	3	2
268	в произведении	3	2
269	ключ к	2	2
270	героя к	3	2
271	и соответственно	2	2
272	жизни а	2	2
273	мог бы	3	2
274	пока еще	4	2
275	или даже	2	2
276	том числе	6	2
277	сюжета в	2	2
278	событий в	2	2
279	как раз	2	2
