N	3gram	Losev_Prob	VLabPisa
1	и т д	12	16
2	в этом отношении	2	14
3	с другой стороны	7	8
4	не может быть	5	8
5	по этому поводу	5	7
6	более или менее	7	6
7	в то же	4	5
8	в том что	7	5
9	хотя бы и	3	5
10	вместе с тем	2	4
11	можно сказать что	6	4
12	в связи с	7	4
13	подобно тому как	2	3
14	для того чтобы	9	3
15	в этой области	5	3
16	о том как	2	3
17	о том что	16	3
18	в значительной мере	2	3
19	во всех этих	2	2
20	по крайней мере	8	2
21	в конце концов	11	2
22	с одной стороны	4	2
23	в частности в	2	2
24	не только не	4	2
25	во всяком случае	11	2
26	в том числе	2	2
27	одной стороны и	2	2
28	только то что	6	2
29	бы не было	3	2
30	не только в	3	2
31	точном смысле слова	2	2
32	том числе и	2	2
33	до сих пор	6	2
34	также и в	2	2
35	только в том	4	2
36	иметь в виду	4	2
37	можно было бы	4	2
