N	2gram	Nazirov_Tv	VerxiiNi
1	и в	40	26
2	таким образом	14	22
3	в этом	11	15
4	вместе с	4	15
5	как бы	26	12
6	в том	13	11
7	не только	16	10
8	и с	9	10
9	может быть	11	10
10	что в	17	9
11	так как	6	9
12	связи с	2	9
13	но и	10	9
14	но не	7	8
15	с другой	4	8
16	и у	3	8
17	и не	12	8
18	потому что	10	7
19	из них	4	7
20	то что	9	7
21	с одной	2	7
22	но в	11	7
23	том что	14	7
24	а с	4	7
25	представление о	9	6
26	все же	9	6
27	к тому	2	6
28	о том	9	6
29	того же	2	6
30	в себе	3	6
31	в конце	5	6
32	всяком случае	2	6
33	что и	3	6
34	все эти	3	6
35	все это	14	6
36	и потому	4	6
37	так и	5	6
38	во всяком	2	6
39	никогда не	13	5
40	в мире	8	5
41	одной из	7	5
42	не имеет	2	5
43	так же	6	5
44	к жизни	4	5
45	в его	19	5
46	крайней мере	4	5
47	а не	9	5
48	тому же	2	5
49	по крайней	4	5
50	на этот	3	4
51	и от	8	4
52	что все	4	4
53	далеко не	3	4
54	русской жизни	5	4
55	а в	10	4
56	в котором	8	4
57	в самом	6	4
58	в нем	4	4
59	не может	9	4
60	и тогда	2	4
61	в которых	3	4
62	что оно	2	4
63	бога и	3	4
64	то есть	16	4
65	в виде	4	4
66	то же	19	4
67	должен был	2	4
68	и что	2	4
69	и по	5	4
70	в этих	2	4
71	только в	7	4
72	что он	11	4
73	и только	2	4
74	он не	10	4
75	во время	2	4
76	в этой	7	4
77	в то	23	4
78	в своем	4	3
79	из всех	5	3
80	с самого	3	3
81	к достижению	2	3
82	если в	3	3
83	точно так	3	3
84	и если	3	3
85	уже не	6	3
86	хотя бы	5	3
87	к этому	4	3
88	в которой	5	3
89	тем не	2	3
90	представляет собой	4	3
91	и даже	8	3
92	и как	5	3
93	за собой	4	3
94	если бы	4	3
95	же как	3	3
96	при этом	14	3
97	не менее	8	3
98	когда он	4	3
99	в качестве	2	3
100	с этой	4	3
101	в связи	2	3
102	и другие	4	3
103	в таком	4	3
104	так что	4	3
105	и о	2	3
106	можно сказать	2	3
107	отношению к	3	3
108	в одном	3	3
109	того что	3	3
110	для него	9	3
111	культуры и	2	3
112	сказать что	3	2
113	так например	3	2
114	связан с	4	2
115	в создании	2	2
116	о котором	2	2
117	этот факт	2	2
118	начиная с	2	2
119	говорили о	2	2
120	некоторые из	2	2
121	и это	2	2
122	не могут	2	2
123	в россии	5	2
124	надо было	2	2
125	ли это	2	2
126	добра и	3	2
127	одновременно и	2	2
128	больше не	5	2
129	в процессе	3	2
130	из этой	3	2
131	в начале	2	2
132	свидетельствует о	2	2
133	связь с	3	2
134	вплоть до	2	2
135	больше чем	2	2
136	между тем	2	2
137	одним из	6	2
138	только что	2	2
139	особенно в	3	2
140	в свою	8	2
141	когда человек	2	2
142	из себя	2	2
143	именно в	6	2
144	если не	4	2
145	приводит к	4	2
146	время он	2	2
147	в образе	4	2
148	но если	4	2
149	и на	12	2
150	и здесь	2	2
151	уже в	5	2
152	еще не	5	2
153	мысль о	3	2
154	к которому	3	2
155	жизни и	3	2
156	влечет за	2	2
157	не было	3	2
158	был всегда	2	2
159	превращается в	2	2
160	самого начала	3	2
161	когда же	2	2
162	и мир	3	2
163	не в	3	2
164	только для	2	2
165	и наконец	3	2
166	в одно	2	2
167	и все	6	2
168	но когда	2	2
169	же время	18	2
170	от людей	2	2
171	героев и	4	2
172	один из	5	2
173	в виду	3	2
174	со всеми	3	2
175	не к	2	2
176	людей и	2	2
177	в пользу	2	2
178	прежде всего	10	2
179	тот же	3	2
180	связана с	2	2
181	в глазах	2	2
182	с его	12	2
183	во всех	2	2
184	вслед за	2	2
