N	2gram	Savitsky_E	RusskieA
1	и в	37	79
2	в том	11	64
3	том что	6	59
4	что в	21	57
5	т е	9	54
6	не только	18	41
7	так как	7	34
8	в этом	12	33
9	как бы	6	31
10	но и	14	31
11	в других	2	30
12	как и	7	28
13	может быть	6	28
14	и на	6	28
15	о том	3	23
16	с в	2	23
17	как мы	5	20
18	а в	2	20
19	из них	3	19
20	с тем	3	17
21	потому что	3	17
22	то что	6	17
23	таким образом	2	17
24	вместе с	2	17
25	мы не	4	16
26	во многих	4	16
27	мы видели	3	14
28	для нас	4	14
29	в них	3	14
30	как это	4	14
31	и не	14	14
32	и с	2	14
33	и что	2	14
34	и по	5	13
35	не может	9	13
36	как в	3	13
37	в которых	3	13
38	в некоторых	2	13
39	в виде	5	12
40	между собой	2	12
41	тем что	3	12
42	что на	2	11
43	не имеет	4	11
44	далеко не	2	11
45	и других	2	10
46	так и	10	10
47	между тем	8	10
48	что и	3	10
49	а также	7	10
50	в течение	5	10
51	представляет собой	3	10
52	или в	2	10
53	данном случае	2	9
54	но в	14	9
55	и все	2	9
56	то же	15	9
57	но не	5	9
58	так же	9	8
59	того что	7	8
60	в россии	5	8
61	в данном	3	8
62	на себя	3	8
63	того чтобы	6	8
64	же в	2	8
65	представление о	2	8
66	что это	2	8
67	во всех	6	8
68	ее в	3	8
69	для того	6	8
70	в этих	2	8
71	в своем	14	7
72	мы должны	2	7
73	начиная с	2	7
74	не в	5	7
75	главным образом	2	7
76	к нему	2	7
77	на них	2	7
78	было бы	8	7
79	рождества христова	2	7
80	и как	2	7
81	не можем	2	7
82	только в	9	7
83	как будто	2	7
84	а не	2	7
85	в этой	2	6
86	в их	11	6
87	она не	2	6
88	к тому	8	6
89	же как	5	6
90	в качестве	14	6
91	чем в	4	6
92	в одном	2	6
93	также в	2	6
94	и более	2	6
95	в таком	3	6
96	вопрос о	4	5
97	западной европе	4	5
98	и потому	5	5
99	но если	5	5
100	нас к	2	5
101	тогда когда	2	5
102	прежде всего	9	5
103	к ним	3	5
104	в свою	3	5
105	с этим	2	5
106	заметить что	2	5
107	в то	16	5
108	для них	2	5
109	там где	3	5
110	в его	2	5
111	можно было	3	5
112	и для	3	5
113	с другой	7	5
114	и к	3	5
115	отнюдь не	9	5
116	западной европы	9	4
117	если в	2	4
118	влияние на	2	4
119	связано с	3	4
120	от них	3	4
121	или по	2	4
122	могут быть	2	4
123	не на	4	4
124	во всей	2	4
125	во всяком	3	4
126	и от	3	4
127	по своему	7	4
128	к ней	4	4
129	несмотря на	4	4
130	она в	3	4
131	приводит нас	2	4
132	такой же	2	4
133	именно в	4	4
134	в котором	2	4
135	в своих	2	4
136	этот вопрос	2	4
137	в ней	4	4
138	которое в	2	4
139	всяком случае	3	4
140	на основе	2	4
141	никогда не	3	3
142	очевидно что	3	3
143	и поэтому	2	3
144	то есть	6	3
145	что все	2	3
146	относятся к	2	3
147	точки зрения	23	3
148	большинстве случаев	3	3
149	в области	11	3
150	в какой	2	3
151	и некоторые	3	3
152	в ее	8	3
153	и во	2	3
154	в своей	8	3
155	свою очередь	2	3
156	место в	3	3
157	хотя и	2	3
158	имеет место	2	3
159	и то	2	3
160	совершенно очевидно	2	3
161	независимо от	4	3
162	с другими	2	3
163	и еще	2	3
164	от этого	5	3
165	в эту	2	3
166	если бы	2	3
167	жизни в	3	3
168	а именно	2	3
169	с одной	8	3
170	есть в	2	3
171	на этот	2	3
172	думать что	8	3
173	не к	2	3
174	на то	6	3
175	когда он	3	3
176	с точки	17	3
177	говорит о	3	3
178	как на	3	3
179	в большинстве	2	3
180	и притом	4	2
181	во все	3	2
182	в себе	9	2
183	в развитии	2	2
184	но даже	4	2
185	не дают	2	2
186	в силу	2	2
187	и наконец	2	2
188	же к	2	2
189	и тем	3	2
190	между ними	2	2
191	в частности	5	2
192	на основании	2	2
193	себе в	3	2
194	свой народ	3	2
195	участие в	2	2
196	с другом	3	2
197	ко всему	2	2
198	точка зрения	2	2
199	русских и	2	2
200	не дает	3	2
201	одной стороны	8	2
202	между прочим	7	2
203	мы видим	2	2
204	случаях когда	2	2
205	что эти	2	2
206	можно сказать	4	2
207	другие народы	2	2
208	сказать что	4	2
209	он не	2	2
210	что если	2	2
211	другой стороны	2	2
212	как оно	2	2
213	ту или	3	2
214	тем более	4	2
215	дело в	3	2
216	до г	3	2
217	в прошлом	3	2
218	и даже	6	2
219	мы можем	3	2
220	друг с	3	2
221	россии в	4	2
222	целый ряд	2	2
223	ее от	2	2
224	как не	2	2
225	этом отношении	3	2
226	не является	3	2
227	с этой	6	2
228	с и	10	2
229	не означает	2	2
230	в пределах	25	2
231	например с	2	2
232	можно считать	3	2
233	или иную	3	2
234	и если	2	2
235	в другой	2	2
236	это так	3	2
237	но на	3	2
238	по себе	4	2
239	и теперь	2	2
240	в стороне	3	2
241	не более	3	2
242	но еще	2	2
243	только одно	2	2
244	европы в	2	2
245	народ и	3	2
