N	3gram	Losev_Vesc	Problema
1	тем не менее	11	56
2	о том что	4	39
3	в том что	9	37
4	и т д	36	33
5	вовсе не есть	6	30
6	в данном случае	2	28
7	по крайней мере	10	26
8	во всяком случае	2	25
9	с точки зрения	6	25
10	с другой стороны	3	25
11	содержит в себе	11	23
12	в конце концов	2	23
13	сама по себе	7	21
14	сам по себе	4	21
15	и то что	5	20
16	на то что	7	19
17	вещи есть ее	2	19
18	в этом смысле	2	19
19	ни в каком	6	18
20	как раз и	2	18
21	для того чтобы	2	17
22	в то же	5	17
23	то что мы	3	15
24	и тем не	5	15
25	не что иное	12	14
26	что иное как	12	14
27	сами по себе	3	13
28	можно было бы	3	13
29	не есть ни	12	13
30	это значит что	25	13
31	не может быть	22	12
32	в то время	4	12
33	можно сказать что	3	12
34	той или другой	3	12
35	и в этом	2	12
36	так или иначе	5	12
37	но даже и	2	12
38	то время как	4	12
39	в каком случае	4	12
40	и в частности	2	12
41	бы то ни	12	11
42	есть не что	8	11
43	или по крайней	2	11
44	дело в том	4	11
45	с одной стороны	3	11
46	тех или иных	2	11
47	более или менее	4	10
48	даже и не	2	10
49	не только не	4	10
50	вместе с тем	3	10
51	и не просто	3	10
52	только то что	3	10
53	не только в	5	10
54	в той или	2	10
55	то и другое	6	9
56	не есть только	5	9
57	т д и	11	9
58	каком случае не	2	9
59	только тогда когда	2	8
60	может быть только	6	8
61	д и т	10	8
62	что же такое	4	8
63	заключается в том	3	8
64	в том или	2	7
65	это и есть	4	7
66	мы находим в	2	7
67	о том как	4	7
68	и то же	5	6
69	крайней мере в	2	6
70	те или другие	4	6
71	само по себе	4	6
72	то ни было	12	6
73	можно ли сказать	3	6
74	есть прежде всего	4	6
75	тех или других	4	6
76	в самом деле	7	6
77	то это значит	3	6
78	не есть просто	5	6
79	в этом отношении	2	6
80	хотя бы даже	2	6
81	не имеет никакого	2	6
82	ли сказать что	3	5
83	тем или другим	2	5
84	ни о каком	2	5
85	указывает на то	3	5
86	потому что они	4	5
87	хотя бы и	2	5
88	в собственном смысле	3	5
89	свидетельствует о том	3	5
90	только о том	2	5
91	том что он	2	5
92	одно и то	5	5
93	так же как	2	5
94	если мы возьмем	3	5
95	так что в	3	4
96	вопрос о том	2	4
97	этой точки зрения	3	4
98	не потому что	5	4
99	том или другом	2	4
100	все же не	3	4
101	ту или иную	3	4
102	есть то что	4	4
103	но все же	2	4
104	и не в	3	4
105	и больше ничего	12	4
106	подобно тому как	5	4
107	уже не есть	2	4
108	у нас в	2	4
109	никакого отношения к	2	4
110	мы еще не	2	4
111	мы имеем дело	2	4
112	в том чтобы	2	4
113	равно как и	4	4
114	от того что	4	3
115	сущность и явление	5	3
116	ничто не мешает	2	3
117	нельзя сказать что	2	3
118	к тому что	2	3
119	и не есть	2	3
120	с этой точки	3	3
121	и в то	3	3
122	хотя бы в	2	3
123	уже не просто	2	3
124	никуда не годится	2	3
125	отнюдь не есть	2	3
126	а есть только	2	3
127	и это вовсе	2	3
128	то или другое	2	3
129	в чем же	5	3
130	то что не	2	3
131	но еще и	3	3
132	а тем не	3	3
133	мы говорим что	3	3
134	то что он	2	3
135	в подлинном смысле	2	3
136	всего то что	2	3
137	и есть то	2	3
138	то ясно что	2	3
139	в отдельности и	2	3
140	то что у	2	3
141	по сравнению с	7	3
142	можно говорить о	2	2
143	есть не просто	2	2
144	на действительность и	2	2
145	а не только	2	2
146	в основе своей	2	2
147	значит что мы	6	2
148	ни с чем	2	2
149	то что является	4	2
150	а не в	2	2
151	с чем мы	2	2
152	которая была бы	2	2
153	но если это	3	2
154	не указывает на	3	2
155	что оно есть	5	2
156	для тех или	2	2
157	а следовательно и	2	2
158	это так то	2	2
159	и не только	6	2
160	именно тем что	3	2
161	что в результате	2	2
162	вещи и не	2	2
163	как раз в	2	2
164	не говорит о	2	2
165	что она есть	3	2
166	с самой вещью	3	2
167	в свою очередь	5	2
168	и без всякого	2	2
169	мы не можем	3	2
170	случае не есть	2	2
171	и это будет	2	2
172	с самим собою	2	2
173	от всего прочего	8	2
174	но то что	3	2
175	заключается не в	2	2
176	ни тем более	2	2
177	даже больше того	6	2
178	не может не	3	2
179	между собою и	3	2
180	вообще не есть	3	2
181	если это так	2	2
182	ни от чего	3	2
183	что не есть	4	2
184	чего бы то	2	2
185	не может считаться	2	2
186	а так как	2	2
187	ничего не значит	2	2
188	это и значит	4	2
189	есть еще и	2	2
190	в себе в	4	2
