N	2gram	Propp_Morf	UchenyiS
1	и в	17	14
2	не только	8	10
3	а не	11	10
4	и не	16	8
5	прежде всего	14	8
6	то что	10	7
7	не может	19	7
8	в этом	18	7
9	может быть	61	6
10	и только	3	5
11	то же	10	5
12	хотя бы	5	5
13	все это	2	5
14	но и	9	4
15	в этой	3	4
16	что такое	3	4
17	с другой	9	4
18	в россии	2	4
19	у нас	3	3
20	в частности	2	3
21	это не	6	3
22	вряд ли	2	3
23	как такового	2	3
24	все же	9	3
25	как и	4	3
26	в то	4	3
27	но в	4	3
28	ни было	2	3
29	было бы	5	3
30	бы то	3	3
31	то ни	3	3
32	другой стороны	5	3
33	для него	2	3
34	что мы	2	2
35	и у	3	2
36	является в	2	2
37	что он	5	2
38	таким образом	26	2
39	но не	8	2
40	и для	4	2
41	если бы	3	2
42	не все	6	2
43	между тем	5	2
44	самом деле	4	2
45	только в	3	2
46	одним из	2	2
47	что она	2	2
48	ничего не	5	2
49	что и	10	2
50	вопроса о	3	2
51	могут быть	21	2
52	на первый	3	2
53	не могут	7	2
54	это было	3	2
55	превращается в	2	2
56	тем что	4	2
57	том что	7	2
58	это уже	3	2
59	в том	10	2
60	этом отношении	2	2
61	как таковой	2	2
62	с его	3	2
63	должна быть	2	2
64	его и	2	2
65	но это	6	2
66	по существу	13	2
67	не в	3	2
68	мы получаем	2	2
69	в некоторых	4	2
70	мы не	8	2
71	могли бы	2	2
72	в итоге	2	2
