N	3gram	Propp_Isto	Komedia
1	в том что	6	29
2	до сих пор	11	16
3	о том что	5	13
4	в то время	3	11
5	по отношению к	6	9
6	то время как	3	9
7	с одной стороны	7	9
8	вместе с тем	7	9
9	с другой стороны	7	8
10	то ни было	2	7
11	бы то ни	2	7
12	с самого начала	4	7
13	после того как	2	6
14	в связи с	5	6
15	в отличие от	3	6
16	что он не	4	5
17	то же самое	3	5
18	и т д	35	5
19	о том как	2	5
20	за то что	2	5
21	тем не менее	7	5
22	в это время	2	4
23	можно было бы	5	4
24	и тот же	2	4
25	но все же	7	4
26	обстоит дело с	2	4
27	более или менее	5	3
28	но и в	4	3
29	друг с другом	3	3
30	на то что	5	3
31	один и тот	2	3
32	мы имеем в	4	2
33	по его мнению	2	2
34	не означает что	2	2
35	в большинстве случаев	4	2
36	мы знаем их	2	2
37	подобно тому как	3	2
38	в зависимости от	3	2
39	точно так же	8	2
40	не только в	5	2
41	в этом случае	3	2
42	так же как	6	2
43	как будто бы	2	2
44	а может быть	2	2
