N	3gram	Voloshinov	Psycholo
1	в том что	9	78
2	для того чтобы	3	70
3	в самом деле	10	51
4	заключается в том	2	36
5	о том что	3	34
6	то же самое	2	31
7	с точки зрения	15	29
8	с одной стороны	2	28
9	все то что	3	23
10	до сих пор	3	23
11	не может быть	14	23
12	к тому что	2	20
13	мы увидим что	4	19
14	на самом деле	4	17
15	с самого начала	5	16
16	в зависимости от	4	15
17	во всяком случае	8	14
18	в этом отношении	4	14
19	сам по себе	4	12
20	в конце концов	2	12
21	одной и той	3	12
22	и той же	3	12
23	мы никогда не	2	11
24	в конечном счете	3	11
25	к тому чтобы	3	10
26	том что он	2	10
27	том что она	2	10
28	мы могли бы	2	9
29	в данном случае	4	9
30	в отличие от	2	9
31	мы знаем что	6	8
32	на этот вопрос	3	7
33	а с другой	2	7
34	что и в	2	7
35	в свою очередь	4	7
36	можно сказать что	5	7
37	только то что	3	7
38	в этом смысле	2	7
39	тем не менее	4	6
40	мы не можем	3	6
41	и тот же	3	6
42	то что мы	2	6
43	и может быть	2	6
44	ни в каком	2	5
45	в таком случае	4	5
46	ни в какой	2	5
47	мы видели что	3	5
48	в собственном смысле	3	5
49	зависимости от того	2	5
50	один и тот	3	5
51	это и есть	2	4
52	в применении к	2	4
53	вовсе не в	2	4
54	и не может	3	4
55	таким образом в	2	4
56	благодаря тому что	2	4
57	то или иное	2	4
58	это вовсе не	4	4
59	бы то ни	3	3
60	может быть и	6	3
61	он не только	2	3
62	а вовсе не	3	3
63	не могут быть	4	3
64	что все эти	3	3
65	в то же	6	3
66	то обстоятельство что	2	3
67	по отношению к	11	3
68	то же время	6	3
69	говорить о том	2	3
70	может быть это	2	3
71	смысл и значение	2	3
72	в высшей степени	6	3
73	как мы видели	8	2
74	но вместе с	2	2
75	так и в	3	2
76	в своей основе	4	2
77	мы уже указывали	4	2
78	обстоит дело и	2	2
79	то ни было	2	2
80	при этом совершенно	2	2
81	а следовательно и	2	2
82	в чем же	2	2
83	в узком смысле	2	2
84	в каком случае	2	2
85	мы уже знаем	3	2
86	на первый план	4	2
87	тех же самых	2	2
88	и все его	2	2
89	все тот же	2	2
90	выходит за пределы	2	2
91	точку зрения на	3	2
92	и тем не	2	2
93	в таком виде	2	2
94	равно как и	2	2
