N	3gram	Bakhtin_Pr	Hudozhes
1	по отношению к	5	10
2	в том что	6	8
3	в то же	8	7
4	то же время	8	7
5	с другой стороны	3	6
6	более или менее	3	6
7	той или иной	2	5
8	не может быть	8	4
9	мы имеем в	3	3
10	с точки зрения	13	3
11	в том числе	15	3
12	тем не менее	2	3
13	в этом смысле	5	3
14	можно сказать что	6	3
15	имеем в виду	3	3
16	и прежде всего	5	2
17	это своего рода	2	2
18	и в то	3	2
19	том числе и	13	2
20	может быть и	2	2
21	по своей природе	3	2
22	тех или иных	2	2
23	сама по себе	2	2
24	в отношении к	2	2
