N	2gram	Tiupa_Disk	Narrotol
1	не только	36	62
2	и не	25	50
3	при этом	22	47
4	но и	22	45
5	а не	35	38
6	в качестве	45	35
7	в частности	18	31
8	может быть	29	30
9	и в	27	30
10	в том	29	29
11	своего рода	15	28
12	том что	27	28
13	тогда как	28	28
14	в этом	29	28
15	а в	5	27
16	такого рода	11	26
17	состоит в	20	25
18	представляет собой	24	25
19	с собачкой	2	25
20	только в	9	25
21	в данном	9	24
22	как и	27	24
23	не в	8	23
24	то что	10	23
25	то есть	29	22
26	в тексте	5	22
27	не может	17	20
28	в рассказе	6	18
29	данном случае	6	17
30	в себе	22	17
31	так и	14	17
32	а также	15	17
33	со стороны	17	16
34	в его	9	16
35	но в	15	15
36	можно сказать	7	15
37	иначе говоря	5	15
38	к тому	6	15
39	и т.п	18	15
40	картина мира	7	14
41	в жизни	2	14
42	и его	4	14
43	в своем	11	13
44	в своей	10	13
45	то же	12	13
46	времени и	5	13
47	о том	12	13
48	уже не	7	13
49	перед нами	4	12
50	картины мира	8	12
51	все же	8	12
52	прежде всего	17	12
53	как в	16	12
54	на протяжении	2	12
55	как бы	9	12
56	сводится к	7	12
57	тем самым	6	11
58	по отношению	13	11
59	к себе	2	11
60	и тем	2	11
61	героя в	6	11
62	отличие от	13	11
63	об этом	3	11
64	в нем	16	11
65	в этой	5	11
66	жизни в	4	11
67	отношению к	13	11
68	в отличие	13	11
69	в мире	9	11
70	хотя и	3	11
71	никогда не	3	10
72	события рассказывания	4	10
73	в то	8	10
74	нарративного дискурса	4	10
75	и т.д	5	10
76	как это	2	10
77	один из	3	10
78	точки зрения	6	10
79	того что	4	10
80	как правило	5	10
81	не является	5	10
82	и все	5	10
83	но не	17	10
84	коммуникативного события	19	10
85	жизни и	2	10
86	тому же	5	10
87	между тем	5	10
88	с его	9	10
89	в соответствии	4	9
90	еще не	20	9
91	что он	6	9
92	коммуникативное событие	8	9
93	что в	8	9
94	отнюдь не	11	9
95	не сводится	7	9
96	рассказа в	2	9
