N	3gram	Trubetskoy	FransuaR
1	в то же	2	55
2	то же время	2	55
3	до сих пор	5	27
4	в том числе	5	27
5	в том что	3	27
6	в этом отношении	2	20
7	с точки зрения	6	20
8	для того чтобы	5	17
9	о том что	4	17
10	том числе и	4	17
11	в связи с	3	16
12	сих пор еще	2	15
13	с одной стороны	7	13
14	можно сказать что	2	11
15	той или иной	2	10
16	в конце концов	3	10
17	более или менее	5	8
18	таким образом в	2	8
19	в значительной мере	2	7
20	с самого начала	2	6
21	к тому же	4	6
22	но все же	4	6
23	некоторые из них	2	5
24	во всяком случае	6	5
25	то же самое	2	5
26	но все это	2	5
27	друг с другом	5	5
28	по сравнению с	2	5
29	может быть и	2	4
30	и связанные с	2	4
31	так же как	3	4
32	не только для	2	4
33	бы то ни	2	3
34	но и для	2	3
35	с одним из	2	3
36	вместе с тем	8	3
37	и те и	2	3
38	а с другой	5	3
39	те и другие	2	3
40	и в этом	2	3
41	ничего общего с	2	2
42	верхом и низом	3	2
43	так и от	2	2
44	то ни было	2	2
45	говорили о том	2	2
46	то что он	2	2
47	между этими двумя	2	2
48	и вместе с	4	2
49	главным образом в	3	2
