N	2gram	Bakhtin_Fr	EvropaiC
1	таким образом	20	34
2	в том	16	31
3	и в	67	24
4	том что	13	20
5	все эти	12	19
6	не может	9	18
7	то что	9	18
8	может быть	4	17
9	народа в	2	15
10	до сих	3	15
11	все же	7	15
12	сих пор	3	15
13	точки зрения	7	14
14	в этом	27	13
15	все это	15	13
16	в своем	13	12
17	с этим	6	12
18	самом деле	6	12
19	между тем	3	12
20	но и	23	11
21	не только	23	10
22	так и	14	10
23	во всех	20	10
24	как и	19	10
25	все что	3	10
26	как бы	18	10
27	в результате	5	9
28	друг с	2	9
29	и не	23	9
30	не в	8	9
31	что в	14	9
32	и все	18	9
33	на то	2	9
34	с другом	2	9
35	того же	6	9
36	потому что	8	9
37	при этом	5	9
38	и что	3	9
39	так же	13	8
40	из этих	4	8
41	или менее	2	8
42	если бы	2	8
43	для того	8	8
44	к тому	4	8
45	более или	2	8
46	в самом	7	8
47	того чтобы	9	8
48	с точки	5	8
49	мы говорили	2	8
50	у народа	2	8
51	на самом	8	7
52	для этого	2	7
53	так как	16	7
54	что он	7	7
55	того что	4	7
56	не менее	4	7
57	о том	8	7
58	из этого	5	7
59	что и	8	7
60	в этой	13	7
61	по существу	4	7
62	вместе с	5	7
63	только в	6	6
64	все они	7	6
65	у них	2	6
66	еще не	5	6
67	и при	2	6
68	в то	17	6
69	и для	4	6
70	с другой	3	6
71	в общем	5	6
72	и если	3	6
73	и на	12	6
74	мы можем	5	6
75	несмотря на	3	6
76	как на	6	6
77	тому же	5	6
78	с ним	6	6
79	и от	6	5
80	его в	10	5
81	но все	2	5
82	в себе	3	5
83	к этому	4	5
84	как к	2	5
85	тех кто	2	5
86	лишь в	3	5
87	на все	4	5
88	и их	6	5
89	между собою	6	5
90	из них	5	5
91	что это	4	5
92	по своему	5	5
93	у него	4	5
94	что все	4	5
95	далеко не	6	5
96	но в	20	5
97	именно в	5	5
98	и без	3	5
99	а потому	2	5
100	и с	18	5
101	и к	7	5
102	другой стороны	2	5
103	в целом	2	5
104	не будет	2	5
105	в его	17	5
106	как будто	2	5
107	никогда не	6	4
108	и то	2	4
109	не могут	3	4
110	что эта	3	4
111	всех этих	9	4
112	хотя бы	2	4
113	в конце	12	4
114	и у	7	4
115	целый ряд	2	4
116	и т.д	2	4
117	состоит из	2	4
118	та же	2	4
119	то же	18	4
120	в их	4	4
121	том же	3	4
122	в области	2	4
123	одним из	7	4
124	в течение	3	4
125	с тем	3	4
126	и сейчас	2	4
127	связи с	7	4
128	в таком	2	4
129	он не	9	4
130	мы сказали	2	4
131	если мы	3	4
132	в дальнейшем	2	4
133	признать что	2	4
134	хотя и	6	4
135	мы уже	13	4
136	совершенно так	2	4
137	даже в	5	3
138	данном случае	4	3
139	и вообще	3	3
140	это не	5	3
141	что по	3	3
142	не подлежит	2	3
143	и до	3	3
144	от него	2	3
145	на земле	2	3
146	в начале	2	3
147	тем более	3	3
148	бы в	5	3
149	от того	3	3
150	конечно не	5	3
151	и других	2	3
152	в связи	5	3
153	и наконец	5	3
154	как у	2	3
155	у нас	3	3
156	прежде всего	19	3
157	отличие от	3	3
158	жизнь и	5	3
159	с одной	2	3
160	в разных	2	3
161	образом в	4	3
162	как известно	2	3
163	одно из	2	3
164	в жизни	4	3
165	но не	6	3
166	и это	5	3
167	в данном	4	3
168	на этой	3	3
169	а в	4	3
170	в нем	20	3
171	в ней	10	3
172	тогда когда	3	3
173	же не	2	3
174	в сторону	2	3
175	в эти	2	3
176	человеческого рода	2	3
177	было бы	5	3
178	и по	3	3
179	в истории	2	3
180	если же	2	3
181	в нашем	3	3
182	же как	4	3
183	уже и	3	3
184	тот же	4	3
185	как мы	16	3
186	мы будем	2	3
187	образом и	2	2
188	конечно в	4	2
189	все то	6	2
190	мы все	2	2
191	другими словами	3	2
192	то в	3	2
193	независимо от	3	2
194	в индивидуальном	2	2
195	между этими	3	2
196	к ним	2	2
197	и ее	2	2
198	этот процесс	3	2
199	то время	4	2
200	и поэтому	2	2
201	что она	4	2
202	то есть	49	2
203	в другом	4	2
204	на него	2	2
205	должен быть	2	2
206	на первый	4	2
207	в виду	2	2
208	не было	3	2
209	следовательно и	2	2
210	он должен	2	2
211	между отдельными	2	2
212	в частности	4	2
213	что они	3	2
214	точку зрения	3	2
215	такой же	5	2
216	тем как	2	2
217	в один	2	2
218	в одно	2	2
219	эти последние	3	2
220	уже более	2	2
221	это конечно	4	2
222	для него	4	2
223	мы видели	11	2
224	что такие	2	2
225	есть в	5	2
226	в эту	2	2
227	не имеет	4	2
228	для этой	2	2
229	также и	11	2
230	что у	2	2
231	к нему	5	2
232	в ту	3	2
233	на том	2	2
234	они не	5	2
235	в самой	8	2
236	в котором	3	2
237	их в	2	2
238	вступают в	2	2
239	и там	4	2
240	ту же	3	2
241	во втором	3	2
242	что на	3	2
243	в которых	3	2
244	одной стороны	2	2
245	но на	3	2
246	на этом	7	2
247	между ними	4	2
248	в них	12	2
249	ко всему	3	2
250	жизни и	11	2
251	а затем	7	2
252	что многие	2	2
253	говорить о	5	2
254	себя и	2	2
255	и его	19	2
256	в сущности	13	2
257	же время	14	2
258	и только	2	2
259	с ее	7	2
260	и сам	2	2
261	в себя	6	2
262	которую он	3	2
263	той же	6	2
264	вовсе не	19	2
265	в основе	6	2
266	почти все	6	2
