N	3gram	Tiupa_Hudo	TeoriaLi
1	в том что	15	10
2	по отношению к	15	10
3	в то же	11	8
4	то же время	11	8
5	в конечном счете	4	6
6	состоит в том	3	6
7	того или иного	4	6
8	так и не	3	5
9	так или иначе	3	5
10	в данном случае	3	5
11	для того чтобы	2	5
12	роли в миропорядке	2	5
13	не может быть	5	5
14	по сути дела	2	3
15	с точки зрения	5	3
16	с одной стороны	4	3
17	а всего лишь	2	3
18	тем не менее	6	3
19	подобно тому как	4	3
20	по своей природе	2	3
21	в связи с	3	3
22	несет в себе	4	3
23	ту или иную	2	2
24	в русской литературе	3	2
25	это своего рода	2	2
26	не только не	3	2
27	в самом деле	5	2
28	в значительной степени	3	2
29	к тому что	8	2
30	и в то	2	2
31	и в самом	4	2
32	как и в	5	2
33	приводит к тому	2	2
34	но в то	3	2
