N	3gram	Bakhtin_Pr	Dialekti
1	и т д	4	75
2	с точки зрения	21	46
3	по крайней мере	2	26
4	сама по себе	5	26
5	в том что	6	25
6	не может быть	8	18
7	само по себе	4	16
8	тем не менее	2	16
9	сам по себе	2	16
10	то же время	13	15
11	в то же	13	14
12	о том что	2	12
13	с другой стороны	6	12
14	на то что	2	11
15	в самом деле	6	10
16	т е в	3	10
17	подобно тому как	3	9
18	что он есть	2	9
19	и в этом	5	9
20	не только не	2	8
21	только то что	2	8
22	в то время	2	8
23	в этом смысле	12	8
24	то время как	2	8
25	т е не	2	7
26	можно сказать что	2	7
27	сами по себе	4	7
28	более или менее	4	6
29	может быть и	2	6
30	во всяком случае	4	6
31	как и все	4	6
32	в зависимости от	5	6
33	и в то	2	6
34	на самом деле	4	5
35	в конце концов	7	5
36	до сих пор	9	5
37	потому что она	3	5
38	как раз и	5	4
39	но это не	2	4
40	в данном случае	2	4
41	и т п	10	4
42	этой точки зрения	2	4
43	того и другого	2	4
44	к тому же	2	4
45	в этом отношении	3	4
46	можно было бы	3	4
47	это не значит	3	4
48	бы то ни	3	3
49	же как и	2	3
50	но в то	7	3
51	как и в	3	3
52	хотя и не	3	3
53	и в нем	2	3
54	не только в	2	3
55	то же что	3	3
56	в себе и	2	3
57	но потому что	2	3
58	и не может	6	3
59	но все же	3	3
60	это вовсе не	2	3
61	не есть конечно	2	2
62	никогда не может	2	2
63	друг с другом	3	2
64	в отношении к	3	2
65	как один из	2	2
66	в лучшем случае	2	2
67	хотя бы и	3	2
68	что она не	3	2
