N	3gram	Bakhtin_Fr	Problemy
1	то же время	13	26
2	в то же	13	26
3	с точки зрения	4	25
4	по отношению к	2	18
5	на самом деле	5	15
6	не может быть	2	14
7	в большинстве случаев	3	12
8	но в то	7	11
9	в конце концов	3	11
10	до сих пор	6	10
11	во всяком случае	2	9
12	с другой стороны	5	9
13	в его целом	3	8
14	в том что	2	8
15	и в то	2	7
16	мы уже говорили	5	7
17	как и все	5	6
18	в отличие от	3	6
19	той или иной	2	5
20	подобно тому как	2	5
21	можно было бы	2	5
22	но все же	2	5
23	в той или	2	5
24	на протяжении всего	2	4
25	и прежде всего	3	4
26	его отношение к	2	4
27	может быть и	2	4
28	о том что	3	4
29	как и в	2	4
30	в этом отношении	4	4
31	вполне понятно что	3	4
32	смысле этого слова	2	4
33	все то что	2	3
34	в большей или	2	3
35	как мы видели	4	3
36	большей или меньшей	3	3
37	в его произведениях	2	3
38	как мы знаем	2	3
39	и в других	3	3
40	в данном случае	3	3
41	как мы уже	8	3
42	и до конца	8	3
43	в узком смысле	2	3
44	в настоящее время	2	3
45	или меньшей степени	2	3
46	это вовсе не	2	3
47	в той же	5	3
48	можно сказать что	2	3
49	мы увидим дальше	3	2
50	начала и до	7	2
51	только то что	2	2
52	таким образом и	2	2
53	и в романе	2	2
54	не только в	3	2
55	с начала и	7	2
56	в том же	3	2
57	таким образом все	2	2
58	в его романе	3	2
59	дело в том	2	2
60	для того чтобы	5	2
61	поэтому он и	2	2
62	в значительной степени	2	2
63	в свою очередь	2	2
