N	2gram	Bakhtin_Fr	Problemy
1	и в	68	106
2	и не	25	90
3	как бы	7	70
4	может быть	10	66
5	в его	21	56
6	в этом	28	52
7	в нем	12	51
8	не может	5	49
9	что он	7	44
10	как и	17	44
11	но и	17	40
12	точки зрения	8	40
13	для него	7	39
14	и его	26	39
15	а не	6	38
16	не только	21	36
17	то же	14	36
18	то что	11	33
19	но в	20	33
20	прежде всего	23	32
21	в то	14	29
22	все это	6	29
23	он не	11	29
24	и все	16	28
25	не в	2	27
26	в одном	7	27
27	же время	13	26
28	к нему	4	25
29	в сущности	15	25
30	с точки	4	25
31	в самом	6	25
32	и с	15	25
33	самом деле	5	24
34	вовсе не	18	24
35	рядом с	5	23
36	слова и	3	23
37	и на	16	23
38	таким образом	22	22
39	что я	2	22
40	как мы	18	21
41	там где	6	21
42	никогда не	2	20
43	все же	6	20
44	потому что	3	20
45	только в	9	20
46	что в	14	19
47	с его	6	19
48	отношению к	2	19
49	слова в	3	19
50	на самом	7	18
51	в себе	5	18
52	по отношению	3	18
53	о нем	3	18
54	все эти	16	18
55	уже не	2	18
56	еще не	3	18
57	но не	4	18
58	это не	5	17
59	в том	12	17
60	так и	8	17
61	а в	3	17
62	и к	4	17
63	с ним	3	17
64	так же	3	16
65	в другом	3	16
66	если бы	3	16
67	в своей	11	16
68	до конца	10	15
69	о мире	3	15
70	и наконец	5	15
71	и для	6	15
72	у него	14	15
73	в отношении	3	14
74	так как	7	14
75	в своем	11	14
76	в конце	8	14
77	лишь в	3	14
78	и сам	5	14
79	он и	10	14
80	как раз	8	14
81	его в	7	13
82	перед нами	4	13
83	в романе	24	13
84	и это	5	13
85	большинстве случаев	3	13
86	в целом	3	13
87	в мире	6	13
88	но все	5	13
89	в большинстве	3	13
90	том что	6	12
91	в одной	3	12
92	слово в	3	12
93	даже в	4	12
94	в плане	3	12
95	ничего не	4	12
96	между тем	3	12
97	что и	3	12
98	при этом	5	12
99	было бы	4	12
100	во всяком	2	12
101	так сказать	7	12
102	но это	5	12
103	и даже	7	12
104	и как	5	12
105	и слово	2	12
106	как в	4	12
107	в котором	3	12
108	и что	2	12
109	у меня	2	12
110	в форме	3	11
111	конце концов	3	11
112	этого слова	3	11
113	тем что	6	11
114	с другой	8	11
115	их в	7	11
116	входит в	2	11
117	мы уже	19	11
118	как будто	2	11
119	к одному	2	10
120	в произведении	3	10
121	отношение к	11	10
122	говорит он	2	10
123	до сих	6	10
124	сих пор	6	10
125	далеко не	3	10
126	в творчестве	5	10
127	той же	9	10
128	в слове	2	10
129	и потому	6	9
130	или в	3	9
131	в них	19	9
132	раз и	2	9
133	хотя и	2	9
134	да и	2	9
135	другой стороны	5	9
136	хотя бы	2	9
137	что у	2	9
138	ни в	6	9
139	всяком случае	2	9
140	в той	7	9
141	но он	9	9
142	но как	5	8
143	уже в	4	8
144	его целом	3	8
145	наконец в	3	8
146	никак не	3	8
147	в произведениях	2	8
148	одним из	2	8
149	это и	4	8
150	вот как	4	8
151	и о	5	8
152	того что	3	8
153	здесь не	5	8
154	с ними	4	8
155	и до	14	8
156	не на	2	8
157	из его	2	8
158	и от	4	8
159	менее всего	2	8
160	что это	4	8
161	все время	3	8
162	и он	2	8
163	с их	5	8
164	мы увидим	3	8
165	о том	5	8
166	и у	2	8
167	и так	5	8
168	из них	8	8
169	же и	4	8
170	его к	3	7
171	и следовательно	3	7
172	в этих	8	7
173	в их	6	7
174	в виде	2	7
175	и со	2	7
176	в виду	8	7
177	и др	9	7
178	он в	2	7
179	все его	2	7
180	только на	4	7
181	мира и	4	7
182	не входит	2	7
183	он с	2	7
184	между ними	4	7
185	что все	2	7
186	что они	3	7
187	и ее	3	7
188	например в	2	7
189	тот же	4	7
190	сказать что	3	7
191	мысли и	2	7
192	и их	5	7
193	такой же	3	7
194	во всех	8	7
195	мы остановимся	3	7
196	на мир	2	7
197	со всею	5	7
198	не было	7	7
199	уже говорили	5	7
200	как его	2	7
201	в себя	2	7
202	здесь с	3	6
203	все те	2	6
204	как он	4	6
205	и вы	4	6
206	отличие от	3	6
207	выражение в	2	6
208	сочетается с	3	6
209	не менее	2	6
210	но эти	4	6
211	в художественном	3	6
212	на его	4	6
213	себя в	2	6
214	и во	6	6
215	во время	17	6
216	и здесь	5	6
217	на них	3	6
218	одна из	3	6
219	для этого	3	6
220	с этим	2	6
221	в начале	5	6
222	его творчества	2	6
223	можно было	3	6
224	во всем	4	6
225	и самое	3	6
226	кроме того	5	6
227	превращается в	4	6
228	и вот	4	6
229	но ведь	3	6
230	друг друга	2	6
231	в отличие	3	6
232	я вас	3	6
233	в этой	15	6
234	в своих	7	6
235	в другой	2	6
236	на этом	3	6
237	жизни и	6	6
238	конечно не	4	6
239	что было	3	6
240	в основе	7	6
241	как на	3	6
242	отношения к	2	6
243	и то	2	5
244	или иной	2	5
245	поэтому он	4	5
246	с таким	3	5
247	есть и	4	5
248	к которому	2	5
249	ведь это	3	5
250	том же	4	5
251	но именно	3	5
252	со всеми	5	5
253	здесь мы	3	5
254	по своему	3	5
255	они не	4	5
256	в общем	2	5
257	того же	4	5
258	в чем	3	5
259	но здесь	3	5
260	один из	9	5
261	мы не	3	5
262	той или	2	5
263	в ее	5	5
264	слов и	4	5
265	он воспринимает	2	5
266	в последнем	2	5
267	те же	6	5
268	все то	2	5
269	то есть	31	5
270	мира в	2	5
271	где он	2	5
272	этот мир	2	5
273	на протяжении	7	5
274	подобно тому	2	5
275	мир и	2	5
276	именно в	5	5
277	в обычном	2	5
278	тому как	2	5
279	поэтому и	4	5
280	быть и	2	5
281	в ней	6	5
282	вместе с	4	5
283	и понимания	2	4
284	стороны и	2	4
285	его отношение	2	4
286	в духе	11	4
287	и прежде	4	4
288	под влиянием	2	4
289	это как	2	4
290	тона и	2	4
291	смысле этого	2	4
292	каждый из	2	4
293	мы видели	6	4
294	для понимания	5	4
295	от них	2	4
296	в эту	7	4
297	но только	2	4
298	даже и	3	4
299	остается в	2	4
300	на котором	2	4
301	здесь в	6	4
302	не была	2	4
303	протяжении всего	2	4
304	связи с	8	4
305	он был	5	4
306	во всей	3	4
307	мы сказали	2	4
308	материал и	2	4
309	понятно что	3	4
310	уже и	2	4
311	такой образ	2	4
312	в первой	3	4
313	всего этого	2	4
314	даны в	2	4
315	то в	2	4
316	характер и	3	4
317	в литературе	10	4
318	это в	4	4
319	него и	3	4
320	особенно в	6	4
321	всех этих	5	4
322	в которой	6	4
323	о своем	2	4
