N	3gram	Propp_Morf	Freidism
1	с точки зрения	6	15
2	не может быть	9	14
3	по отношению к	7	11
4	в том что	4	9
5	во всяком случае	2	8
6	может быть и	2	6
7	в большинстве случаев	3	5
8	тем не менее	6	4
9	в этом отношении	2	4
10	не могут быть	4	4
11	мы увидим что	2	4
12	в данном случае	2	4
13	на самом деле	4	4
14	бы то ни	3	3
15	о том что	3	3
16	в собственном смысле	3	3
17	для того чтобы	3	3
18	а вовсе не	2	3
19	то ни было	2	2
20	в таких случаях	2	2
21	к тому что	4	2
22	и тем не	2	2
23	с одной стороны	2	2
24	а также и	5	2
25	и пр и	3	2
26	говорить о том	2	2
