N	3gram	Vygotskiy_	Analitik
1	в том что	24	25
2	не может быть	6	19
3	по отношению к	9	18
4	в то же	2	16
5	о том что	4	15
6	той или иной	2	14
7	в данном случае	5	14
8	в отличие от	4	14
9	в конечном счете	2	11
10	мы имеем дело	2	11
11	подобно тому как	2	9
12	с одной стороны	7	9
13	с другой стороны	3	9
14	в свою очередь	3	9
15	в этом отношении	7	8
16	не только в	2	8
17	как и в	4	8
18	с точки зрения	31	8
19	состоит в том	3	8
20	тем не менее	4	6
21	одного и того	3	6
22	и того же	3	6
23	но и не	3	5
24	в этом случае	15	5
25	не только не	11	5
26	до известной степени	2	4
27	в самом деле	4	4
28	том что он	2	4
29	для того чтобы	24	4
30	из того что	5	4
31	и тем самым	8	4
32	и в этом	2	4
33	в известном смысле	2	4
34	в самом начале	5	4
35	едва ли не	3	4
36	и не может	2	4
37	в этом смысле	2	4
38	то же самое	11	3
39	в первом случае	5	3
40	содержит в себе	4	3
41	сам по себе	2	3
42	именно в этом	3	3
43	не могут быть	3	3
44	в том числе	2	3
45	одной и той	5	3
46	можно сказать что	7	3
47	и той же	5	3
48	включает в себя	2	3
49	в зависимости от	6	3
50	и то что	5	3
51	одно и то	3	2
52	в такой же	3	2
53	и то же	3	2
54	в равной мере	2	2
55	по своей природе	4	2
56	в той мере	2	2
57	прежде всего в	2	2
58	на всем протяжении	4	2
59	той мере в	2	2
60	того и другого	2	2
61	можно было бы	5	2
62	к тому что	10	2
63	друг с другом	6	2
64	в том и	3	2
65	совершенно очевидно что	2	2
66	мере в какой	2	2
67	заключается в том	9	2
68	есть в сущности	2	2
69	и тогда когда	2	2
70	этой точки зрения	4	2
71	такой же мере	3	2
72	во втором случае	5	2
73	с этой точки	4	2
74	до сих пор	6	2
75	смысле этого слова	4	2
76	нет и не	3	2
77	на то что	5	2
78	в сущности говоря	6	2
