N	3gram	Ircho_Kome	VLabPisa
1	в этом отношении	2	14
2	и т п	4	9
3	с другой стороны	2	8
4	по отношению к	4	7
5	более или менее	2	6
6	в конечном счете	2	5
7	в то же	11	5
8	в том что	15	5
9	то же время	11	5
10	вместе с тем	5	4
11	в связи с	3	4
12	равно как и	3	4
13	для того чтобы	8	3
14	и в то	2	3
15	о том как	5	3
16	о том что	7	3
17	в конце концов	3	2
18	с одной стороны	4	2
19	во всяком случае	3	2
20	в том числе	2	2
21	одной стороны и	2	2
22	т е в	2	2
23	в чем же	2	2
24	том числе и	2	2
25	чуть ли не	2	2
26	до сих пор	12	2
27	после того как	3	2
