N	2gram	Vinokur_Ku	Vladivir
1	и в	44	116
2	то что	14	71
3	и не	23	67
4	в году	3	65
5	не только	29	65
6	у него	3	65
7	в этом	31	53
8	в том	47	52
9	том что	30	51
10	что в	25	48
11	но и	13	47
12	в конце	5	41
13	в его	16	40
14	и с	11	39
15	сказать что	5	36
16	и даже	5	36
17	также и	7	36
18	так что	5	35
19	учение о	4	35
20	потому что	40	33
21	еще и	7	32
22	что он	7	32
23	не может	13	31
24	о том	10	30
25	только в	15	30
26	никогда не	2	29
27	как мы	2	29
28	для него	2	29
29	вовсе не	18	27
30	а в	7	27
31	не было	6	26
32	в то	4	25
33	но в	11	25
34	в себе	4	25
35	и то	7	25
36	и его	8	25
37	даже и	5	24
38	а также	3	24
39	точки зрения	25	23
40	между прочим	4	23
41	может быть	25	23
42	он не	4	23
43	что же	11	23
44	так как	16	22
45	кроме того	2	22
46	об этом	4	22
47	ни в	3	22
48	в своей	4	21
49	вместе с	8	21
50	а именно	4	20
51	в своем	4	20
52	прежде всего	14	20
53	для нас	6	20
54	и что	11	20
55	и потому	6	19
56	так и	10	19
57	не менее	12	19
58	как раз	10	19
59	по поводу	2	19
60	таким образом	17	19
61	тем не	10	19
62	не в	18	18
63	не был	2	18
64	как это	6	18
65	как и	3	18
66	хотя и	7	18
67	с его	4	18
68	не мог	2	18
69	что и	5	17
70	в этой	8	17
71	то это	3	17
72	у нас	19	17
73	а не	17	17
74	и если	4	17
75	уже не	13	16
76	все же	17	16
77	того что	11	16
78	было бы	28	16
79	к тому	8	16
80	и все	4	16
81	в котором	4	16
82	не есть	4	16
83	до конца	3	15
84	письме к	2	15
85	в связи	4	15
86	но это	4	15
87	к этому	4	15
88	это было	2	15
89	несмотря на	6	15
90	иной раз	2	15
91	то же	12	15
92	в своих	2	15
93	в москве	2	14
94	того же	6	14
95	уже в	5	14
96	же касается	4	14
97	все эти	17	14
98	и как	3	14
99	и на	8	14
100	так же	8	13
101	с тем	5	13
102	можно сказать	6	13
103	да и	5	13
104	и от	2	13
105	что это	11	13
106	в результате	8	13
107	дело в	2	13
108	не просто	7	13
109	на этот	4	13
110	и у	3	12
111	ничего не	6	12
112	в нем	7	12
113	и по	4	12
114	связи с	8	12
115	во всяком	8	12
116	и это	3	12
117	если не	4	12
118	по себе	10	12
119	всяком случае	8	12
120	в отношении	2	11
121	мы должны	2	11
122	всякого рода	2	11
123	или менее	3	11
124	и о	3	11
125	я не	5	11
126	при этом	6	11
127	все это	10	11
128	это есть	2	11
129	никак не	5	11
130	в данном	8	11
131	хотя бы	19	11
132	в которой	7	11
133	и здесь	8	11
134	на то	6	11
135	более или	3	11
136	но что	3	11
137	конце концов	3	11
138	тому же	2	11
139	даже в	4	10
140	о нем	2	10
141	в ней	6	10
142	что его	2	10
143	что все	6	10
144	в качестве	12	10
145	в истории	3	10
146	можно было	14	10
147	еще не	10	10
148	но не	11	10
149	что для	3	10
150	в самом	20	10
151	отнюдь не	5	10
152	с точки	16	10
153	здесь не	5	10
154	с ним	5	10
155	это не	13	9
156	но как	2	9
157	о чем	2	9
158	мы знаем	3	9
159	а с	3	9
160	смысле слова	3	9
161	а только	10	9
162	в целом	5	9
163	по существу	9	9
164	что если	4	9
165	с этим	6	9
166	что касается	4	9
167	с другой	14	9
168	именно в	7	9
169	этом смысле	8	9
170	что мы	6	9
171	же время	4	9
172	отношения к	2	9
173	но он	2	9
174	свое время	4	8
175	только и	3	8
176	отношение к	2	8
177	не столько	2	8
178	xix века	5	8
179	в чем	2	8
180	как бы	11	8
181	тот же	7	8
182	из этих	5	8
183	и он	4	8
184	должно быть	6	8
185	тем что	9	8
186	с этой	4	8
187	в этих	5	8
188	как в	6	8
189	и для	3	8
190	можно считать	2	8
191	когда он	4	8
192	со стороны	8	8
193	в это	3	8
194	конечно не	3	8
195	в смысле	2	8
196	в каком	6	7
197	но даже	3	7
198	в свое	4	7
199	не имеет	6	7
200	к этой	3	7
201	себе и	3	7
202	а а	4	7
203	на его	3	7
204	нисколько не	6	7
205	точно так	4	7
206	того чтобы	25	7
207	же в	5	7
208	здесь мы	2	7
209	е в	3	7
210	но вот	3	7
211	бы и	6	7
212	мы видели	3	7
213	и мы	2	7
214	то и	4	7
215	если бы	21	7
216	и вот	4	7
217	ничего общего	2	7
218	но если	2	7
219	но все	5	7
220	был в	2	7
221	в одном	4	7
222	что этот	2	7
223	в таком	3	7
224	и есть	3	7
