N	2gram	Bakhtin_KF	Literetu
1	а не	17	50
2	и не	28	47
3	не только	5	46
4	и в	28	44
5	может быть	45	43
6	при этом	4	41
7	но и	9	41
8	в том	6	39
9	в этом	15	38
10	том что	4	32
11	то что	7	29
12	в мире	8	28
13	в качестве	2	27
14	то же	5	26
15	как и	5	23
16	в то	3	23
17	не в	13	22
18	так и	2	22
19	того что	3	22
20	себя в	8	22
21	не может	29	22
22	я и	5	21
23	же время	2	21
24	в себе	21	20
25	эстетического субъекта	2	19
26	прежде всего	4	19
27	как бы	9	18
28	точки зрения	13	17
29	в его	42	17
30	сознания в	2	16
31	в этой	2	16
32	в жизни	2	16
33	тем самым	4	15
34	со стороны	8	15
35	не менее	3	15
36	в целом	10	15
37	я не	6	15
38	только в	18	15
39	по отношению	26	14
40	что он	2	14
41	в своем	17	13
42	но не	12	13
43	уже не	7	13
44	и его	18	13
45	к себе	2	12
46	в данном	2	12
47	в своей	11	12
48	еще не	5	12
49	отношению к	22	12
50	о том	3	12
51	никогда не	5	11
52	это не	10	11
53	в другом	3	11
54	с его	2	11
55	как в	2	11
56	а в	5	11
57	в основе	5	11
58	для себя	7	10
59	в принципе	2	10
60	в области	2	10
61	что в	4	10
62	отнюдь не	7	10
63	в ее	17	10
64	жизни в	5	10
65	и на	3	10
66	потому что	2	10
67	жизни и	8	10
68	один из	2	9
69	лишь в	8	9
70	что я	5	9
71	и т.д	4	9
72	едва ли	2	8
73	все же	5	8
74	но в	5	8
75	что не	3	8
76	для него	13	8
77	и я	6	8
78	и как	2	8
79	мира в	6	8
80	тем что	3	8
81	в своих	4	8
82	соответствии с	2	8
83	с точки	10	8
84	до конца	3	7
85	в их	9	7
86	не как	4	7
87	и тем	3	7
88	и других	2	7
89	для этого	2	7
90	и для	10	7
91	именно в	5	7
92	в одном	5	7
93	он и	2	7
94	в нем	32	7
95	и жизни	4	7
96	он не	6	7
97	его в	5	6
98	в виду	3	6
99	самом деле	3	6
100	было бы	8	6
101	не было	8	6
102	и то	2	6
103	во всех	11	6
104	в каждом	3	6
105	с ее	2	6
106	в ней	3	6
107	и только	7	6
108	в соответствии	2	5
109	или иной	2	5
110	от себя	10	5
111	и за	2	5
112	не знает	5	5
113	между тем	4	5
114	что и	7	5
115	себя и	5	5
116	мир в	12	5
117	место в	6	5
118	хотя бы	5	5
119	должно быть	6	5
120	мы не	3	5
121	тем не	2	5
122	ни было	4	5
123	в себя	8	5
124	жизни как	5	5
125	быть не	2	5
126	входит в	4	4
127	в свою	3	4
128	себе и	3	4
129	для нас	4	4
130	для которого	3	4
131	как к	2	4
132	со мной	7	4
133	с тем	2	4
134	и все	9	4
135	и само	2	4
136	могут быть	3	4
137	во всей	4	4
138	бы то	2	4
139	в единственном	10	4
140	мышления и	2	4
141	но это	6	4
142	к этому	2	4
143	сводится к	2	4
144	но лишь	7	4
145	жизнь как	6	4
146	бы не	3	4
147	для того	3	4
148	совершенно не	7	4
149	со всеми	2	4
150	ни к	2	4
151	не должен	3	4
152	все они	2	4
153	а по	2	4
154	в единстве	8	4
155	не могу	3	4
156	ко всему	5	4
157	вовсе не	7	4
158	то ни	2	4
159	и есть	10	4
160	на самом	3	3
161	вопрос о	2	3
162	ничего не	3	3
163	и потому	2	3
164	бытия в	5	3
165	но как	5	3
166	по себе	2	3
167	отношение к	6	3
168	нет в	4	3
169	ответственность за	2	3
170	сознания не	2	3
171	а с	2	3
172	о нем	4	3
173	в сознании	2	3
174	это уже	2	3
175	во главе	2	3
176	той или	3	3
177	там где	5	3
178	того чтобы	2	3
179	все эти	11	3
180	всех своих	4	3
181	должна быть	4	3
182	из его	3	3
183	тот же	3	3
184	ним и	3	3
185	сознания и	3	3
186	бы и	3	3
187	дело в	2	3
188	если бы	8	3
189	был бы	3	3
190	вследствие этого	2	3
191	не по	4	3
192	а для	2	3
193	отношении к	2	3
194	в ту	2	3
195	не имеет	6	3
196	всей своей	2	3
197	в чем	4	3
198	не есть	22	3
199	если не	2	3
200	из которых	2	3
201	себе как	2	3
202	и того	2	3
203	здесь не	3	3
204	говорить о	2	3
205	ничего общего	2	3
206	мира и	4	3
207	с ним	5	3
208	мне в	4	3
209	и себе	2	2
210	это мир	4	2
211	чтобы не	2	2
212	для меня	22	2
213	от него	3	2
214	для нее	9	2
215	человека и	3	2
216	не я	3	2
