N	2gram	Vygotskiy_	Sotsiolo
1	все это	12	7
2	в том	46	5
3	в этом	37	5
4	более чем	2	3
5	для нас	14	3
6	как же	2	3
7	не только	16	3
8	и только	8	3
9	в его	11	3
10	не в	12	3
11	и в	65	3
12	это и	4	2
13	она может	4	2
14	дело не	3	2
15	должна быть	5	2
16	еще не	3	2
17	только в	9	2
18	что в	36	2
19	тем более	2	2
20	в частности	3	2
21	том что	28	2
22	было бы	22	2
23	таким образом	21	2
24	то же	17	2
25	только как	2	2
26	как будто	13	2
27	и что	29	2
28	как только	4	2
29	к которому	3	2
30	то что	61	2
31	как бы	29	2
32	но и	6	2
33	главным образом	6	2
34	очевидно что	4	2
35	в конце	5	2
36	и мы	19	2
37	далеко не	3	2
38	может быть	33	2
39	по существу	4	2
40	в результате	3	2
