N	2gram	Tiupa_Lite	RusskieA
1	и в	26	79
2	в том	22	64
3	том что	19	59
4	что в	7	57
5	не только	29	41
6	так как	2	34
7	в этом	19	33
8	состоит в	18	32
9	как бы	8	31
10	но и	25	31
11	и п	2	30
12	как и	13	28
13	может быть	24	28
14	и на	5	28
15	и м	2	25
16	одна из	8	24
17	и т	2	23
18	о том	3	23
19	при этом	23	22
20	в поле	2	22
21	это не	4	20
22	как мы	2	20
23	а в	5	20
24	из них	5	19
25	с тем	2	17
26	потому что	5	17
27	то что	14	17
28	таким образом	4	17
29	вместе с	5	17
30	мы не	5	16
31	во многих	3	16
32	один из	7	15
33	у нас	5	14
34	для нас	3	14
35	не менее	11	14
36	как это	9	14
37	тем не	4	14
38	и не	19	14
39	и с	4	14
40	и что	2	14
41	так что	4	13
42	к этому	2	13
43	не может	10	13
44	еще не	4	13
45	как в	5	13
46	уже не	9	13
47	этом случае	2	12
48	мы имеем	2	12
49	тем что	6	12
50	следующим образом	2	11
51	а затем	3	11
52	но это	2	11
53	не имеет	2	11
54	далеко не	4	11
55	его в	4	10
56	и других	4	10
57	так и	7	10
58	по существу	4	10
59	между тем	2	10
60	все же	6	10
61	что и	3	10
62	а также	5	10
63	представляет собой	5	10
64	данном случае	6	9
65	том же	3	9
66	но в	5	9
67	к жизни	2	9
68	то же	13	9
69	но не	8	9
70	того что	7	8
71	в россии	2	8
72	одно из	3	8
73	как уже	3	8
74	в данном	7	8
75	на себя	4	8
76	же в	6	8
77	связи с	7	8
78	во всех	4	8
79	подобно тому	4	8
80	для того	2	8
81	в этих	2	8
82	тому как	4	8
83	в своем	12	7
84	ничего не	3	7
85	не в	11	7
86	а с	2	7
87	в руках	2	7
88	по этому	2	7
89	было бы	4	7
90	до конца	3	7
91	для этого	5	7
92	из этих	2	7
93	и как	2	7
94	еще в	7	7
95	не можем	2	7
96	только в	8	7
97	как будто	2	7
98	а не	28	7
99	с собой	4	6
100	в этой	7	6
101	друг друга	5	6
102	на этом	3	6
103	в их	3	6
104	только на	3	6
105	к тому	3	6
106	в нем	4	6
107	так в	6	6
108	в году	18	6
109	же как	3	6
110	все эти	2	6
111	в качестве	21	6
112	в одном	2	6
113	в первый	2	6
114	на нее	2	6
115	приводит к	4	6
116	после чего	2	6
117	вплоть до	4	5
118	к себе	3	5
119	что он	8	5
120	в москве	2	5
121	прежде всего	14	5
122	и др	4	5
123	в свою	2	5
124	в то	12	5
125	в целом	10	5
126	для них	2	5
127	тогда как	20	5
128	в связи	4	5
129	не было	5	5
130	например в	3	5
131	в его	9	5
132	по поводу	2	5
133	то и	5	5
134	можно было	3	5
135	как правило	5	5
136	в особенности	2	5
137	ничего общего	2	5
138	не с	2	5
139	с другой	11	5
140	отнюдь не	4	5
141	с ним	2	5
142	если в	2	4
