N	2gram	Propp_Morf	Otkroven
1	у него	2	22
2	и в	17	19
3	но и	9	13
4	и не	16	13
5	в этом	18	12
6	не только	8	11
7	не в	3	11
8	а не	11	11
9	может быть	61	11
10	вопрос о	10	10
11	потому что	7	9
12	прежде всего	14	9
13	от него	2	7
14	он не	5	7
15	как и	4	6
16	все это	2	6
17	для него	2	5
18	а в	8	5
19	в россии	2	5
20	в том	10	5
21	о его	4	5
22	то что	10	5
23	в этой	3	5
24	и его	3	4
25	что в	10	4
26	того чтобы	4	4
27	все эти	5	4
28	т е	25	4
29	не может	19	4
30	с его	3	4
31	о том	6	3
32	это не	6	3
33	к нему	3	3
34	не могут	7	3
35	что он	5	3
36	было бы	5	3
37	для того	3	3
38	еще не	4	3
39	и есть	3	3
40	в этих	17	3
41	в своих	2	3
42	и ее	5	3
43	никто не	4	3
44	как бы	6	3
45	хотя бы	5	3
46	могут быть	21	3
47	это было	3	3
48	того что	3	3
49	сказать что	4	2
50	с тем	2	2
51	что же	2	2
52	и для	4	2
53	совсем не	3	2
54	не имеет	2	2
55	ничего не	5	2
56	что и	10	2
57	ее в	3	2
58	в других	5	2
59	и этим	7	2
60	тем что	4	2
61	но в	4	2
62	том что	7	2
63	же можно	3	2
64	все же	9	2
65	так как	20	2
66	что они	5	2
67	не все	6	2
68	к этому	4	2
69	все еще	3	2
70	и к	4	2
71	так и	10	2
72	в которой	3	2
73	к ней	3	2
74	хотя и	5	2
75	момент в	2	2
76	учение о	5	2
77	в другом	2	2
78	сразу же	2	2
79	чем в	2	2
80	его в	4	2
