N	2gram	Berdyaev_O	EvropaiC
1	в том	5	31
2	и в	19	24
3	том что	2	20
4	все эти	4	19
5	не может	4	18
6	то что	5	18
7	может быть	11	17
8	все же	2	15
9	в этом	12	13
10	все это	6	13
11	в своем	2	12
12	но и	13	11
13	не только	11	10
14	так и	2	10
15	как и	6	10
16	все что	3	10
17	как бы	3	10
18	и не	13	9
19	не в	11	9
20	что в	4	9
21	и все	10	9
22	потому что	9	9
23	для того	3	8
24	в самом	5	8
25	того чтобы	4	8
26	так как	2	7
27	что он	3	7
28	того что	3	7
29	о том	3	7
30	что и	2	7
31	в этой	5	7
32	еще не	3	6
33	так что	2	6
34	и для	2	6
35	и на	2	6
36	с ним	3	6
37	и от	3	5
38	его в	2	5
39	в себе	3	5
40	должно быть	2	5
41	к этому	2	5
42	в которой	2	5
43	как к	2	5
44	лишь в	7	5
45	у него	22	5
46	что все	2	5
47	но в	2	5
48	и с	2	5
49	и к	2	5
50	в его	7	5
51	никогда не	9	4
52	и то	2	4
53	не могут	3	4
54	хотя бы	3	4
55	отношение к	5	4
56	что для	2	4
57	с тем	2	4
58	не есть	2	4
59	он не	7	4
60	хотя и	2	4
61	вопрос о	10	3
62	это не	3	3
63	и потому	2	3
64	от него	7	3
65	на земле	4	3
66	в этих	3	3
67	во имя	3	3
68	прежде всего	9	3
69	одно из	2	3
70	а в	5	3
71	в нем	10	3
72	ко всем	2	3
73	было бы	3	3
74	в истории	2	3
75	только одно	3	3
76	чем в	2	3
77	и ее	3	2
78	не очень	2	2
79	более всего	3	2
80	в другом	2	2
81	не было	9	2
82	него в	5	2
83	что они	2	2
84	никто не	3	2
85	и из	2	2
86	для него	5	2
87	не имеет	2	2
88	что у	2	2
89	к нему	3	2
90	в самой	9	2
91	и там	2	2
92	в своих	3	2
93	можно ли	2	2
94	что же	2	2
95	и его	4	2
96	о которой	2	2
97	которую он	2	2
98	все в	4	2
99	для всякого	2	2
