N	3gram	Vinokur_St	VLabPisa
1	и т д	25	16
2	в этом отношении	13	14
3	в письме к	5	11
4	и т п	11	9
5	с другой стороны	8	8
6	не может быть	5	8
7	по отношению к	3	7
8	по этому поводу	4	7
9	более или менее	2	6
10	в то же	5	5
11	в том что	29	5
12	то же время	5	5
13	в зависимости от	2	5
14	хотя бы и	2	5
15	вместе с тем	2	4
16	в одном из	4	4
17	к тому что	4	4
18	для того чтобы	13	3
19	в этой области	5	3
20	о том что	19	3
21	по крайней мере	2	2
22	в том отношении	4	2
23	в конце концов	2	2
24	с одной стороны	2	2
25	не только не	2	2
26	во всяком случае	8	2
27	в том числе	3	2
28	на эти вопросы	3	2
29	т е в	3	2
30	том отношении что	2	2
31	не только в	4	2
32	том числе и	2	2
33	чуть ли не	2	2
34	до сих пор	12	2
35	не в том	3	2
36	только в том	3	2
37	после того как	5	2
38	иметь в виду	2	2
39	одном из писем	2	2
40	из писем к	2	2
41	можно было бы	8	2
