N	3gram	Nazirov_Tv	Mirosoze
1	не может быть	2	28
2	о великом инквизиторе	3	13
3	добра и зла	2	10
4	в том что	8	9
5	в творчестве достоевского	8	8
6	в дневнике писателя	2	8
7	о том что	6	6
8	в братьях карамазовых	6	6
9	у достоевского нет	2	6
10	записок из подполья	4	6
11	по отношению к	3	4
12	никогда не было	2	4
13	человека у достоевского	2	4
14	в свою противоположность	2	4
15	записках из подполья	5	3
16	во всяком случае	2	3
17	что у достоевского	2	3
18	но это не	2	3
19	и та же	2	3
20	как и в	2	3
21	на протяжении всего	2	3
22	в записках из	6	3
23	может быть назван	2	3
24	и иван карамазов	2	3
25	и всякий раз	2	3
26	переходит в свою	2	3
27	легенда о великом	3	2
28	к человеку как	2	2
29	преступления и наказания	5	2
30	место в творчестве	2	2
31	в романах достоевского	24	2
32	ивана карамазова и	2	2
33	не только в	2	2
34	в его романах	3	2
35	сне смешного человека	2	2
36	в сне смешного	2	2
37	том что в	3	2
38	не могут быть	2	2
39	это не значит	2	2
40	бога и дьявола	2	2
41	в каждом человеке	2	2
42	и не может	2	2
43	но у достоевского	3	2
44	в наше время	4	2
45	не так как	2	2
