N	2gram	Berdyaev_O	Myshleni
1	в том	5	195
2	в этом	12	167
3	то что	5	166
4	и в	19	162
5	том что	2	161
6	что в	4	119
7	не только	11	116
8	того что	3	109
9	потому что	9	95
10	того чтобы	4	91
11	может быть	11	89
12	что он	3	86
13	не может	4	81
14	как и	6	79
15	так как	2	78
16	для того	3	78
17	и не	13	78
18	но и	13	70
19	в его	7	67
20	сказать что	2	65
21	как бы	3	64
22	было бы	3	60
23	в самом	5	52
24	что они	2	48
25	тем что	2	48
26	с тем	2	43
27	о том	3	40
28	так и	2	39
29	никогда не	9	39
30	вопрос о	10	37
31	не в	11	37
32	в этой	5	37
33	и к	2	37
34	в своем	2	36
35	все эти	4	36
36	и его	4	36
37	а не	11	36
38	он не	7	35
39	в которой	2	35
40	в себе	3	35
41	прежде всего	9	33
42	по себе	2	33
43	что и	2	32
44	но в	2	32
45	и на	2	32
46	и то	2	31
47	все же	2	31
48	мысли и	3	30
49	могут быть	3	29
50	что все	2	27
51	в своей	2	27
52	и с	2	27
53	для него	5	26
54	все это	6	25
55	еще не	3	25
56	уже в	2	25
57	это не	3	25
58	так что	2	24
59	в нем	10	24
60	не могут	3	22
61	отношение к	5	21
62	в истории	2	21
63	его в	2	21
64	к этому	2	21
65	и все	10	21
66	ее в	2	21
67	и ее	3	21
68	не имеет	2	21
69	а в	5	20
70	должно быть	2	20
71	в другом	2	20
72	с ним	3	19
73	чем в	2	18
74	и для	2	17
75	все что	3	17
76	в своих	3	17
77	и от	3	17
78	и есть	3	17
79	о природе	3	17
80	не есть	2	17
81	в этих	3	17
82	до конца	7	17
83	у него	22	17
84	когда он	3	15
85	хотя бы	3	15
86	ничего не	2	15
87	что для	2	14
88	что у	2	14
89	его мысли	4	14
90	с его	4	14
91	лишь в	7	13
92	человека и	10	13
93	и потому	2	12
94	в ее	2	12
95	ко всем	2	12
96	к нему	3	12
97	но он	7	12
98	одно из	2	11
99	в других	2	11
100	не могли	2	11
101	он в	2	11
102	потребность в	2	10
103	вместо того	2	10
104	учение о	2	10
105	к этой	2	9
106	хотя и	2	9
107	и он	8	9
108	в самой	9	9
109	что же	2	9
110	различие между	3	8
111	что не	4	8
112	в этот	2	8
113	должен был	2	8
114	и из	2	8
115	только и	4	8
116	он сам	4	7
117	ничего кроме	2	7
118	это было	3	6
119	до самого	5	6
120	как к	2	6
121	всего в	2	6
122	и о	2	6
123	и там	2	6
124	к ней	2	6
125	только одно	3	6
126	от него	7	5
127	о которой	2	5
128	человека к	2	5
129	никто не	3	5
130	из всего	2	5
131	и вот	3	4
132	которую он	2	4
133	его не	2	4
134	быть может	3	4
135	можно ли	2	4
136	совсем не	2	4
137	что есть	2	4
138	много раз	2	4
139	с которой	2	4
140	о его	5	4
141	то к	2	4
142	ничто не	2	4
143	не было	9	4
144	с чем	2	3
145	движение в	2	3
146	одного только	2	3
147	же это	2	3
148	и мысли	4	3
149	для человека	2	3
150	вопросом о	2	3
151	на периферии	2	3
152	момент в	2	3
153	ведь это	2	3
154	он прежде	2	3
155	подойти к	2	3
156	о человеке	29	2
157	своей жизни	2	2
158	и против	2	2
159	самого конца	2	2
160	него в	5	2
161	этом он	2	2
162	их не	2	2
163	природы в	2	2
164	все еще	2	2
165	и бесконечно	2	2
166	мысль о	2	2
167	личности и	2	2
168	человеку и	5	2
169	в единстве	2	2
170	настолько же	2	2
171	он всегда	7	2
172	и очень	2	2
173	нет ничего	7	2
174	он был	8	2
175	в человеческом	2	2
176	и никогда	2	2
177	от самого	2	2
178	чем на	3	2
179	но никогда	2	2
180	ни у	2	2
