N	2gram	Bakhtin_fo	Sovremen
1	не может	8	17
2	точки зрения	14	12
3	может быть	18	12
4	таким образом	14	11
5	мы не	4	9
6	в каждом	2	8
7	и в	84	7
8	в этом	41	7
9	и не	19	6
10	ничего не	9	6
11	как и	15	6
12	в результате	6	6
13	мы можем	2	6
14	с точки	9	5
15	все эти	12	5
16	и наконец	6	5
17	в условиях	8	5
18	прежде всего	28	5
19	нет и	4	4
20	вопрос о	2	4
21	мы видели	2	4
22	это не	8	4
23	не только	16	4
24	в том	16	4
25	мы должны	2	4
26	как бы	11	4
27	их в	6	4
28	так как	12	4
29	точку зрения	3	4
30	если мы	2	4
31	в дальнейшем	10	4
32	в целом	2	4
33	жизни и	12	4
34	вместе с	9	4
35	а в	6	4
36	из них	8	4
37	с помощью	5	4
38	для нас	2	3
39	и т.д	2	3
40	этим мы	2	3
41	ведь это	2	3
42	когда мы	2	3
43	и потому	4	3
44	на этой	4	3
45	но в	16	3
46	с самого	3	3
47	при этом	8	3
48	с необходимостью	2	3
49	не в	10	3
50	все же	12	3
51	как он	4	3
52	было бы	2	3
53	уже в	5	3
54	в себе	7	3
55	еще не	8	3
56	одна из	3	3
57	у нас	2	3
58	и все	10	3
59	все это	10	3
60	в нем	28	3
61	между собой	5	3
62	а не	7	3
63	и к	4	3
64	в этой	3	3
65	то же	18	3
66	в одном	10	3
67	самого начала	3	3
68	отнюдь не	7	3
69	в конце	11	3
70	ясно что	2	3
71	но все	6	2
72	и по	5	2
73	же самое	2	2
74	что все	4	2
75	значение в	5	2
76	которой он	3	2
77	быть и	4	2
78	роль в	12	2
79	форма в	3	2
80	можно назвать	2	2
81	необходимо отметить	3	2
82	той же	2	2
83	не могут	4	2
84	мы видим	4	2
85	в его	19	2
86	он должен	2	2
87	с этим	11	2
88	и пр	2	2
89	во всяком	5	2
90	но очень	2	2
91	и во	13	2
92	с другом	5	2
93	из этих	5	2
94	так сказать	14	2
95	в самом	9	2
96	и есть	3	2
97	еще более	7	2
98	что в	9	2
99	времени и	10	2
100	совершенно не	3	2
101	в таком	4	2
102	в которой	3	2
103	у него	8	2
104	в некоторых	4	2
105	самом деле	2	2
106	со всеми	4	2
107	уже не	5	2
108	в свою	2	2
109	в нашем	3	2
110	и они	4	2
111	могут быть	7	2
112	в один	2	2
113	только один	2	2
114	в отличие	3	2
115	отличие от	3	2
116	и пространства	4	2
117	тот же	4	2
118	с одной	5	2
119	на этом	2	2
120	как мы	19	2
121	или иной	4	2
122	на котором	2	2
123	и даже	5	2
124	тем же	3	2
125	друг с	5	2
